mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,521,522,436,46,39,0,1,316,120.00,99.00,21.00
tempo,faster_tempo,554,559,331,102,121,0,5,149,120.00,117.00,3.00
tempo,a_lot_faster_tempo,549,547,415,79,53,2,0,238,120.00,134.00,14.00
tempo,slower_tempo,534,533,434,54,45,1,0,245,120.00,156.00,36.00
tempo,a_lot_slower_tempo,556,548,311,136,101,8,0,124,120.00,99.00,21.00
progressive_tempo,accelerando,617,518,237,193,88,99,0,60,120.00,117.00,3.00
progressive_tempo,ritardando,525,650,248,68,209,0,125,74,120.00,99.00,21.00
progressive_tempo,tempo_fluctuation,680,755,237,182,261,0,75,64,120.00,99.00,21.00
timing,note_too_soon,524,524,367,91,66,0,0,202,120.00,99.00,21.00
timing,note_too_late,524,525,433,50,41,0,1,313,120.00,99.00,21.00
duration,note_held_too_long,521,522,436,46,39,0,1,316,120.00,99.00,21.00
duration,note_cut_too_soon,522,523,435,46,41,0,1,315,120.00,99.00,21.00
note,note_missing,521,521,406,67,48,0,0,261,120.00,99.00,21.00
note,note_not_expected,521,522,436,46,39,0,1,317,120.00,99.00,21.00
articulation,articulated_legato,521,522,436,46,39,0,1,315,120.00,99.00,21.00
articulation,articulated_staccato,577,576,390,91,95,1,0,178,120.00,99.00,21.00
articulation,articulated_accentuated,521,522,436,46,39,0,1,316,120.00,99.00,21.00
