mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,882,882,882,0,0,0,0,818,120.00,134.00,14.00
tempo,faster_tempo,908,912,560,167,181,0,4,218,120.00,156.00,36.00
tempo,a_lot_faster_tempo,942,947,561,177,204,0,5,204,120.00,104.00,16.00
tempo,slower_tempo,906,905,751,78,76,1,0,469,120.00,110.00,10.00
tempo,a_lot_slower_tempo,929,921,497,225,199,8,0,155,120.00,134.00,14.00
progressive_tempo,accelerando,1049,885,322,367,196,164,0,102,120.00,170.00,50.00
progressive_tempo,ritardando,900,1111,301,174,425,0,211,78,120.00,104.00,16.00
progressive_tempo,tempo_fluctuation,1097,1429,327,247,523,0,332,87,120.00,144.00,24.00
timing,note_too_soon,891,892,607,137,147,0,1,332,120.00,134.00,14.00
timing,note_too_late,882,883,608,130,144,0,1,330,120.00,134.00,14.00
duration,note_held_too_long,882,882,882,0,0,0,0,822,120.00,134.00,14.00
duration,note_cut_too_soon,883,883,879,2,2,0,0,818,120.00,134.00,14.00
note,note_missing,882,882,882,0,0,0,0,818,120.00,134.00,14.00
note,note_not_expected,909,923,548,172,189,0,14,174,120.00,134.00,14.00
articulation,articulated_legato,882,879,623,136,120,3,0,403,120.00,134.00,14.00
articulation,articulated_staccato,927,925,653,146,126,2,0,273,120.00,134.00,14.00
articulation,articulated_accentuated,882,882,882,0,0,0,0,822,120.00,134.00,14.00
