mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,797,800,764,13,20,0,3,275,120.00,170.00,50.00
tempo,faster_tempo,797,802,745,24,28,0,5,212,120.00,134.00,14.00
tempo,a_lot_faster_tempo,819,823,749,37,33,0,4,276,120.00,125.00,5.00
tempo,slower_tempo,801,802,754,18,29,0,1,217,120.00,134.00,14.00
tempo,a_lot_slower_tempo,806,811,745,28,33,0,5,188,120.00,85.00,35.00
progressive_tempo,accelerando,930,800,580,159,61,130,0,94,120.00,125.00,5.00
progressive_tempo,ritardando,803,984,540,46,217,0,181,77,120.00,104.00,16.00
progressive_tempo,tempo_fluctuation,895,1216,581,54,260,0,321,101,120.00,188.00,68.00
timing,note_too_soon,799,801,743,29,27,0,2,236,120.00,170.00,50.00
timing,note_too_late,798,800,744,28,26,0,2,233,120.00,170.00,50.00
duration,note_held_too_long,797,800,764,13,20,0,3,272,120.00,170.00,50.00
duration,note_cut_too_soon,798,801,764,13,21,0,3,274,120.00,170.00,50.00
note,note_missing,797,799,759,19,19,0,2,350,120.00,170.00,50.00
note,note_not_expected,797,800,764,13,20,0,3,274,120.00,170.00,50.00
articulation,articulated_legato,801,802,724,39,38,0,1,236,120.00,170.00,50.00
articulation,articulated_staccato,826,829,744,36,46,0,3,236,120.00,170.00,50.00
articulation,articulated_accentuated,797,800,764,13,20,0,3,274,120.00,170.00,50.00
