mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,705,706,605,46,54,0,1,288,120.00,156.00,36.00
tempo,faster_tempo,737,739,566,84,87,0,2,215,120.00,188.00,68.00
tempo,a_lot_faster_tempo,765,765,629,78,58,0,0,264,120.00,125.00,5.00
tempo,slower_tempo,717,716,601,50,65,1,0,218,120.00,125.00,5.00
tempo,a_lot_slower_tempo,745,737,510,117,110,8,0,162,120.00,82.00,38.00
progressive_tempo,accelerando,838,706,364,211,131,132,0,84,120.00,156.00,36.00
progressive_tempo,ritardando,715,886,308,110,297,0,171,104,120.00,110.00,10.00
progressive_tempo,tempo_fluctuation,923,1261,350,190,383,0,338,104,120.00,170.00,50.00
timing,note_too_soon,713,715,528,88,97,0,2,165,120.00,156.00,36.00
timing,note_too_late,705,707,529,84,92,0,2,163,120.00,156.00,36.00
duration,note_held_too_long,705,706,605,46,54,0,1,288,120.00,156.00,36.00
duration,note_cut_too_soon,705,706,605,46,54,0,1,287,120.00,156.00,36.00
note,note_missing,705,706,605,46,54,0,1,288,120.00,156.00,36.00
note,note_not_expected,705,707,552,73,80,0,2,210,120.00,156.00,36.00
articulation,articulated_legato,705,706,605,46,54,0,1,288,120.00,156.00,36.00
articulation,articulated_staccato,816,821,497,151,168,0,5,199,120.00,156.00,36.00
articulation,articulated_accentuated,705,706,605,46,54,0,1,288,120.00,156.00,36.00
