mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,314,313,310,3,0,1,0,241,120.00,125.00,5.00
tempo,faster_tempo,323,326,230,47,46,0,3,73,120.00,144.00,24.00
tempo,a_lot_faster_tempo,339,342,218,56,65,0,3,75,120.00,188.00,68.00
tempo,slower_tempo,322,320,215,52,53,2,0,83,120.00,104.00,16.00
tempo,a_lot_slower_tempo,325,321,193,72,56,4,0,49,120.00,65.00,55.00
progressive_tempo,accelerando,376,315,151,107,57,61,0,41,120.00,156.00,36.00
progressive_tempo,ritardando,325,404,138,47,140,0,79,38,120.00,82.00,38.00
progressive_tempo,tempo_fluctuation,387,684,50,82,255,0,297,46,120.00,134.00,14.00
timing,note_too_soon,316,316,248,35,33,0,0,117,120.00,125.00,5.00
timing,note_too_late,315,314,293,13,8,1,0,190,120.00,125.00,5.00
duration,note_held_too_long,315,314,310,4,0,1,0,240,120.00,125.00,5.00
duration,note_cut_too_soon,314,313,310,3,0,1,0,241,120.00,125.00,5.00
note,note_missing,315,314,309,5,0,1,0,241,120.00,125.00,5.00
note,note_not_expected,314,312,261,28,23,2,0,143,120.00,125.00,5.00
articulation,articulated_legato,314,313,310,3,0,1,0,238,120.00,125.00,5.00
articulation,articulated_staccato,318,319,259,30,29,0,1,108,120.00,125.00,5.00
articulation,articulated_accentuated,314,313,310,3,0,1,0,241,120.00,125.00,5.00
