mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,1926,1939,1652,123,151,0,13,665,120.00,144.00,24.00
tempo,faster_tempo,1969,2050,1415,255,299,0,81,229,120.00,117.00,3.00
tempo,a_lot_faster_tempo,2014,2011,1556,225,230,3,0,401,120.00,117.00,3.00
tempo,slower_tempo,1994,2114,1337,286,371,0,120,232,120.00,117.00,3.00
tempo,a_lot_slower_tempo,2002,2075,1453,250,299,0,73,231,120.00,117.00,3.00
progressive_tempo,accelerando,2270,1915,1133,493,289,355,0,206,120.00,110.00,10.00
progressive_tempo,ritardando,1945,2487,1139,240,566,0,542,225,120.00,99.00,21.00
progressive_tempo,tempo_fluctuation,2427,1667,738,639,290,760,0,170,120.00,156.00,36.00
timing,note_too_soon,1926,1940,1567,165,194,0,14,335,120.00,144.00,24.00
timing,note_too_late,1926,1940,1567,165,194,0,14,336,120.00,144.00,24.00
duration,note_held_too_long,1926,1939,1652,123,151,0,13,664,120.00,144.00,24.00
duration,note_cut_too_soon,1926,1939,1652,123,151,0,13,665,120.00,144.00,24.00
note,note_missing,1926,1939,1652,123,151,0,13,665,120.00,144.00,24.00
note,note_not_expected,1926,1939,1652,123,151,0,13,665,120.00,144.00,24.00
articulation,articulated_legato,1926,1939,1652,123,151,0,13,665,120.00,144.00,24.00
articulation,articulated_staccato,1987,1998,1655,156,176,0,11,507,120.00,144.00,24.00
articulation,articulated_accentuated,1926,1939,1652,123,151,0,13,665,120.00,144.00,24.00
