mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,683,683,681,0,2,0,0,573,120.00,156.00,36.00
tempo,faster_tempo,703,700,450,131,119,3,0,151,120.00,188.00,68.00
tempo,a_lot_faster_tempo,738,737,523,125,89,1,0,283,120.00,99.00,21.00
tempo,slower_tempo,721,717,407,158,152,4,0,130,120.00,125.00,5.00
tempo,a_lot_slower_tempo,720,718,443,144,131,2,0,145,120.00,85.00,35.00
progressive_tempo,accelerando,818,687,290,266,131,131,0,68,120.00,188.00,68.00
progressive_tempo,ritardando,690,862,284,102,304,0,172,67,120.00,99.00,21.00
progressive_tempo,tempo_fluctuation,882,1027,231,263,388,0,145,75,120.00,170.00,50.00
timing,note_too_soon,688,688,672,7,9,0,0,568,120.00,156.00,36.00
timing,note_too_late,688,688,672,7,9,0,0,572,120.00,156.00,36.00
duration,note_held_too_long,683,683,681,0,2,0,0,574,120.00,156.00,36.00
duration,note_cut_too_soon,684,684,680,1,3,0,0,571,120.00,156.00,36.00
note,note_missing,685,684,494,111,79,1,0,224,120.00,156.00,36.00
note,note_not_expected,683,683,681,0,2,0,0,574,120.00,156.00,36.00
articulation,articulated_legato,683,680,610,35,35,3,0,450,120.00,156.00,36.00
articulation,articulated_staccato,720,720,592,64,64,0,0,274,120.00,156.00,36.00
articulation,articulated_accentuated,683,683,681,0,2,0,0,574,120.00,156.00,36.00
