mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,917,916,818,53,45,1,0,662,120.00,134.00,14.00
tempo,faster_tempo,953,951,702,133,116,2,0,390,120.00,110.00,10.00
tempo,a_lot_faster_tempo,1007,1001,584,206,211,6,0,265,120.00,94.00,26.00
tempo,slower_tempo,966,964,611,191,162,2,0,287,120.00,144.00,24.00
tempo,a_lot_slower_tempo,965,962,523,223,216,3,0,229,120.00,94.00,26.00
progressive_tempo,accelerando,1106,927,413,343,171,179,0,120,120.00,134.00,14.00
progressive_tempo,ritardando,933,1156,385,148,400,0,223,108,120.00,125.00,5.00
progressive_tempo,tempo_fluctuation,1138,1370,475,252,411,0,232,124,120.00,144.00,24.00
timing,note_too_soon,918,917,817,53,47,1,0,659,120.00,134.00,14.00
timing,note_too_late,918,916,554,203,159,2,0,285,120.00,134.00,14.00
duration,note_held_too_long,917,916,818,53,45,1,0,663,120.00,134.00,14.00
duration,note_cut_too_soon,917,916,818,53,45,1,0,663,120.00,134.00,14.00
note,note_missing,917,916,818,53,45,1,0,663,120.00,134.00,14.00
note,note_not_expected,917,917,837,43,37,0,0,686,120.00,134.00,14.00
articulation,articulated_legato,917,916,818,53,45,1,0,663,120.00,134.00,14.00
articulation,articulated_staccato,964,962,736,116,110,2,0,304,120.00,170.00,50.00
articulation,articulated_accentuated,917,916,818,53,45,1,0,663,120.00,134.00,14.00
