onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A#/Bb4,A#/Bb4,1.0
correct,0.26,0.29,-0.03,G#/Ab4,A#/Bb4,0.6
correct,0.55,0.51,0.04,F#/Gb4,G#/Ab4,0.6
correct,0.8,0.77,0.03,F#/Gb4,F#/Gb4,1.0
correct,1.09,1.12,-0.03,F4,D#/Eb4,0.6
correct,1.64,1.63,0.01,D#/Eb4,D#/Eb4,1.0
correct,1.89,1.92,-0.03,D#/Eb4,D#/Eb4,1.0
correct,2.18,2.21,-0.03,F#/Gb4,F4,0.8
correct,2.44,2.43,0.01,F#/Gb4,F#/Gb4,1.0
correct,2.72,2.72,0.0,A#/Bb4,A#/Bb4,1.0
late,2.72,3.26,-0.54,A#/Bb4,G#/Ab4,0.6
early,3.27,3.49,-0.22,G#/Ab4,G#/Ab4,1.0
correct,3.52,3.49,0.03,G#/Ab4,G#/Ab4,1.0
correct,3.81,3.78,0.03,F#/Gb4,F#/Gb4,1.0
correct,4.07,4.1,-0.03,F4,F4,1.0
correct,4.36,4.38,-0.02,D#/Eb4,C#/Db4,0.6
early,4.9,4.38,0.52,D#/Eb4,C#/Db4,0.6
late,5.19,4.9,0.29,F4,D#/Eb4,0.6
correct,5.19,5.18,0.01,F4,D#/Eb4,0.6
correct,5.44,5.44,0.0,F4,F4,1.0
correct,5.73,5.73,0.0,F#/Gb4,F#/Gb4,1.0
correct,5.99,5.98,0.01,G#/Ab4,A#/Bb4,0.6
correct,6.28,6.27,0.01,G#/Ab4,G#/Ab4,1.0
correct,6.53,6.53,0.0,G#/Ab4,G#/Ab4,1.0
correct,6.82,6.72,0.1,F#/Gb4,G#/Ab4,0.6
correct,7.08,7.04,0.04,F#/Gb4,F#/Gb4,1.0
correct,7.36,7.33,0.03,F4,F4,1.0
correct,7.62,7.65,-0.03,D#/Eb4,D#/Eb4,1.0
