onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A#/Bb4,A#/Bb4,1.0
correct,0.26,0.23,0.03,G#/Ab4,A#/Bb4,0.6
correct,0.55,0.58,-0.03,F#/Gb4,F#/Gb4,1.0
correct,0.8,0.74,0.06,F#/Gb4,F#/Gb4,1.0
late,0.8,1.09,-0.29,F#/Gb4,F4,0.8
late,1.09,1.67,-0.58,F4,D#/Eb4,0.6
correct,1.64,1.67,-0.03,D#/Eb4,D#/Eb4,1.0
correct,1.89,1.89,0.0,D#/Eb4,D#/Eb4,1.0
correct,2.18,2.18,0.0,F#/Gb4,F4,0.8
correct,2.44,2.43,0.01,F#/Gb4,F#/Gb4,1.0
correct,2.72,2.72,0.0,A#/Bb4,A#/Bb4,1.0
correct,3.27,3.23,0.04,G#/Ab4,G#/Ab4,1.0
correct,3.52,3.59,-0.07,G#/Ab4,F#/Gb4,0.6
correct,3.81,3.75,0.06,F#/Gb4,F#/Gb4,1.0
correct,4.07,4.1,-0.03,F4,F4,1.0
correct,4.36,4.35,0.01,D#/Eb4,C#/Db4,0.6
correct,4.9,4.87,0.03,D#/Eb4,D#/Eb4,1.0
correct,5.19,5.15,0.04,F4,D#/Eb4,0.6
correct,5.44,5.44,0.0,F4,F4,1.0
correct,5.73,5.67,0.06,F#/Gb4,F#/Gb4,1.0
correct,5.99,5.99,0.0,G#/Ab4,A#/Bb4,0.6
correct,6.28,6.21,0.07,G#/Ab4,G#/Ab4,1.0
correct,6.53,6.59,-0.06,G#/Ab4,G#/Ab4,1.0
correct,6.82,6.79,0.03,F#/Gb4,G#/Ab4,0.6
correct,7.08,7.07,0.01,F#/Gb4,F#/Gb4,1.0
correct,7.36,7.39,-0.03,F4,F4,1.0
correct,7.62,7.65,-0.03,D#/Eb4,C#/Db4,0.6
