mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,26,26,26,0,0,0,0,21,109.00,110.00,1.00
tempo,faster_tempo,27,27,25,1,1,0,0,19,109.00,134.00,25.00
tempo,a_lot_faster_tempo,28,28,24,2,2,0,0,17,109.00,110.00,1.00
tempo,slower_tempo,26,26,26,0,0,0,0,20,109.00,89.00,20.00
tempo,a_lot_slower_tempo,27,27,25,2,0,0,0,17,109.00,110.00,1.00
progressive_tempo,accelerando,30,26,18,5,3,4,0,3,109.00,82.00,27.00
progressive_tempo,ritardando,26,31,17,3,6,0,5,7,109.00,134.00,25.00
progressive_tempo,tempo_fluctuation,30,33,16,6,8,0,3,6,109.00,110.00,1.00
timing,note_too_soon,26,29,22,0,4,0,3,20,109.00,110.00,1.00
timing,note_too_late,27,26,24,2,0,1,0,21,109.00,110.00,1.00
duration,note_held_too_long,26,26,26,0,0,0,0,22,109.00,110.00,1.00
duration,note_cut_too_soon,26,26,26,0,0,0,0,22,109.00,110.00,1.00
note,note_missing,26,25,24,1,0,1,0,20,109.00,110.00,1.00
note,note_not_expected,26,27,25,0,1,0,1,19,109.00,110.00,1.00
articulation,articulated_legato,30,29,20,6,3,1,0,8,109.00,110.00,1.00
articulation,articulated_staccato,26,26,26,0,0,0,0,22,109.00,110.00,1.00
articulation,articulated_accentuated,26,26,26,0,0,0,0,22,109.00,110.00,1.00
