onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,B/Cb3,C4,0.8
correct,0.1,0.13,-0.03,B/Cb3,B/Cb3,1.0
correct,0.26,0.29,-0.03,B/Cb3,C#/Db4,0.6
correct,0.39,0.42,-0.03,C4,B/Cb3,0.8
correct,0.52,0.54,-0.02,B/Cb3,B/Cb3,1.0
correct,0.64,0.67,-0.03,B/Cb3,A3,0.6
correct,0.8,0.83,-0.03,B/Cb3,B/Cb3,1.0
correct,0.93,0.96,-0.03,B/Cb3,B/Cb3,1.0
correct,1.06,1.09,-0.03,B/Cb3,B/Cb3,1.0
correct,1.19,1.22,-0.03,B/Cb3,B/Cb3,1.0
correct,1.35,1.38,-0.03,B/Cb3,E/Fb3,0.1
correct,1.48,1.5,-0.02,E/Fb3,E/Fb3,1.0
correct,1.6,1.63,-0.03,E/Fb3,B/Cb3,0.1
correct,1.76,1.79,-0.03,B/Cb3,B/Cb3,1.0
correct,1.89,1.92,-0.03,B/Cb3,C4,0.8
correct,2.02,2.05,-0.03,C4,B/Cb3,0.8
correct,2.02,2.18,-0.16,C4,A3,0.4
correct,2.15,2.3,-0.15,B/Cb3,A3,0.6
correct,2.31,2.3,0.01,A3,A3,1.0
correct,2.44,2.46,-0.02,B/Cb3,B/Cb3,1.0
correct,2.56,2.59,-0.03,B/Cb3,A#/Bb3,0.8
correct,2.69,2.75,-0.06,B/Cb3,B/Cb3,1.0
correct,2.85,2.88,-0.03,B/Cb3,B/Cb3,1.0
correct,2.98,3.01,-0.03,B/Cb3,E/Fb3,0.1
correct,3.11,3.14,-0.03,E/Fb3,B/Cb3,0.1
correct,3.24,3.3,-0.06,B/Cb3,B/Cb3,1.0
correct,3.4,3.42,-0.02,B/Cb3,C4,0.8
correct,3.52,3.55,-0.03,B/Cb3,B/Cb3,1.0
correct,3.65,3.68,-0.03,B/Cb3,B/Cb3,1.0
correct,3.78,3.84,-0.06,B/Cb3,G#/Ab3,0.4
correct,3.94,3.97,-0.03,A3,B/Cb3,0.6
correct,4.07,4.1,-0.03,B/Cb3,C4,0.8
correct,4.2,4.22,-0.02,B/Cb3,B/Cb3,1.0
correct,4.32,4.38,-0.06,B/Cb3,B/Cb3,1.0
correct,4.48,4.51,-0.03,B/Cb3,A#/Bb3,0.8
correct,4.61,4.64,-0.03,B/Cb3,B/Cb3,1.0
correct,4.74,4.77,-0.03,A3,B/Cb3,0.6
correct,4.87,4.93,-0.06,B/Cb3,F#/Gb3,0.1
correct,5.03,5.06,-0.03,F#/Gb3,B/Cb3,0.1
correct,5.16,5.18,-0.02,B/Cb3,B/Cb3,1.0
correct,5.28,5.31,-0.03,B/Cb3,G3,0.2
correct,5.44,5.47,-0.03,B/Cb3,B/Cb3,1.0
correct,5.57,5.6,-0.03,B/Cb3,B/Cb3,1.0
correct,5.7,5.76,-0.06,B/Cb3,F#/Gb3,0.1
correct,5.83,5.89,-0.06,F#/Gb3,B/Cb3,0.1
correct,5.99,6.02,-0.03,B/Cb3,G3,0.2
correct,6.12,6.14,-0.02,G3,G3,1.0
correct,6.24,6.3,-0.06,B/Cb3,B/Cb3,1.0
correct,6.37,6.43,-0.06,B/Cb3,B/Cb3,1.0
correct,6.53,6.53,0.0,B/Cb3,B/Cb3,1.0
correct,6.66,6.69,-0.03,B/Cb3,B/Cb3,1.0
correct,6.79,6.85,-0.06,B/Cb3,C#/Db4,0.6
correct,6.92,6.98,-0.06,C4,B/Cb3,0.8
correct,7.08,7.1,-0.02,B/Cb3,B/Cb3,1.0
correct,7.2,7.23,-0.03,B/Cb3,A3,0.6
