onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb5,E/Fb5,1.0
correct,0.13,0.09,0.04,E/Fb5,E/Fb5,1.0
early,0.45,0.09,0.36,E/Fb5,E/Fb5,1.0
correct,0.77,0.32,0.45,C5,E/Fb5,0.2
early,1.09,0.48,0.61,A4,E/Fb5,0.1
early,1.57,0.7,0.87,G4,C5,0.1
late,1.73,1.12,0.61,G4,G4,1.0
early,1.89,1.12,0.77,A4,G4,0.6
early,2.05,1.12,0.93,E/Fb4,G4,0.4
early,2.37,1.28,1.09,D4,G4,0.1
early,2.66,1.37,1.29,A3,G4,0.6
correct,2.82,1.5,1.32,C4,A4,0.4
correct,2.98,1.66,1.32,E/Fb4,E/Fb4,1.0
early,3.3,1.66,1.64,F4,E/Fb4,0.8
correct,3.62,1.98,1.64,D5,D4,1.0
correct,3.78,2.11,1.67,E/Fb5,C4,0.2
correct,3.94,2.24,1.7,D5,E/Fb4,0.6
early,4.26,2.24,2.02,C5,E/Fb4,0.2
correct,4.58,2.46,2.12,A4,E/Fb4,0.1
correct,4.86,2.72,2.14,C5,F4,0.1
early,5.34,2.88,2.46,A4,E/Fb5,0.1
correct,5.5,3.01,2.49,E/Fb4,F5,0.8
correct,5.66,3.26,2.4,E/Fb4,D5,0.6
early,5.82,3.26,2.56,E/Fb4,D5,0.6
early,6.14,3.26,2.88,C5,D5,0.6
correct,6.3,3.52,2.78,C5,C5,1.0
correct,6.46,3.81,2.65,G5,A4,0.6
correct,6.78,4.19,2.59,G5,E/Fb4,0.4
correct,7.1,4.38,2.72,F5,G4,0.6
correct,7.23,4.51,2.72,G4,G4,1.0
correct,7.39,4.64,2.75,A4,G4,0.6
early,7.55,4.64,2.91,C5,G4,0.1
correct,7.71,4.93,2.78,C5,C5,1.0
early,7.87,4.93,2.94,D5,C5,0.6
correct,8.03,5.05,2.98,D5,C5,0.6
early,8.35,5.21,3.14,C5,G5,0.1
correct,8.67,5.5,3.17,D4,G5,0.1
early,8.99,5.5,3.49,G4,G5,1.0
late,9.15,5.82,3.33,G4,G4,1.0
correct,9.31,5.95,3.36,A4,A4,1.0
correct,9.47,6.11,3.36,D4,C5,0.6
correct,9.6,6.27,3.33,C4,C5,1.0
early,9.92,6.27,3.65,A4,C5,0.4
early,10.24,6.43,3.81,G4,F4,0.6
early,10.56,6.59,3.97,A4,D5,0.1
early,11.17,6.72,4.45,F5,C5,0.1
early,11.36,6.72,4.64,G4,C5,0.1
late,11.52,7.04,4.48,A4,D4,0.1
correct,11.84,7.36,4.48,G4,D4,0.1
correct,12.13,7.68,4.45,G4,G4,1.0
early,12.45,7.84,4.61,F4,G4,0.6
correct,12.77,8.03,4.74,C4,G4,0.1
early,13.09,8.03,5.06,E/Fb4,G4,0.4
early,13.41,8.19,5.22,E/Fb4,C4,0.2
early,14.02,8.35,5.67,E/Fb4,C5,0.2
correct,14.37,8.67,5.7,F4,F5,1.0
correct,14.66,8.99,5.67,A5,A4,1.0
early,14.98,8.99,5.99,D6,A4,0.1
correct,15.3,9.37,5.93,A6,G4,0.6
extra,,10.08,,,F4,
extra,,10.27,,,E/Fb5,
extra,,10.43,,,G4,
extra,,10.78,,,A4,
extra,,11.2,,,F4,
extra,,11.58,,,D5,
extra,,11.97,,,C4,
extra,,12.38,,,E/Fb4,
extra,,12.77,,,E/Fb4,
extra,,13.6,,,F4,
extra,,14.01,,,D#/Eb5,
extra,,14.43,,,A5,
extra,,14.88,,,D6,
extra,,15.33,,,A6,
