onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb5,D5,0.6
correct,0.13,0.16,-0.03,E/Fb5,E/Fb5,1.0
correct,0.45,0.41,0.04,E/Fb5,A4,0.1
correct,0.77,0.8,-0.03,C5,C5,1.0
correct,1.09,1.12,-0.03,A4,A4,1.0
correct,1.57,1.6,-0.03,G4,G4,1.0
correct,1.73,1.76,-0.03,G4,G4,1.0
correct,1.89,1.92,-0.03,A4,A4,1.0
correct,2.05,2.08,-0.03,E/Fb4,E/Fb4,1.0
correct,2.37,2.4,-0.03,D4,D4,1.0
correct,2.66,2.62,0.04,A3,D4,0.1
correct,2.82,2.85,-0.03,C4,A3,0.4
correct,2.98,3.01,-0.03,E/Fb4,C4,0.2
correct,3.3,3.33,-0.03,F4,F4,1.0
correct,3.62,3.65,-0.03,D5,D5,1.0
correct,3.78,3.81,-0.03,E/Fb5,E/Fb5,1.0
correct,3.94,3.97,-0.03,D5,F5,0.4
correct,4.26,4.25,0.01,C5,D5,0.6
correct,4.58,4.61,-0.03,A4,C5,0.4
correct,4.86,4.73,0.13,C5,C5,1.0
correct,5.34,5.37,-0.03,A4,F4,0.2
correct,5.5,5.53,-0.03,E/Fb4,E/Fb4,1.0
correct,5.66,5.69,-0.03,E/Fb4,G4,0.4
correct,5.82,5.85,-0.03,E/Fb4,C5,0.2
correct,6.14,6.17,-0.03,C5,G4,0.1
correct,6.3,6.3,0.0,C5,C5,1.0
correct,6.46,6.49,-0.03,G5,G5,1.0
correct,6.78,6.78,0.0,G5,G5,1.0
late,6.78,7.04,-0.26,G5,F5,0.6
correct,7.1,7.26,-0.16,F5,G4,0.6
correct,7.23,7.26,-0.03,G4,G4,1.0
correct,7.39,7.42,-0.03,A4,A4,1.0
correct,7.55,7.58,-0.03,C5,C5,1.0
correct,7.71,7.74,-0.03,C5,C5,1.0
correct,7.87,7.9,-0.03,D5,D5,1.0
correct,8.03,8.06,-0.03,D5,D5,1.0
correct,8.35,8.38,-0.03,C5,C5,1.0
correct,8.67,8.7,-0.03,D4,D4,1.0
correct,8.99,9.02,-0.03,G4,G4,1.0
correct,9.15,9.18,-0.03,G4,G4,1.0
correct,9.31,9.31,0.0,A4,A4,1.0
correct,9.47,9.47,0.0,D4,G4,0.1
correct,9.6,9.63,-0.03,C4,C4,1.0
correct,9.92,9.95,-0.03,A4,F5,0.2
correct,10.24,10.27,-0.03,G4,G4,1.0
correct,10.56,10.59,-0.03,A4,A4,1.0
correct,11.17,11.23,-0.06,F5,D5,0.4
correct,11.36,11.36,0.0,G4,D5,0.1
correct,11.52,11.52,0.0,A4,E/Fb5,0.1
correct,11.84,11.77,0.07,G4,F5,0.6
correct,12.13,12.16,-0.03,G4,D5,0.1
correct,12.45,12.48,-0.03,F4,C5,0.1
correct,12.77,12.8,-0.03,C4,C4,1.0
correct,13.09,13.12,-0.03,E/Fb4,E/Fb4,1.0
correct,13.41,13.44,-0.03,E/Fb4,C5,0.2
correct,14.02,14.05,-0.03,E/Fb4,E/Fb4,1.0
correct,14.37,14.3,0.07,F4,D5,0.4
correct,14.66,14.69,-0.03,A5,A5,1.0
correct,14.98,15.01,-0.03,D6,D6,1.0
correct,15.3,15.23,0.07,A6,D6,0.1
