onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C5,C5,1.0
correct,0.51,0.42,0.09,C5,C5,1.0
correct,0.99,0.99,0.0,G5,G5,1.0
correct,1.5,1.41,0.09,G5,G5,1.0
correct,2.02,1.92,0.1,A5,A5,1.0
correct,2.5,2.46,0.04,G5,A5,0.6
correct,3.01,3.01,0.0,G5,G5,1.0
correct,3.52,3.42,0.1,F5,G5,0.6
correct,4.0,3.94,0.06,F5,F5,1.0
correct,4.51,4.48,0.03,F5,F5,1.0
correct,4.99,4.9,0.09,E/Fb5,E/Fb5,1.0
correct,5.5,5.5,0.0,E/Fb5,E/Fb5,1.0
correct,6.02,6.02,0.0,D5,D5,1.0
correct,6.37,6.34,0.03,E/Fb5,D5,0.6
correct,6.53,6.53,0.0,C5,C5,1.0
correct,7.52,7.49,0.03,C5,C5,1.0
correct,8.0,8.0,0.0,C5,C5,1.0
correct,8.51,8.42,0.09,C5,C5,1.0
early,8.99,8.42,0.57,G5,C5,0.1
correct,9.5,8.83,0.67,G5,G5,1.0
correct,9.5,9.47,0.03,G5,G5,1.0
correct,10.02,9.92,0.1,A5,A5,1.0
correct,10.5,10.46,0.04,G5,A5,0.6
correct,11.01,11.01,0.0,G5,G5,1.0
correct,11.52,11.42,0.1,F5,G5,0.6
correct,12.0,11.94,0.06,F5,F5,1.0
correct,12.51,12.48,0.03,F5,F5,1.0
correct,12.99,13.02,-0.03,E/Fb5,E/Fb5,1.0
correct,13.5,13.44,0.06,E/Fb5,E/Fb5,1.0
correct,14.02,14.02,0.0,D5,D5,1.0
correct,14.37,14.3,0.07,E/Fb5,D5,0.6
correct,14.53,14.53,0.0,C5,C5,1.0
correct,15.52,15.52,0.0,G5,G5,1.0
correct,16.0,15.9,0.1,G5,G5,1.0
correct,16.51,16.48,0.03,G5,G5,1.0
correct,16.99,17.02,-0.03,F5,F5,1.0
correct,17.5,17.5,0.0,F5,F5,1.0
correct,18.02,18.02,0.0,E/Fb5,E/Fb5,1.0
correct,18.5,18.53,-0.03,D5,D5,1.0
correct,19.01,19.01,0.0,D5,D5,1.0
correct,19.49,19.46,0.03,G5,D5,0.1
correct,20.0,19.87,0.13,G5,G5,1.0
late,20.0,20.48,-0.48,G5,G5,1.0
correct,20.51,21.02,-0.51,G5,F5,0.6
correct,20.99,21.02,-0.03,F5,F5,1.0
correct,21.5,21.5,0.0,F5,F5,1.0
correct,22.02,22.02,0.0,F5,F5,1.0
correct,22.24,22.27,-0.03,E/Fb5,E/Fb5,1.0
correct,22.37,22.37,0.0,E/Fb5,E/Fb5,1.0
correct,22.53,22.53,0.0,E/Fb5,F5,0.8
correct,23.01,22.91,0.1,D5,E/Fb5,0.6
correct,23.49,23.46,0.03,D5,D5,1.0
correct,24.0,24.03,-0.03,C5,C5,1.0
correct,24.51,24.45,0.06,C5,C5,1.0
correct,24.99,25.02,-0.03,G5,G5,1.0
correct,25.5,25.44,0.06,G5,G5,1.0
correct,26.02,26.02,0.0,A5,A5,1.0
correct,26.5,26.5,0.0,G5,A5,0.6
early,27.01,26.85,0.16,G5,G5,1.0
correct,27.52,27.49,0.03,F5,G5,0.6
correct,28.0,28.03,-0.03,F5,F5,1.0
late,28.0,28.51,-0.51,F5,F5,1.0
correct,28.51,29.02,-0.51,F5,E/Fb5,0.8
correct,28.99,29.02,-0.03,E/Fb5,E/Fb5,1.0
correct,29.5,29.54,-0.04,E/Fb5,D5,0.6
correct,30.02,30.02,0.0,E/Fb5,D5,0.6
correct,30.24,30.27,-0.03,D5,D5,1.0
correct,30.37,30.37,0.0,D5,D5,1.0
correct,30.53,30.56,-0.03,C5,C5,1.0
