onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C5,C5,1.0
correct,0.51,0.51,0.0,C5,C5,1.0
correct,0.99,0.99,0.0,G5,G5,1.0
correct,1.5,1.5,0.0,G5,G5,1.0
correct,2.02,2.02,0.0,A5,A5,1.0
correct,2.5,2.5,0.0,G5,G5,1.0
correct,3.01,3.01,0.0,G5,G5,1.0
correct,3.52,3.52,0.0,F5,F5,1.0
correct,4.0,4.0,0.0,F5,F5,1.0
correct,4.51,4.51,0.0,F5,F5,1.0
late,4.99,5.47,-0.48,E/Fb5,E/Fb5,1.0
correct,5.5,5.98,-0.48,E/Fb5,D5,0.6
correct,6.02,6.5,-0.48,D5,C5,0.6
late,6.37,7.52,-1.15,E/Fb5,C5,0.2
late,6.53,8.0,-1.47,C5,C5,1.0
early,7.52,8.51,-0.99,C5,C5,1.0
correct,8.0,9.02,-1.02,C5,G5,0.1
correct,8.51,9.5,-0.99,C5,G5,0.1
correct,8.99,10.02,-1.03,G5,A5,0.6
correct,9.5,10.5,-1.0,G5,G5,1.0
correct,10.02,11.01,-0.99,A5,G5,0.6
correct,10.5,11.52,-1.02,G5,F5,0.6
correct,11.01,12.0,-0.99,G5,F5,0.6
correct,11.52,12.51,-0.99,F5,F5,1.0
correct,12.0,12.99,-0.99,F5,E/Fb5,0.8
correct,12.51,13.5,-0.99,F5,E/Fb5,0.8
correct,12.99,14.02,-1.03,E/Fb5,D5,0.6
early,13.5,14.37,-0.87,E/Fb5,D5,0.6
early,14.02,14.53,-0.51,D5,C5,0.6
late,14.37,15.52,-1.15,E/Fb5,G5,0.4
late,14.53,16.0,-1.47,C5,G5,0.1
early,15.52,16.51,-0.99,G5,G5,1.0
correct,16.0,17.02,-1.02,G5,F5,0.6
correct,16.51,17.5,-0.99,G5,F5,0.6
correct,16.99,18.02,-1.03,F5,E/Fb5,0.8
correct,17.5,18.5,-1.0,F5,D5,0.4
correct,18.02,19.01,-0.99,E/Fb5,D5,0.6
correct,18.5,19.49,-0.99,D5,D5,1.0
correct,19.01,20.0,-0.99,D5,G5,0.1
correct,19.49,20.51,-1.02,G5,G5,1.0
correct,20.0,21.02,-1.02,G5,F5,0.6
correct,20.51,21.5,-0.99,G5,F5,0.6
correct,20.99,22.02,-1.03,F5,F5,1.0
early,21.5,22.24,-0.74,F5,E/Fb5,0.8
early,22.02,22.4,-0.38,F5,F5,1.0
correct,22.24,22.53,-0.29,E/Fb5,E/Fb5,1.0
late,22.37,23.01,-0.64,E/Fb5,D5,0.6
late,22.53,23.49,-0.96,E/Fb5,D5,0.6
correct,23.01,24.0,-0.99,D5,C5,0.6
correct,23.49,24.51,-1.02,D5,C5,0.6
correct,24.0,25.02,-1.02,C5,G5,0.1
correct,24.51,25.5,-0.99,C5,G5,0.1
correct,24.99,25.98,-0.99,G5,A5,0.6
correct,25.5,26.53,-1.03,G5,G5,1.0
correct,26.02,27.01,-0.99,A5,G5,0.6
correct,26.5,27.52,-1.02,G5,F5,0.6
correct,27.01,28.0,-0.99,G5,F5,0.6
correct,27.52,28.51,-0.99,F5,F5,1.0
correct,28.0,29.02,-1.02,F5,E/Fb5,0.8
correct,28.51,29.5,-0.99,F5,E/Fb5,0.8
correct,28.99,30.02,-1.03,E/Fb5,E/Fb5,1.0
early,29.5,30.24,-0.74,E/Fb5,D5,0.6
early,30.02,30.4,-0.38,E/Fb5,E/Fb5,1.0
correct,30.24,30.53,-0.29,D5,C5,0.6
missing,30.37,,,D5,,
missing,30.53,,,C5,,
