onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C5,C5,1.0
early,0.51,0.32,0.19,C5,C5,1.0
correct,0.99,0.71,0.28,G5,G5,1.0
early,1.5,1.06,0.44,G5,G5,1.0
early,2.02,1.06,0.96,A5,G5,0.6
early,2.5,1.06,1.44,G5,G5,1.0
correct,3.01,1.44,1.57,G5,A5,0.6
early,3.52,1.79,1.73,F5,A5,0.2
correct,4.0,2.18,1.82,F5,G5,0.6
correct,4.51,2.56,1.95,F5,G5,0.6
correct,4.99,2.95,2.04,E/Fb5,F5,0.8
early,5.5,2.95,2.55,E/Fb5,F5,0.8
early,6.02,2.95,3.07,D5,F5,0.4
early,6.37,2.95,3.42,E/Fb5,F5,0.8
late,6.53,3.33,3.2,C5,E/Fb5,0.2
early,7.52,3.71,3.81,C5,E/Fb5,0.2
early,8.0,4.03,3.97,C5,E/Fb5,0.2
correct,8.51,4.51,4.0,C5,D5,0.6
early,8.99,4.77,4.22,G5,D5,0.1
early,9.5,4.96,4.54,G5,C5,0.1
early,10.02,4.96,5.06,A5,C5,0.4
late,10.5,5.73,4.77,G5,C5,0.1
early,11.01,5.73,5.28,G5,C5,0.1
correct,11.52,6.15,5.37,F5,C5,0.1
correct,12.0,6.56,5.44,F5,C5,0.1
correct,12.51,6.98,5.53,F5,G5,0.6
correct,12.99,7.43,5.56,E/Fb5,A5,0.1
correct,13.5,7.84,5.66,E/Fb5,A5,0.1
early,14.02,7.84,6.18,D5,A5,0.1
early,14.37,7.84,6.53,E/Fb5,A5,0.1
late,14.53,8.29,6.24,C5,G5,0.1
early,15.52,8.74,6.78,G5,G5,1.0
correct,16.0,9.15,6.85,G5,G5,1.0
late,16.0,9.63,6.37,G5,F5,0.6
correct,16.51,10.08,6.43,G5,F5,0.6
correct,16.99,10.53,6.46,F5,E/Fb5,0.8
early,17.5,10.53,6.97,F5,E/Fb5,0.8
early,18.02,10.53,7.49,E/Fb5,E/Fb5,1.0
early,18.5,10.53,7.97,D5,E/Fb5,0.6
correct,19.01,10.98,8.03,D5,E/Fb5,0.6
correct,19.49,11.49,8.0,G5,D5,0.1
early,20.0,11.84,8.16,G5,D5,0.1
early,20.51,12.0,8.51,G5,C5,0.1
early,20.99,12.0,8.99,F5,C5,0.1
early,21.5,12.0,9.5,F5,C5,0.1
late,22.02,12.93,9.09,F5,G5,0.6
late,22.24,13.44,8.8,E/Fb5,G5,0.4
late,22.37,13.89,8.48,E/Fb5,G5,0.4
late,22.53,14.4,8.13,E/Fb5,F5,0.8
correct,23.01,14.95,8.06,D5,E/Fb5,0.6
correct,23.49,15.46,8.03,D5,E/Fb5,0.6
early,24.0,15.46,8.54,C5,E/Fb5,0.2
correct,24.51,16.0,8.51,C5,D5,0.6
correct,24.99,16.51,8.48,G5,E/Fb5,0.4
correct,25.5,17.06,8.44,G5,G5,1.0
correct,26.02,17.6,8.42,A5,G5,0.6
correct,26.5,18.15,8.35,G5,F5,0.6
correct,27.01,18.69,8.32,G5,F5,0.6
early,27.52,18.69,8.83,F5,F5,1.0
early,28.0,18.69,9.31,F5,F5,1.0
correct,28.51,19.27,9.24,F5,E/Fb5,0.8
correct,28.99,19.81,9.18,E/Fb5,F5,0.8
early,29.5,19.81,9.69,E/Fb5,F5,0.8
early,30.02,20.03,9.99,E/Fb5,D5,0.6
correct,30.24,20.23,10.01,D5,E/Fb5,0.6
correct,30.37,20.42,9.95,D5,E/Fb5,0.6
late,30.37,20.99,9.38,D5,D5,1.0
late,30.53,21.57,8.96,C5,C5,1.0
extra,,22.18,,,C5,
extra,,22.75,,,G5,
extra,,23.36,,,F#/Gb5,
extra,,24.0,,,A5,
extra,,24.61,,,A5,
extra,,25.25,,,G5,
extra,,25.89,,,G5,
extra,,26.56,,,E/Fb5,
extra,,27.2,,,E/Fb5,
extra,,27.87,,,D#/Eb5,
extra,,28.55,,,E/Fb5,
extra,,29.25,,,D5,
extra,,29.95,,,E/Fb5,
extra,,30.24,,,C5,
extra,,30.4,,,D5,
extra,,30.66,,,C5,
