onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C5,A4,0.4
correct,0.13,0.19,-0.06,C5,B/Cb4,0.8
correct,0.35,0.35,0.0,B/Cb4,A4,0.6
correct,0.51,0.54,-0.03,A4,A4,1.0
correct,0.86,0.83,0.03,D5,D5,1.0
correct,1.18,1.21,-0.03,D5,D5,1.0
correct,1.38,1.37,0.01,E/Fb5,D5,0.6
correct,1.54,1.57,-0.03,B/Cb4,B/Cb4,1.0
correct,1.73,1.73,0.0,C5,C5,1.0
correct,1.89,1.89,0.0,A4,A4,1.0
correct,2.24,2.21,0.03,A4,A4,1.0
correct,2.56,2.56,0.0,A4,A4,1.0
correct,2.75,2.75,0.0,A4,C5,0.4
late,2.75,2.91,-0.16,A4,B/Cb4,0.6
correct,2.88,3.1,-0.22,C5,B/Cb4,0.8
correct,3.07,3.1,-0.03,B/Cb4,B/Cb4,1.0
correct,3.26,3.26,0.0,A4,A4,1.0
correct,3.42,3.42,0.0,G4,G4,1.0
late,3.42,3.61,-0.19,G4,F#/Gb5,0.8
late,3.42,3.77,-0.35,G4,F#/Gb5,0.8
correct,3.58,3.97,-0.39,G5,D5,0.1
early,3.74,3.97,-0.23,F#/Gb5,D5,0.2
correct,3.9,3.97,-0.07,E/Fb5,D5,0.6
correct,4.13,4.13,0.0,C5,C5,1.0
correct,4.26,4.29,-0.03,B/Cb4,B/Cb4,1.0
correct,4.45,4.48,-0.03,A4,A4,1.0
correct,4.64,4.64,0.0,G4,G4,1.0
correct,5.28,5.31,-0.03,G4,A4,0.6
correct,5.47,5.5,-0.03,A4,A4,1.0
correct,5.66,5.66,0.0,C5,C5,1.0
correct,5.82,5.85,-0.03,B/Cb4,B/Cb4,1.0
correct,5.98,6.01,-0.03,A4,A4,1.0
correct,6.34,6.3,0.04,D5,D5,1.0
correct,6.69,6.65,0.04,D5,D5,1.0
correct,6.85,6.88,-0.03,E/Fb5,E/Fb5,1.0
correct,7.04,7.04,0.0,B/Cb4,B/Cb4,1.0
correct,7.2,7.2,0.0,C5,C5,1.0
correct,7.33,7.36,-0.03,C5,C5,1.0
early,7.71,7.36,0.35,A4,C5,0.4
correct,8.06,7.68,0.38,A4,A4,1.0
correct,8.06,8.03,0.03,A4,A4,1.0
correct,8.22,8.22,0.0,A4,A4,1.0
correct,8.38,8.38,0.0,C5,C5,1.0
correct,8.58,8.57,0.01,A4,B/Cb4,0.6
correct,8.74,8.77,-0.03,G4,G4,1.0
early,8.93,8.77,0.16,D5,G4,0.1
correct,9.09,8.93,0.16,A4,D5,0.1
correct,9.25,9.09,0.16,B/Cb4,A4,0.6
correct,9.25,9.25,0.0,B/Cb4,A4,0.6
correct,9.44,9.44,0.0,G4,G4,1.0
correct,10.08,10.08,0.0,G4,G4,1.0
correct,10.27,10.3,-0.03,A4,A4,1.0
correct,10.46,10.46,0.0,E/Fb5,E/Fb5,1.0
correct,10.62,10.62,0.0,E/Fb5,E/Fb5,1.0
correct,10.78,10.78,0.0,F#/Gb5,F#/Gb5,1.0
correct,10.98,10.97,0.01,D5,E/Fb5,0.6
correct,11.14,11.13,0.01,D5,D5,1.0
correct,11.33,11.29,0.04,F#/Gb5,D5,0.2
correct,11.46,11.49,-0.03,F#/Gb5,G5,0.8
correct,11.65,11.65,0.0,B/Cb5,G5,0.2
correct,11.84,11.81,0.03,D6,B/Cb5,0.4
correct,11.97,12.0,-0.03,D6,B/Cb5,0.4
correct,12.16,12.13,0.03,B/Cb5,B/Cb5,1.0
correct,12.35,12.35,0.0,B/Cb5,A5,0.6
correct,12.48,12.51,-0.03,A5,A5,1.0
correct,12.86,12.83,0.03,A5,A5,1.0
correct,13.02,13.02,0.0,B/Cb5,B/Cb5,1.0
correct,13.18,13.18,0.0,C#/Db5,C#/Db5,1.0
correct,13.34,13.37,-0.03,C#/Db5,C#/Db5,1.0
correct,13.54,13.53,0.01,A5,B/Cb5,0.6
correct,13.73,13.69,0.04,D5,A5,0.1
correct,13.89,13.89,0.0,D5,D5,1.0
correct,14.05,14.05,0.0,F#/Gb5,D5,0.2
correct,14.21,14.17,0.04,F#/Gb5,F#/Gb5,1.0
correct,14.37,14.4,-0.03,F#/Gb5,E/Fb5,0.6
correct,14.56,14.56,0.0,F#/Gb5,F#/Gb5,1.0
correct,14.72,14.75,-0.03,F#/Gb5,E/Fb5,0.6
correct,14.88,14.88,0.0,E/Fb5,E/Fb5,1.0
correct,15.07,15.07,0.0,F#/Gb5,E/Fb5,0.6
correct,15.26,15.26,0.0,E/Fb5,E/Fb5,1.0
correct,15.39,15.42,-0.03,F#/Gb5,F#/Gb5,1.0
correct,15.58,15.58,0.0,E/Fb5,E/Fb5,1.0
correct,15.78,15.77,0.01,E/Fb5,A4,0.1
correct,15.94,15.93,0.01,E/Fb5,E/Fb5,1.0
correct,16.13,16.09,0.04,F#/Gb5,E/Fb5,0.6
correct,16.26,16.25,0.01,F#/Gb5,F#/Gb5,1.0
early,16.45,16.25,0.2,D5,F#/Gb5,0.2
correct,16.64,16.45,0.19,D5,D5,1.0
correct,16.8,16.64,0.16,F#/Gb5,D5,0.2
correct,16.96,16.8,0.16,G5,F#/Gb5,0.8
correct,16.96,16.96,0.0,G5,G5,1.0
correct,17.15,17.12,0.03,G5,G5,1.0
correct,17.31,17.28,0.03,B/Cb5,B/Cb5,1.0
correct,17.47,17.47,0.0,D6,D6,1.0
correct,17.66,17.66,0.0,B/Cb5,B/Cb5,1.0
correct,17.82,17.82,0.0,B/Cb5,B/Cb5,1.0
correct,17.98,17.98,0.0,A5,A5,1.0
correct,18.34,18.3,0.04,B/Cb5,A5,0.6
correct,18.53,18.49,0.04,C#/Db5,B/Cb5,0.6
correct,18.66,18.69,-0.03,C#/Db5,C#/Db5,1.0
correct,18.85,18.85,0.0,B/Cb5,B/Cb5,1.0
correct,19.04,19.01,0.03,A5,B/Cb5,0.6
correct,19.17,19.2,-0.03,A5,D5,0.1
correct,19.36,19.36,0.0,D5,D5,1.0
correct,19.55,19.52,0.03,D5,F#/Gb5,0.2
correct,19.68,19.52,0.16,F#/Gb5,F#/Gb5,1.0
correct,19.87,19.68,0.19,F#/Gb5,F#/Gb5,1.0
correct,20.06,19.87,0.19,E/Fb5,E/Fb5,1.0
correct,20.19,20.06,0.13,F#/Gb5,F#/Gb5,1.0
correct,20.19,20.22,-0.03,F#/Gb5,F#/Gb5,1.0
late,20.19,20.38,-0.19,F#/Gb5,E/Fb5,0.6
correct,20.38,20.57,-0.19,E/Fb5,E/Fb5,1.0
correct,20.58,20.73,-0.15,D5,D5,1.0
correct,20.74,20.73,0.01,D5,D5,1.0
correct,21.09,21.02,0.07,F#/Gb5,D5,0.2
correct,21.44,21.41,0.03,D5,D5,1.0
correct,21.76,21.73,0.03,B/Cb4,D5,0.4
correct,22.11,22.08,0.03,B/Cb4,A4,0.6
correct,22.46,22.43,0.03,A4,A5,1.0
correct,22.59,22.62,-0.03,A5,A5,1.0
correct,22.78,22.78,0.0,E/Fb5,E/Fb5,1.0
correct,22.94,22.97,-0.03,F#/Gb5,F#/Gb5,1.0
correct,23.1,23.13,-0.03,G5,G5,1.0
correct,23.33,23.29,0.04,E/Fb5,F#/Gb5,0.6
correct,23.49,23.49,0.0,D5,D5,1.0
early,23.84,23.49,0.35,F#/Gb5,D5,0.2
correct,24.16,23.77,0.39,D5,D5,1.0
correct,24.16,24.13,0.03,D5,F#/Gb5,0.2
correct,24.51,24.45,0.06,D5,D5,1.0
correct,24.86,24.8,0.06,B/Cb4,B/Cb4,1.0
early,25.18,24.8,0.38,A4,B/Cb4,0.6
late,25.34,25.15,0.19,G#/Ab5,A4,0.8
correct,25.54,25.31,0.23,B/Cb5,G#/Ab5,0.4
correct,25.54,25.53,0.01,B/Cb5,A5,0.6
correct,25.73,25.69,0.04,C#/Db6,B/Cb5,0.6
correct,25.89,25.85,0.04,E/Fb6,C#/Db6,0.4
early,26.05,25.85,0.2,D6,C#/Db6,0.8
correct,26.24,26.05,0.19,D6,D6,1.0
correct,26.24,26.21,0.03,D6,D6,1.0
correct,26.56,26.53,0.03,F#/Gb6,D6,0.2
correct,26.91,26.88,0.03,F#/Gb6,F#/Gb6,1.0
correct,27.26,27.2,0.06,D6,D6,1.0
correct,27.58,27.55,0.03,B/Cb5,B/Cb5,1.0
correct,27.94,27.9,0.04,A5,A5,1.0
early,28.13,27.9,0.23,E/Fb5,A5,0.1
correct,28.29,28.09,0.2,F#/Gb5,A5,0.4
correct,28.29,28.25,0.04,F#/Gb5,E/Fb5,0.6
correct,28.45,28.45,0.0,G5,G5,1.0
early,28.64,28.45,0.19,F#/Gb5,G5,0.8
correct,28.77,28.61,0.16,F#/Gb5,F#/Gb5,1.0
correct,28.77,28.77,0.0,F#/Gb5,E/Fb5,0.6
correct,28.96,28.96,0.0,D5,D5,1.0
correct,29.31,29.25,0.06,D5,D5,1.0
correct,29.66,29.6,0.06,F#/Gb6,F#/Gb6,1.0
correct,29.98,29.95,0.03,D6,D6,1.0
