onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C5,C5,1.0
correct,0.13,0.13,0.0,C5,C5,1.0
correct,0.35,0.35,0.0,B/Cb4,B/Cb4,1.0
correct,0.51,0.51,0.0,A4,A4,1.0
correct,0.86,0.86,0.0,D5,D5,1.0
correct,1.18,1.18,0.0,D5,D5,1.0
correct,1.38,1.38,0.0,E/Fb5,E/Fb5,1.0
correct,1.54,1.54,0.0,B/Cb4,B/Cb4,1.0
correct,1.73,1.73,0.0,C5,C5,1.0
correct,1.89,1.89,0.0,A4,A4,1.0
correct,2.24,2.24,0.0,A4,A4,1.0
correct,2.56,2.56,0.0,A4,A4,1.0
correct,2.75,2.75,0.0,A4,A4,1.0
correct,2.88,2.88,0.0,C5,C5,1.0
correct,3.07,3.07,0.0,B/Cb4,B/Cb4,1.0
correct,3.26,3.26,0.0,A4,A4,1.0
correct,3.42,3.42,0.0,G4,G4,1.0
correct,3.58,3.58,0.0,G5,G5,1.0
correct,3.74,3.74,0.0,F#/Gb5,F#/Gb5,1.0
correct,3.9,3.9,0.0,E/Fb5,E/Fb5,1.0
correct,4.13,4.13,0.0,C5,C5,1.0
correct,4.26,4.26,0.0,B/Cb4,B/Cb4,1.0
correct,4.45,4.45,0.0,A4,A4,1.0
correct,4.64,4.64,0.0,G4,G4,1.0
correct,5.28,5.28,0.0,G4,G4,1.0
correct,5.47,5.47,0.0,A4,A4,1.0
correct,5.66,5.66,0.0,C5,C5,1.0
correct,5.82,5.82,0.0,B/Cb4,B/Cb4,1.0
correct,5.98,5.98,0.0,A4,A4,1.0
correct,6.34,6.34,0.0,D5,D5,1.0
correct,6.69,6.69,0.0,D5,D5,1.0
correct,6.85,6.85,0.0,E/Fb5,E/Fb5,1.0
correct,7.04,7.04,0.0,B/Cb4,B/Cb4,1.0
correct,7.2,7.2,0.0,C5,C5,1.0
correct,7.33,7.33,0.0,C5,C5,1.0
correct,7.71,7.71,0.0,A4,A4,1.0
correct,8.06,8.06,0.0,A4,A4,1.0
correct,8.22,8.22,0.0,A4,A4,1.0
correct,8.38,8.38,0.0,C5,C5,1.0
correct,8.58,8.58,0.0,A4,A4,1.0
correct,8.74,8.74,0.0,G4,G4,1.0
correct,8.93,8.93,0.0,D5,D5,1.0
correct,9.09,9.09,0.0,A4,A4,1.0
correct,9.25,9.25,0.0,B/Cb4,B/Cb4,1.0
correct,9.44,9.44,0.0,G4,G4,1.0
correct,10.08,10.08,0.0,G4,G4,1.0
correct,10.27,10.27,0.0,A4,A4,1.0
correct,10.46,10.46,0.0,E/Fb5,E/Fb5,1.0
correct,10.62,10.62,0.0,E/Fb5,E/Fb5,1.0
correct,10.78,10.78,0.0,F#/Gb5,F#/Gb5,1.0
correct,10.98,10.98,0.0,D5,D5,1.0
correct,11.14,11.14,0.0,D5,D5,1.0
correct,11.33,11.33,0.0,F#/Gb5,F#/Gb5,1.0
correct,11.46,11.46,0.0,F#/Gb5,F#/Gb5,1.0
correct,11.65,11.65,0.0,B/Cb5,B/Cb5,1.0
correct,11.84,11.84,0.0,D6,D6,1.0
correct,11.97,11.97,0.0,D6,D6,1.0
correct,12.16,12.16,0.0,B/Cb5,B/Cb5,1.0
correct,12.35,12.35,0.0,B/Cb5,B/Cb5,1.0
correct,12.48,12.48,0.0,A5,A5,1.0
correct,12.86,12.86,0.0,A5,A5,1.0
correct,13.02,13.02,0.0,B/Cb5,B/Cb5,1.0
correct,13.18,13.18,0.0,C#/Db5,C#/Db5,1.0
correct,13.34,13.34,0.0,C#/Db5,C#/Db5,1.0
correct,13.54,13.54,0.0,A5,A5,1.0
correct,13.73,13.73,0.0,D5,D5,1.0
correct,13.89,13.89,0.0,D5,D5,1.0
correct,14.05,14.05,0.0,F#/Gb5,F#/Gb5,1.0
correct,14.21,14.21,0.0,F#/Gb5,G#/Ab5,0.6
correct,14.37,14.37,0.0,F#/Gb5,F#/Gb5,1.0
correct,14.56,14.56,0.0,F#/Gb5,E/Fb5,0.6
correct,14.72,14.72,0.0,F#/Gb5,F#/Gb5,1.0
correct,14.88,14.88,0.0,E/Fb5,G#/Ab5,0.2
correct,15.07,15.07,0.0,F#/Gb5,F#/Gb5,1.0
correct,15.26,15.26,0.0,E/Fb5,E/Fb5,1.0
correct,15.39,15.42,-0.03,F#/Gb5,F#/Gb5,1.0
correct,15.58,15.58,0.0,E/Fb5,E/Fb5,1.0
correct,15.78,15.78,0.0,E/Fb5,E/Fb5,1.0
correct,15.94,15.94,0.0,E/Fb5,E/Fb5,1.0
correct,16.13,16.13,0.0,F#/Gb5,F#/Gb5,1.0
correct,16.26,16.26,0.0,F#/Gb5,F#/Gb5,1.0
correct,16.45,16.45,0.0,D5,D5,1.0
correct,16.64,16.64,0.0,D5,D5,1.0
correct,16.8,16.8,0.0,F#/Gb5,F#/Gb5,1.0
correct,16.96,16.96,0.0,G5,F#/Gb5,0.8
correct,17.15,17.15,0.0,G5,G5,1.0
correct,17.31,17.31,0.0,B/Cb5,B/Cb5,1.0
correct,17.47,17.47,0.0,D6,D6,1.0
correct,17.66,17.66,0.0,B/Cb5,B/Cb5,1.0
correct,17.82,17.82,0.0,B/Cb5,B/Cb5,1.0
correct,17.98,18.02,-0.04,A5,A5,1.0
correct,18.34,18.34,0.0,B/Cb5,B/Cb5,1.0
correct,18.53,18.53,0.0,C#/Db5,C#/Db5,1.0
correct,18.66,18.66,0.0,C#/Db5,C#/Db5,1.0
correct,18.85,18.85,0.0,B/Cb5,B/Cb5,1.0
correct,19.04,19.04,0.0,A5,A5,1.0
correct,19.17,19.17,0.0,A5,A5,1.0
correct,19.36,19.36,0.0,D5,D5,1.0
correct,19.55,19.55,0.0,D5,D5,1.0
correct,19.68,19.68,0.0,F#/Gb5,G#/Ab5,0.6
correct,19.87,19.87,0.0,F#/Gb5,F#/Gb5,1.0
correct,20.06,20.06,0.0,E/Fb5,E/Fb5,1.0
correct,20.19,20.22,-0.03,F#/Gb5,F#/Gb5,1.0
correct,20.38,20.42,-0.04,E/Fb5,E/Fb5,1.0
correct,20.58,20.58,0.0,D5,D5,1.0
correct,20.74,20.74,0.0,D5,D5,1.0
correct,21.09,21.09,0.0,F#/Gb5,F#/Gb5,1.0
correct,21.44,21.44,0.0,D5,D5,1.0
correct,21.76,21.76,0.0,B/Cb4,B/Cb4,1.0
correct,22.11,22.11,0.0,B/Cb4,B/Cb4,1.0
correct,22.46,22.46,0.0,A4,A4,1.0
correct,22.59,22.62,-0.03,A5,A5,1.0
correct,22.78,22.82,-0.04,E/Fb5,F#/Gb5,0.6
correct,22.94,22.94,0.0,F#/Gb5,F#/Gb5,1.0
