onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C5,C5,1.0
correct,0.13,0.13,0.0,C5,B/Cb4,0.8
early,0.35,0.13,0.22,B/Cb4,B/Cb4,1.0
correct,0.51,0.22,0.29,A4,B/Cb4,0.6
early,0.86,0.35,0.51,D5,D5,1.0
correct,1.18,0.57,0.61,D5,D5,1.0
correct,1.38,0.83,0.55,E/Fb5,D5,0.6
early,1.54,0.83,0.71,B/Cb4,D5,0.4
correct,1.73,0.96,0.77,C5,E/Fb5,0.2
correct,1.89,1.09,0.8,A4,B/Cb4,0.6
early,2.24,1.09,1.15,A4,B/Cb4,0.6
early,2.56,1.21,1.35,A4,B/Cb4,0.6
correct,2.75,1.34,1.41,A4,C5,0.4
correct,2.88,1.34,1.54,C5,C5,1.0
early,3.07,1.34,1.73,B/Cb4,C5,0.8
correct,3.26,1.57,1.69,A4,A4,1.0
correct,3.42,1.82,1.6,G4,A4,0.6
correct,3.58,1.95,1.63,G5,C5,0.1
correct,3.74,2.08,1.66,F#/Gb5,B/Cb4,0.1
early,3.9,2.08,1.82,E/Fb5,B/Cb4,0.1
correct,4.13,2.21,1.92,C5,A4,0.4
correct,4.26,2.33,1.93,B/Cb4,A4,0.6
correct,4.45,2.46,1.99,A4,G4,0.6
early,4.64,2.46,2.18,G4,G4,1.0
early,5.28,2.59,2.69,G4,F#/Gb5,0.8
correct,5.47,2.72,2.75,A4,E/Fb5,0.1
early,5.66,2.72,2.94,C5,E/Fb5,0.2
correct,5.82,2.85,2.97,B/Cb4,D5,0.4
correct,5.98,2.97,3.01,A4,C5,0.4
early,6.34,2.97,3.37,D5,C5,0.6
early,6.69,3.1,3.59,D5,B/Cb4,0.4
correct,6.85,3.23,3.62,E/Fb5,A4,0.1
correct,7.04,3.36,3.68,B/Cb4,G4,0.2
late,7.2,3.87,3.33,C5,A4,0.4
correct,7.33,4.0,3.33,C5,C5,1.0
early,7.71,4.0,3.71,A4,C5,0.4
early,8.06,4.13,3.93,A4,B/Cb4,0.6
correct,8.22,4.25,3.97,A4,B/Cb4,0.6
correct,8.38,4.38,4.0,C5,A4,0.4
correct,8.58,4.64,3.94,A4,D5,0.1
early,8.74,4.64,4.1,G4,D5,0.1
early,8.93,4.64,4.29,D5,D5,1.0
correct,9.09,4.89,4.2,A4,D5,0.1
correct,9.25,5.05,4.2,B/Cb4,D5,0.4
correct,9.44,5.18,4.26,G4,E/Fb5,0.4
early,10.08,5.18,4.9,G4,E/Fb5,0.4
correct,10.27,5.31,4.96,A4,C5,0.4
correct,10.46,5.44,5.02,E/Fb5,A4,0.1
correct,10.62,5.66,4.96,E/Fb5,A4,0.1
early,10.78,5.66,5.12,F#/Gb5,A4,0.4
correct,10.98,5.85,5.13,D5,A4,0.1
correct,11.14,6.11,5.03,D5,C5,0.6
correct,11.33,6.24,5.09,F#/Gb5,B/Cb4,0.1
correct,11.46,6.24,5.22,F#/Gb5,B/Cb4,0.1
correct,11.65,6.4,5.25,B/Cb5,A4,0.6
early,11.84,6.4,5.44,D6,A4,0.1
correct,11.97,6.4,5.57,D6,A4,0.1
correct,12.16,6.53,5.63,B/Cb5,G4,0.2
correct,12.16,6.65,5.51,B/Cb5,G4,0.2
correct,12.35,6.78,5.57,B/Cb5,D5,0.4
correct,12.48,6.91,5.57,A5,B/Cb4,0.6
early,12.86,6.91,5.95,A5,B/Cb4,0.6
correct,13.02,7.07,5.95,B/Cb5,G4,0.2
late,13.18,7.61,5.57,C#/Db5,A4,0.2
early,13.34,7.61,5.73,C#/Db5,A4,0.2
correct,13.54,7.74,5.8,A5,A4,1.0
correct,13.73,7.87,5.86,D5,E/Fb5,0.6
correct,13.89,8.03,5.86,D5,F#/Gb5,0.2
correct,14.05,8.16,5.89,F#/Gb5,E/Fb5,0.6
early,14.21,8.16,6.05,F#/Gb5,E/Fb5,0.6
correct,14.37,8.29,6.08,F#/Gb5,D5,0.2
correct,14.56,8.45,6.11,F#/Gb5,D5,0.2
early,14.72,8.45,6.27,F#/Gb5,D5,0.2
correct,14.88,8.57,6.31,E/Fb5,D5,0.6
correct,15.07,8.7,6.37,F#/Gb5,F#/Gb5,1.0
correct,15.26,8.86,6.4,E/Fb5,G5,0.4
correct,15.39,8.86,6.53,F#/Gb5,G5,0.8
correct,15.58,8.99,6.59,E/Fb5,D6,0.6
correct,15.78,9.15,6.63,E/Fb5,B/Cb5,0.1
correct,15.94,9.28,6.66,E/Fb5,B/Cb5,0.1
correct,16.13,9.41,6.72,F#/Gb5,B/Cb5,0.1
correct,16.26,9.41,6.85,F#/Gb5,B/Cb5,0.1
early,16.45,9.41,7.04,D5,B/Cb5,0.4
early,16.64,9.41,7.23,D5,B/Cb5,0.4
correct,16.8,9.57,7.23,F#/Gb5,A5,0.4
correct,16.96,9.82,7.14,G5,A5,0.6
late,16.96,9.98,6.98,G5,B/Cb5,0.2
correct,17.15,10.14,7.01,G5,C#/Db5,0.0
correct,17.31,10.27,7.04,B/Cb5,B/Cb5,1.0
correct,17.47,10.43,7.04,D6,A5,0.1
early,17.66,10.43,7.23,B/Cb5,A5,0.6
correct,17.82,10.56,7.26,B/Cb5,D5,0.4
correct,17.98,10.72,7.26,A5,D5,0.1
early,18.34,10.85,7.49,B/Cb5,F#/Gb5,0.1
early,18.53,10.85,7.68,C#/Db5,F#/Gb5,0.1
correct,18.66,10.97,7.69,C#/Db5,F#/Gb5,0.1
correct,18.85,11.13,7.72,B/Cb5,F#/Gb5,0.1
correct,19.04,11.29,7.75,A5,E/Fb5,0.1
correct,19.17,11.29,7.88,A5,E/Fb5,0.1
correct,19.36,11.45,7.91,D5,F#/Gb5,0.2
correct,19.55,11.55,8.0,D5,E/Fb5,0.6
correct,19.68,11.55,8.13,F#/Gb5,E/Fb5,0.6
early,19.87,11.55,8.32,F#/Gb5,E/Fb5,0.6
correct,20.06,11.74,8.32,E/Fb5,F#/Gb5,0.6
correct,20.06,11.87,8.19,E/Fb5,E/Fb5,1.0
correct,20.19,12.03,8.16,F#/Gb5,E/Fb5,0.6
correct,20.38,12.19,8.19,E/Fb5,A4,0.1
early,20.58,12.19,8.39,D5,A4,0.1
early,20.74,12.19,8.55,D5,A4,0.1
early,21.09,12.32,8.77,F#/Gb5,E/Fb5,0.6
