onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C5,C5,1.0
correct,0.13,0.16,-0.03,C5,B/Cb4,0.8
correct,0.35,0.32,0.03,B/Cb4,B/Cb4,1.0
correct,0.51,0.48,0.03,A4,A4,1.0
correct,0.86,0.83,0.03,D5,D5,1.0
correct,1.18,1.18,0.0,D5,D5,1.0
correct,1.38,1.34,0.04,E/Fb5,D5,0.6
correct,1.54,1.5,0.04,B/Cb4,E/Fb5,0.1
correct,1.73,1.7,0.03,C5,B/Cb4,0.8
correct,1.89,1.86,0.03,A4,C5,0.4
correct,2.24,2.21,0.03,A4,A4,1.0
correct,2.56,2.56,0.0,A4,A4,1.0
correct,2.75,2.72,0.03,A4,A4,1.0
correct,2.88,2.91,-0.03,C5,C5,1.0
correct,3.07,3.07,0.0,B/Cb4,B/Cb4,1.0
correct,3.26,3.23,0.03,A4,A4,1.0
correct,3.42,3.42,0.0,G4,G4,1.0
correct,3.58,3.58,0.0,G5,G5,1.0
correct,3.74,3.74,0.0,F#/Gb5,F#/Gb5,1.0
correct,3.9,3.94,-0.04,E/Fb5,D5,0.6
correct,4.13,4.1,0.03,C5,C5,1.0
correct,4.26,4.26,0.0,B/Cb4,B/Cb4,1.0
correct,4.45,4.45,0.0,A4,A4,1.0
correct,4.64,4.61,0.03,G4,G4,1.0
correct,5.28,5.28,0.0,G4,G4,1.0
correct,5.47,5.47,0.0,A4,A4,1.0
correct,5.66,5.63,0.03,C5,C5,1.0
correct,5.82,5.82,0.0,B/Cb4,B/Cb4,1.0
correct,5.98,5.98,0.0,A4,A4,1.0
correct,6.34,6.34,0.0,D5,D5,1.0
correct,6.69,6.66,0.03,D5,D5,1.0
correct,6.85,6.85,0.0,E/Fb5,D5,0.6
correct,7.04,7.01,0.03,B/Cb4,E/Fb5,0.1
correct,7.2,7.2,0.0,C5,C5,1.0
correct,7.33,7.36,-0.03,C5,C5,1.0
early,7.71,7.36,0.35,A4,C5,0.4
correct,8.06,7.68,0.38,A4,A4,1.0
correct,8.06,8.03,0.03,A4,A4,1.0
correct,8.22,8.22,0.0,A4,A4,1.0
correct,8.38,8.38,0.0,C5,C5,1.0
correct,8.58,8.58,0.0,A4,A4,1.0
early,8.74,8.58,0.16,G4,A4,0.6
correct,8.93,8.74,0.19,D5,G4,0.1
correct,8.93,8.9,0.03,D5,G4,0.1
correct,9.09,9.06,0.03,A4,D5,0.1
correct,9.25,9.25,0.0,B/Cb4,A4,0.6
correct,9.44,9.44,0.0,G4,G4,1.0
