onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C5,A4,0.4
late,0.0,0.19,-0.19,C5,C5,1.0
correct,0.13,0.38,-0.25,C5,B/Cb4,0.8
correct,0.35,0.38,-0.03,B/Cb4,B/Cb4,1.0
correct,0.51,0.51,0.0,A4,A4,1.0
correct,0.86,0.89,-0.03,D5,D5,1.0
correct,1.18,1.25,-0.07,D5,D5,1.0
correct,1.38,1.37,0.01,E/Fb5,D5,0.6
correct,1.54,1.57,-0.03,B/Cb4,B/Cb4,1.0
correct,1.73,1.69,0.04,C5,B/Cb4,0.8
correct,1.89,1.92,-0.03,A4,A4,1.0
correct,2.24,2.27,-0.03,A4,A4,1.0
correct,2.56,2.49,0.07,A4,A4,1.0
correct,2.75,2.75,0.0,A4,A4,1.0
correct,2.88,2.94,-0.06,C5,C5,1.0
correct,3.07,2.94,0.13,B/Cb4,C5,0.8
correct,3.26,3.1,0.16,A4,B/Cb4,0.6
correct,3.26,3.26,0.0,A4,A4,1.0
correct,3.42,3.45,-0.03,G4,G4,1.0
correct,3.58,3.61,-0.03,G5,G5,1.0
correct,3.74,3.77,-0.03,F#/Gb5,F#/Gb5,1.0
correct,3.9,3.97,-0.07,E/Fb5,D5,0.6
correct,4.13,4.13,0.0,C5,C5,1.0
correct,4.26,4.32,-0.06,B/Cb4,B/Cb4,1.0
correct,4.45,4.48,-0.03,A4,A4,1.0
correct,4.64,4.64,0.0,G4,G4,1.0
correct,5.28,5.34,-0.06,G4,G4,1.0
correct,5.47,5.5,-0.03,A4,A4,1.0
correct,5.66,5.66,0.0,C5,C5,1.0
correct,5.82,5.85,-0.03,B/Cb4,B/Cb4,1.0
correct,5.98,6.01,-0.03,A4,A4,1.0
correct,6.34,6.37,-0.03,D5,D5,1.0
correct,6.69,6.72,-0.03,D5,D5,1.0
correct,6.85,6.88,-0.03,E/Fb5,D5,0.6
correct,7.04,7.07,-0.03,B/Cb4,B/Cb4,1.0
correct,7.2,7.23,-0.03,C5,C5,1.0
correct,7.33,7.42,-0.09,C5,C5,1.0
correct,7.71,7.77,-0.06,A4,A4,1.0
correct,8.06,8.09,-0.03,A4,A4,1.0
correct,8.22,8.25,-0.03,A4,A4,1.0
correct,8.38,8.41,-0.03,C5,C5,1.0
correct,8.58,8.61,-0.03,A4,B/Cb4,0.6
correct,8.74,8.77,-0.03,G4,A4,0.6
correct,8.93,8.93,0.0,D5,G4,0.1
correct,9.09,9.12,-0.03,A4,D5,0.1
correct,9.25,9.28,-0.03,B/Cb4,A4,0.6
correct,9.44,9.47,-0.03,G4,G4,1.0
