onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,F#/Gb5,F#/Gb5,1.0
late,1.22,1.54,-0.32,D5,D5,1.0
late,2.4,3.04,-0.64,D5,D5,1.0
late,2.4,4.55,-2.15,D5,C#/Db5,0.8
late,3.62,6.05,-2.43,B/Cb4,B/Cb4,1.0
late,4.8,7.56,-2.76,B/Cb4,B/Cb4,1.0
late,6.02,9.03,-3.01,B/Cb4,B/Cb4,1.0
late,7.2,10.53,-3.33,B/Cb4,C#/Db5,0.6
early,8.42,11.24,-2.82,D4,D4,1.0
late,9.0,11.97,-2.97,F#/Gb4,F#/Gb4,1.0
correct,9.6,12.71,-3.11,F#/Gb4,G4,0.8
correct,10.21,13.44,-3.23,A4,G4,0.6
correct,10.82,14.05,-3.23,F#/Gb4,F#/Gb4,1.0
correct,11.4,14.76,-3.36,D4,D4,1.0
late,11.4,15.59,-4.19,D4,E/Fb4,0.6
correct,12.0,16.32,-4.32,D4,E/Fb4,0.6
late,12.0,17.0,-5.0,D4,D4,1.0
late,12.0,17.6,-5.6,D4,B/Cb3,0.4
late,12.0,18.44,-6.44,D4,D#/Eb4,0.8
correct,12.61,19.14,-6.53,F#/Gb4,A4,0.4
correct,13.22,19.84,-6.62,D4,G4,0.1
correct,13.8,20.55,-6.75,B/Cb3,B/Cb4,1.0
correct,14.4,21.25,-6.85,B/Cb3,A4,0.6
correct,15.01,21.96,-6.95,D4,F#/Gb4,0.2
correct,15.62,22.56,-6.94,G4,F#/Gb4,0.8
late,16.2,23.36,-7.16,B/Cb4,D4,0.4
late,16.2,24.04,-7.84,B/Cb4,E/Fb4,0.1
late,16.2,24.61,-8.41,B/Cb4,C#/Db5,0.6
late,16.2,25.35,-9.15,B/Cb4,D5,0.4
correct,16.8,26.05,-9.25,B/Cb4,F#/Gb5,0.1
early,17.41,26.05,-8.64,A4,F#/Gb5,0.4
early,18.02,26.05,-8.03,F#/Gb4,F#/Gb5,1.0
correct,18.6,26.72,-8.12,D4,A5,0.1
correct,19.2,27.36,-8.16,D4,A4,0.1
correct,19.81,28.04,-8.23,E/Fb4,B/Cb4,0.1
late,19.81,28.84,-9.03,E/Fb4,A4,0.1
correct,20.42,29.41,-8.99,D5,A4,0.1
late,20.42,30.18,-9.76,D5,D4,1.0
late,20.42,30.85,-10.43,D5,D4,1.0
correct,21.0,31.4,-10.4,F#/Gb5,D5,0.2
early,21.6,31.68,-10.08,F#/Gb5,D5,0.2
early,22.21,31.84,-9.63,A5,E/Fb5,0.1
late,22.21,32.0,-9.79,A5,D5,0.1
early,22.82,32.16,-9.34,B/Cb4,E/Fb5,0.1
early,23.4,32.52,-9.12,G4,D5,0.1
early,24.0,32.84,-8.84,G4,C#/Db5,0.0
early,24.61,33.19,-8.58,A4,C#/Db5,0.2
early,25.22,33.51,-8.29,D4,C#/Db5,0.8
early,25.8,33.83,-8.03,D5,D5,1.0
early,26.4,34.15,-7.75,D5,D#/Eb4,0.8
late,26.56,34.5,-7.94,D5,C#/Db4,0.8
late,26.72,34.82,-8.1,E/Fb5,A4,0.1
late,26.72,35.17,-8.45,E/Fb5,E/Fb4,1.0
late,26.85,35.49,-8.64,D5,F#/Gb4,0.2
late,27.01,35.81,-8.8,E/Fb5,D4,0.6
correct,27.3,36.13,-8.83,C#/Db5,D5,0.8
correct,27.62,36.45,-8.83,D5,C#/Db5,0.8
correct,27.91,36.77,-8.86,C#/Db5,B/Cb4,0.6
late,27.91,37.0,-9.09,C#/Db5,C#/Db5,1.0
late,27.91,37.44,-9.53,C#/Db5,F#/Gb5,0.1
correct,28.2,37.76,-9.56,C#/Db5,A5,0.2
late,28.2,38.08,-9.88,C#/Db5,B/Cb5,0.6
correct,28.52,38.44,-9.92,D4,F#/Gb5,0.2
correct,28.8,38.76,-9.96,D4,E/Fb5,0.6
correct,29.09,39.08,-9.99,C#/Db4,G5,0.0
correct,29.41,39.4,-9.99,A4,F#/Gb5,0.4
correct,29.7,39.72,-10.02,F#/Gb4,E/Fb5,0.6
late,29.7,40.04,-10.34,F#/Gb4,D5,0.2
correct,30.02,40.36,-10.34,D4,C#/Db5,0.8
correct,30.31,40.68,-10.37,D5,B/Cb4,0.4
correct,30.6,41.0,-10.4,D5,B/Cb4,0.4
correct,30.92,41.32,-10.4,B/Cb4,G4,0.2
correct,31.2,41.64,-10.44,B/Cb4,F#/Gb4,0.1
correct,31.49,41.86,-10.37,C#/Db5,F#/Gb4,0.1
correct,31.81,42.28,-10.47,F#/Gb5,G4,0.8
correct,32.1,42.6,-10.5,B/Cb5,G4,0.2
late,32.1,42.82,-10.72,B/Cb5,F#/Gb4,0.1
correct,32.42,43.24,-10.82,G5,D4,0.1
correct,32.71,43.56,-10.85,F#/Gb5,E/Fb4,0.6
correct,33.0,43.84,-10.84,F#/Gb5,E/Fb4,0.6
correct,33.32,44.07,-10.75,G5,F#/Gb4,0.8
correct,33.6,44.48,-10.88,G5,G4,1.0
correct,33.89,44.8,-10.91,F#/Gb5,A4,0.4
late,33.89,45.12,-11.23,F#/Gb5,E/Fb4,0.6
late,33.89,45.41,-11.52,F#/Gb5,A4,0.4
correct,34.21,45.73,-11.52,E/Fb5,G4,0.4
correct,34.5,46.05,-11.55,C#/Db5,F#/Gb4,0.1
correct,34.82,46.28,-11.46,B/Cb4,B/Cb4,1.0
late,34.82,46.66,-11.84,B/Cb4,A4,0.6
correct,35.11,46.98,-11.87,A4,G4,0.6
correct,35.4,47.2,-11.8,A4,A4,1.0
late,35.4,47.62,-12.22,A4,F#/Gb4,0.4
early,35.72,47.78,-12.06,F#/Gb4,F#/Gb4,1.0
late,36.0,48.23,-12.23,F#/Gb4,E/Fb4,0.6
correct,36.29,48.55,-12.26,E/Fb4,B/Cb3,0.1
correct,36.61,48.84,-12.23,G4,B/Cb3,0.2
correct,36.9,49.06,-12.16,E/Fb4,B/Cb4,0.1
correct,37.22,49.48,-12.26,D4,D5,1.0
correct,37.51,49.67,-12.16,E/Fb4,D5,0.6
correct,37.8,50.08,-12.28,E/Fb4,C#/Db5,0.4
correct,38.12,50.37,-12.25,G4,B/Cb4,0.2
late,38.12,50.69,-12.57,G4,A4,0.6
correct,38.4,50.95,-12.55,G4,G4,1.0
correct,38.69,51.2,-12.51,A4,F#/Gb4,0.4
