onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,F#/Gb5,F#/Gb5,1.0
correct,1.22,1.28,-0.06,D5,E/Fb5,0.6
correct,2.4,2.49,-0.09,D5,D5,1.0
correct,3.62,3.71,-0.09,B/Cb4,B/Cb4,1.0
late,3.62,4.83,-1.21,B/Cb4,B/Cb4,1.0
correct,4.8,6.08,-1.28,B/Cb4,A4,0.6
correct,6.02,7.23,-1.21,B/Cb4,B/Cb4,1.0
late,6.02,8.51,-2.49,B/Cb4,D4,0.4
late,6.02,9.02,-3.0,B/Cb4,D4,0.4
late,6.02,9.66,-3.64,B/Cb4,F#/Gb4,0.1
early,7.2,10.3,-3.1,B/Cb4,A4,0.6
early,8.42,10.91,-2.49,D4,F#/Gb4,0.2
early,9.0,10.91,-1.91,F#/Gb4,F#/Gb4,1.0
early,9.6,10.91,-1.31,F#/Gb4,F#/Gb4,1.0
early,10.21,10.91,-0.7,A4,F#/Gb4,0.4
correct,10.82,10.91,-0.09,F#/Gb4,F#/Gb4,1.0
early,11.4,10.91,0.49,D4,F#/Gb4,0.2
correct,12.0,11.52,0.48,D4,D4,1.0
correct,12.61,12.09,0.52,F#/Gb4,D4,0.2
correct,13.22,12.61,0.61,D4,F#/Gb4,0.2
correct,13.22,13.18,0.04,D4,E/Fb4,0.6
correct,13.8,13.92,-0.12,B/Cb3,B/Cb3,1.0
correct,14.4,14.43,-0.03,B/Cb3,B/Cb3,1.0
correct,15.01,15.1,-0.09,D4,D4,1.0
correct,15.62,15.71,-0.09,G4,G4,1.0
correct,16.2,16.29,-0.09,B/Cb4,G4,0.2
correct,16.8,16.83,-0.03,B/Cb4,B/Cb4,1.0
correct,17.41,17.47,-0.06,A4,A4,1.0
correct,18.02,18.05,-0.03,F#/Gb4,G4,0.8
late,18.02,18.62,-0.6,F#/Gb4,F#/Gb4,1.0
correct,18.6,19.23,-0.63,D4,D4,1.0
correct,19.2,19.9,-0.7,D4,E/Fb4,0.6
correct,19.81,20.51,-0.7,E/Fb4,D5,0.6
correct,20.42,20.51,-0.09,D5,D5,1.0
early,21.0,20.51,0.49,F#/Gb5,D5,0.2
correct,21.6,21.09,0.51,F#/Gb5,D5,0.2
correct,22.21,21.63,0.58,A5,F#/Gb5,0.4
correct,22.82,22.3,0.52,B/Cb4,A5,0.6
correct,22.82,22.78,0.04,B/Cb4,A4,0.6
correct,23.4,23.36,0.04,G4,B/Cb4,0.2
correct,24.0,24.0,0.0,G4,G4,1.0
correct,24.61,24.61,0.0,A4,A4,1.0
correct,25.22,25.31,-0.09,D4,D4,1.0
correct,25.8,25.89,-0.09,D5,D4,1.0
correct,26.4,26.49,-0.09,D5,D5,1.0
correct,26.56,26.65,-0.09,D5,D5,1.0
correct,26.72,26.81,-0.09,E/Fb5,E/Fb5,1.0
correct,26.85,26.94,-0.09,D5,D5,1.0
late,26.85,27.1,-0.25,D5,E/Fb5,0.6
late,27.01,27.42,-0.41,E/Fb5,D5,0.6
correct,27.3,27.71,-0.41,C#/Db5,D5,0.8
correct,27.62,27.97,-0.35,D5,D5,1.0
correct,27.91,28.25,-0.34,C#/Db5,C#/Db5,1.0
correct,28.2,28.48,-0.28,C#/Db5,D5,0.8
correct,28.52,28.93,-0.41,D4,C#/Db4,0.8
correct,28.8,28.93,-0.13,D4,C#/Db4,0.8
early,29.09,28.93,0.16,C#/Db4,C#/Db4,1.0
correct,29.41,29.15,0.26,A4,C#/Db4,0.2
correct,29.7,29.41,0.29,F#/Gb4,A4,0.4
correct,30.02,29.82,0.2,D4,E/Fb4,0.6
correct,30.31,29.98,0.33,D5,F#/Gb4,0.2
correct,30.6,30.33,0.27,D5,D4,1.0
correct,30.6,30.72,-0.12,D5,C#/Db5,0.8
correct,30.92,30.88,0.04,B/Cb4,C#/Db5,0.6
correct,31.2,31.29,-0.09,B/Cb4,B/Cb4,1.0
correct,31.49,31.58,-0.09,C#/Db5,C#/Db5,1.0
correct,31.81,31.9,-0.09,F#/Gb5,F#/Gb5,1.0
correct,32.1,32.19,-0.09,B/Cb5,A5,0.6
correct,32.42,32.51,-0.09,G5,G5,1.0
correct,32.71,32.8,-0.09,F#/Gb5,G5,0.8
late,32.71,33.05,-0.34,F#/Gb5,F#/Gb5,1.0
correct,33.0,33.28,-0.28,F#/Gb5,E/Fb5,0.6
correct,33.32,33.6,-0.28,G5,G5,1.0
correct,33.6,34.01,-0.41,G5,F#/Gb5,0.8
correct,33.89,34.3,-0.41,F#/Gb5,E/Fb5,0.6
correct,34.21,34.3,-0.09,E/Fb5,E/Fb5,1.0
early,34.5,34.3,0.2,C#/Db5,E/Fb5,0.4
correct,34.82,34.62,0.2,B/Cb4,D5,0.4
correct,35.11,34.91,0.2,A4,B/Cb4,0.6
correct,35.4,35.07,0.33,A4,B/Cb4,0.6
correct,35.4,35.52,-0.12,A4,G4,0.6
correct,35.72,35.81,-0.09,F#/Gb4,F#/Gb4,1.0
