onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,F#/Gb5,E/Fb5,0.6
correct,1.22,1.09,0.13,D5,E/Fb5,0.6
correct,2.4,2.18,0.22,D5,D5,1.0
correct,3.62,3.3,0.32,B/Cb4,C#/Db5,0.6
correct,4.8,4.38,0.42,B/Cb4,B/Cb4,1.0
correct,6.02,5.5,0.52,B/Cb4,A4,0.6
correct,7.2,6.75,0.45,B/Cb4,B/Cb4,1.0
early,8.42,7.33,1.09,D4,C#/Db5,0.8
correct,9.0,7.97,1.03,F#/Gb4,F#/Gb4,1.0
correct,9.6,8.58,1.02,F#/Gb4,A4,0.4
late,9.6,9.18,0.42,F#/Gb4,A4,0.4
correct,10.21,9.79,0.42,A4,G4,0.6
correct,10.82,10.43,0.39,F#/Gb4,F#/Gb4,1.0
correct,11.4,10.94,0.46,D4,D4,1.0
correct,12.0,11.52,0.48,D4,F#/Gb4,0.2
correct,12.61,12.06,0.55,F#/Gb4,E/Fb4,0.6
correct,13.22,12.67,0.55,D4,D4,1.0
early,13.8,12.67,1.13,B/Cb3,D4,0.4
correct,14.4,13.38,1.02,B/Cb3,D4,0.4
correct,15.01,13.89,1.12,D4,D4,1.0
late,15.01,14.43,0.58,D4,A4,0.1
correct,15.62,15.1,0.52,G4,G4,1.0
correct,16.2,15.71,0.49,B/Cb4,B/Cb4,1.0
correct,16.8,16.26,0.54,B/Cb4,G4,0.2
correct,17.41,16.74,0.67,A4,G4,0.6
correct,17.41,17.44,-0.03,A4,D4,0.1
correct,18.02,18.08,-0.06,F#/Gb4,E/Fb4,0.6
correct,18.6,18.72,-0.12,D4,C#/Db5,0.8
correct,19.2,19.36,-0.16,D4,D5,1.0
correct,19.81,20.0,-0.19,E/Fb4,F#/Gb5,0.6
early,20.42,20.0,0.42,D5,F#/Gb5,0.2
early,21.0,20.0,1.0,F#/Gb5,F#/Gb5,1.0
early,21.6,20.0,1.6,F#/Gb5,F#/Gb5,1.0
correct,22.21,20.61,1.6,A5,F#/Gb5,0.4
late,22.21,21.25,0.96,A5,A4,1.0
correct,22.82,21.86,0.96,B/Cb4,B/Cb4,1.0
correct,23.4,22.4,1.0,G4,B/Cb4,0.2
correct,24.0,23.01,0.99,G4,A4,0.6
correct,24.61,23.62,0.99,A4,F#/Gb4,0.4
correct,25.22,24.26,0.96,D4,D4,1.0
correct,25.8,24.74,1.06,D5,D4,1.0
early,26.4,24.96,1.44,D5,D5,1.0
correct,26.56,25.09,1.47,D5,D5,1.0
correct,26.72,25.22,1.5,E/Fb5,D5,0.6
correct,26.85,25.38,1.47,D5,D5,1.0
late,27.01,25.7,1.31,E/Fb5,D5,0.6
correct,27.3,25.98,1.32,C#/Db5,D5,0.8
correct,27.62,26.27,1.35,D5,C#/Db5,0.8
correct,27.91,26.5,1.41,C#/Db5,D5,0.8
correct,28.2,26.85,1.35,C#/Db5,C#/Db5,1.0
correct,28.52,27.07,1.45,D4,D5,1.0
early,28.8,27.07,1.73,D4,D5,1.0
early,29.09,27.07,2.02,C#/Db4,D5,0.8
correct,29.41,27.3,2.11,A4,D4,0.1
correct,29.7,27.71,1.99,F#/Gb4,C#/Db4,0.1
correct,30.02,28.03,1.99,D4,A4,0.1
correct,30.31,28.32,1.99,D5,F#/Gb4,0.2
correct,30.6,28.61,1.99,D5,D4,1.0
correct,30.92,28.93,1.99,B/Cb4,D5,0.4
late,30.92,29.22,1.7,B/Cb4,C#/Db5,0.6
correct,31.2,29.5,1.7,B/Cb4,C#/Db5,0.6
correct,31.49,29.66,1.83,C#/Db5,B/Cb4,0.6
correct,31.81,30.08,1.73,F#/Gb5,F#/Gb5,1.0
correct,32.1,30.37,1.73,B/Cb5,A5,0.6
early,32.42,30.37,2.05,G5,A5,0.6
correct,32.71,30.69,2.02,F#/Gb5,B/Cb5,0.1
correct,33.0,30.98,2.02,F#/Gb5,G5,0.8
correct,33.32,31.26,2.06,G5,G5,1.0
correct,33.6,31.42,2.18,G5,F#/Gb5,0.8
correct,33.89,31.84,2.05,F#/Gb5,E/Fb5,0.6
correct,34.21,32.16,2.05,E/Fb5,F#/Gb5,0.6
correct,34.5,32.45,2.05,C#/Db5,E/Fb5,0.4
correct,34.82,32.64,2.18,B/Cb4,E/Fb5,0.1
correct,35.11,32.93,2.18,A4,D5,0.1
correct,35.4,33.31,2.09,A4,C#/Db5,0.2
correct,35.72,33.5,2.22,F#/Gb4,B/Cb4,0.1
correct,36.0,33.86,2.14,F#/Gb4,G4,0.8
correct,36.29,34.08,2.21,E/Fb4,G4,0.4
correct,36.61,34.46,2.15,G4,F#/Gb4,0.8
correct,36.9,34.75,2.15,E/Fb4,E/Fb4,1.0
correct,37.22,35.07,2.15,D4,G4,0.1
correct,37.51,35.36,2.15,E/Fb4,F#/Gb4,0.6
correct,37.8,35.71,2.09,E/Fb4,E/Fb4,1.0
correct,38.12,36.0,2.12,G4,E/Fb4,0.4
correct,38.4,36.29,2.11,G4,F#/Gb4,0.8
correct,38.69,36.45,2.24,A4,F#/Gb4,0.4
correct,39.01,36.83,2.18,E/Fb4,G4,0.4
correct,39.3,37.12,2.18,G4,E/Fb4,0.4
correct,39.62,37.44,2.18,F#/Gb4,A4,0.4
early,39.91,37.44,2.47,B/Cb4,A4,0.6
early,40.2,37.44,2.76,B/Cb4,A4,0.6
correct,40.52,37.73,2.79,G4,G4,1.0
correct,40.8,38.02,2.78,G4,F#/Gb4,0.8
correct,41.09,38.3,2.79,A4,F#/Gb4,0.4
correct,41.41,38.62,2.79,G4,B/Cb4,0.2
correct,41.7,38.91,2.79,E/Fb4,A4,0.1
correct,42.02,39.2,2.82,D4,A4,0.1
correct,42.31,39.39,2.92,B/Cb3,A4,0.6
