onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A3,A3,1.0
correct,0.13,0.19,-0.06,A3,D4,0.1
correct,0.32,0.38,-0.06,D4,E/Fb4,0.6
correct,0.55,0.74,-0.19,F#/Gb4,F#/Gb4,1.0
correct,0.9,1.12,-0.22,F#/Gb4,F#/Gb4,1.0
late,1.28,1.86,-0.58,F#/Gb4,E/Fb4,0.6
correct,2.05,2.05,0.0,E/Fb4,D4,0.6
correct,2.24,2.27,-0.03,D4,C#/Db4,0.8
late,2.37,3.39,-1.02,C#/Db4,D4,0.8
correct,3.52,3.58,-0.06,D4,E/Fb4,0.6
correct,3.68,3.74,-0.06,E/Fb4,D4,0.6
late,3.91,5.86,-1.95,F#/Gb4,A3,0.4
correct,5.99,6.02,-0.03,A3,A3,1.0
correct,6.18,6.21,-0.03,D4,D4,1.0
correct,6.31,6.37,-0.06,D4,E/Fb4,0.6
late,6.5,6.75,-0.25,E/Fb4,F#/Gb4,0.6
correct,6.92,7.14,-0.22,F#/Gb4,F#/Gb4,1.0
late,7.3,7.87,-0.57,E/Fb4,E/Fb4,1.0
correct,8.04,8.06,-0.02,D4,D4,1.0
correct,8.2,8.29,-0.09,D4,C#/Db4,0.8
late,8.42,9.76,-1.34,B/Cb3,B/Cb3,1.0
late,9.92,11.87,-1.95,B/Cb3,A3,0.6
correct,11.97,12.0,-0.03,G#/Ab3,A3,0.8
correct,12.13,12.19,-0.06,A3,D4,0.1
correct,12.32,12.19,0.13,D4,D4,1.0
correct,12.55,12.38,0.17,F#/Gb4,E/Fb4,0.6
correct,12.9,12.77,0.13,F#/Gb4,F#/Gb4,1.0
late,12.9,13.15,-0.25,F#/Gb4,F#/Gb4,1.0
late,13.28,13.89,-0.61,F#/Gb4,E/Fb4,0.6
correct,14.05,14.08,-0.03,E/Fb4,D4,0.6
correct,14.24,14.27,-0.03,D4,C#/Db4,0.8
late,14.37,15.42,-1.05,C#/Db4,D4,0.8
correct,15.52,15.58,-0.06,D4,B/Cb4,0.4
correct,15.68,15.78,-0.1,B/Cb4,B/Cb4,1.0
correct,15.91,15.97,-0.06,A4,A4,1.0
correct,16.1,16.16,-0.06,E/Fb4,E/Fb4,1.0
late,16.29,16.9,-0.61,E/Fb4,F#/Gb4,0.6
early,17.03,17.25,-0.22,G4,G4,1.0
correct,17.41,17.47,-0.06,G4,F#/Gb4,0.8
correct,17.6,17.63,-0.03,F#/Gb4,E/Fb4,0.6
late,17.8,18.02,-0.22,D4,C#/Db4,0.8
correct,18.18,18.37,-0.19,D4,D4,1.0
correct,18.53,18.78,-0.25,D4,F#/Gb4,0.2
late,18.92,19.9,-0.98,A3,A3,1.0
correct,20.04,20.1,-0.06,B/Cb3,A#/Bb3,0.8
correct,20.2,20.29,-0.09,B/Cb3,D4,0.4
late,20.39,23.33,-2.94,D4,G4,0.1
early,23.43,24.83,-1.4,G4,G4,1.0
correct,24.9,26.27,-1.37,A#/Bb4,A#/Bb4,1.0
late,26.4,28.54,-2.14,A#/Bb4,D#/Eb4,0.1
early,28.68,28.93,-0.25,F4,F4,1.0
correct,29.03,29.25,-0.22,F4,G4,0.6
early,29.41,29.25,0.16,G4,G4,1.0
correct,30.18,29.98,0.2,G4,G#/Ab4,0.8
correct,30.92,30.75,0.17,F4,G4,0.6
correct,31.65,31.55,0.1,F4,F4,1.0
late,31.65,32.29,-0.64,F4,D#/Eb4,0.6
late,32.42,33.76,-1.34,D#/Eb4,G4,0.2
correct,33.92,35.33,-1.41,G4,A#/Bb4,0.4
correct,35.43,36.8,-1.37,A#/Bb4,A#/Bb4,1.0
correct,36.9,38.3,-1.4,D5,D5,1.0
early,38.4,38.72,-0.32,D5,D#/Eb5,0.8
late,38.79,40.22,-1.43,A#/Bb4,G#/Ab4,0.6
early,40.29,40.51,-0.22,G#/Ab4,G#/Ab4,1.0
correct,40.68,40.93,-0.25,A#/Bb4,A#/Bb4,1.0
correct,41.03,41.31,-0.28,A#/Bb4,C5,0.6
late,41.41,42.4,-0.99,C5,G4,0.1
correct,42.53,42.66,-0.13,G4,F4,0.6
correct,42.72,42.82,-0.1,F4,D#/Eb4,0.6
late,42.92,43.97,-1.05,F4,D#/Eb4,0.6
early,44.04,44.29,-0.25,D#/Eb4,D#/Eb4,1.0
missing,44.42,,,D#/Eb4,,
