onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A3,A3,1.0
correct,0.13,0.13,0.0,A3,A3,1.0
correct,0.32,0.32,0.0,D4,D4,1.0
correct,0.55,0.55,0.0,F#/Gb4,F#/Gb4,1.0
correct,0.9,0.9,0.0,F#/Gb4,F#/Gb4,1.0
correct,1.28,1.28,0.0,F#/Gb4,F#/Gb4,1.0
correct,2.05,2.05,0.0,E/Fb4,E/Fb4,1.0
correct,2.24,2.24,0.0,D4,D4,1.0
correct,2.37,2.37,0.0,C#/Db4,C#/Db4,1.0
correct,3.52,3.56,-0.04,D4,E/Fb4,0.6
correct,3.68,3.68,0.0,E/Fb4,E/Fb4,1.0
correct,3.91,3.91,0.0,F#/Gb4,D4,0.2
correct,5.99,5.99,0.0,A3,A3,1.0
correct,6.18,6.18,0.0,D4,D4,1.0
correct,6.31,6.31,0.0,D4,D4,1.0
correct,6.5,6.5,0.0,E/Fb4,E/Fb4,1.0
correct,6.92,6.92,0.0,F#/Gb4,F#/Gb4,1.0
correct,7.3,7.3,0.0,E/Fb4,E/Fb4,1.0
correct,8.04,8.04,0.0,D4,D4,1.0
correct,8.2,8.23,-0.03,D4,D4,1.0
correct,8.42,8.42,0.0,B/Cb3,B/Cb3,1.0
correct,9.92,9.92,0.0,B/Cb3,B/Cb3,1.0
correct,11.97,11.97,0.0,G#/Ab3,G#/Ab3,1.0
correct,12.13,12.13,0.0,A3,A3,1.0
correct,12.32,12.32,0.0,D4,D4,1.0
correct,12.55,12.55,0.0,F#/Gb4,F#/Gb4,1.0
correct,12.9,12.93,-0.03,F#/Gb4,F#/Gb4,1.0
correct,13.28,13.28,0.0,F#/Gb4,F#/Gb4,1.0
correct,14.05,14.05,0.0,E/Fb4,E/Fb4,1.0
correct,14.24,14.24,0.0,D4,D4,1.0
late,14.37,15.56,-1.19,C#/Db4,B/Cb4,0.6
early,15.52,15.68,-0.16,D4,B/Cb4,0.4
correct,15.68,15.88,-0.2,B/Cb4,B/Cb4,1.0
correct,15.91,16.1,-0.19,A4,E/Fb4,0.1
correct,16.1,16.29,-0.19,E/Fb4,E/Fb4,1.0
late,16.29,17.03,-0.74,E/Fb4,F#/Gb4,0.6
early,17.03,17.41,-0.38,G4,G4,1.0
early,17.41,17.6,-0.19,G4,F#/Gb4,0.8
correct,17.6,17.8,-0.2,F#/Gb4,D4,0.2
late,17.8,18.18,-0.38,D4,D4,1.0
correct,18.18,18.53,-0.35,D4,D4,1.0
correct,18.53,18.92,-0.39,D4,A3,0.1
late,18.92,20.04,-1.12,A3,B/Cb3,0.6
early,20.04,20.23,-0.19,B/Cb3,D4,0.4
correct,20.2,20.39,-0.19,B/Cb3,D4,0.4
late,20.39,23.43,-3.04,D4,G4,0.1
early,23.43,24.93,-1.5,G4,A#/Bb4,0.4
correct,24.9,26.44,-1.54,A#/Bb4,D#/Eb4,0.1
late,26.4,28.68,-2.28,A#/Bb4,F4,0.1
early,28.68,29.06,-0.38,F4,G4,0.6
correct,29.03,29.41,-0.38,F4,G4,0.6
late,29.41,30.18,-0.77,G4,G4,1.0
correct,30.18,30.92,-0.74,G4,F4,0.6
correct,30.92,31.68,-0.76,F4,F4,1.0
correct,31.65,32.42,-0.77,F4,D#/Eb4,0.6
late,32.42,33.92,-1.5,D#/Eb4,G4,0.2
correct,33.92,35.43,-1.51,G4,A#/Bb4,0.4
correct,35.43,36.93,-1.5,A#/Bb4,A#/Bb4,1.0
correct,36.9,38.44,-1.54,D5,D#/Eb5,0.8
early,38.4,38.79,-0.39,D5,A#/Bb4,0.2
late,38.79,40.29,-1.5,A#/Bb4,G#/Ab4,0.6
early,40.29,40.68,-0.39,G#/Ab4,A#/Bb4,0.6
correct,40.68,41.06,-0.38,A#/Bb4,C5,0.6
correct,41.03,41.41,-0.38,A#/Bb4,C5,0.6
late,41.41,42.56,-1.15,C5,G4,0.1
early,42.53,42.69,-0.16,G4,F4,0.6
correct,42.72,42.88,-0.16,F4,D#/Eb4,0.6
late,42.92,44.04,-1.12,F4,D#/Eb4,0.6
early,44.04,44.42,-0.38,D#/Eb4,D#/Eb4,1.0
missing,44.42,,,D#/Eb4,,
