onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A3,A3,1.0
correct,0.13,0.1,0.03,A3,A3,1.0
correct,0.32,0.29,0.03,D4,D4,1.0
correct,0.55,0.52,0.03,F#/Gb4,E/Fb4,0.6
correct,0.9,0.93,-0.03,F#/Gb4,F#/Gb4,1.0
correct,1.28,1.28,0.0,F#/Gb4,F#/Gb4,1.0
early,2.05,1.89,0.16,E/Fb4,E/Fb4,1.0
correct,2.24,2.24,0.0,D4,D4,1.0
correct,2.37,2.37,0.0,C#/Db4,C#/Db4,1.0
correct,3.52,3.49,0.03,D4,D4,1.0
correct,3.68,3.68,0.0,E/Fb4,E/Fb4,1.0
correct,3.91,3.84,0.07,F#/Gb4,D4,0.2
correct,5.99,5.99,0.0,A3,A3,1.0
correct,6.18,6.12,0.06,D4,A3,0.1
correct,6.31,6.34,-0.03,D4,D4,1.0
correct,6.5,6.5,0.0,E/Fb4,E/Fb4,1.0
correct,6.92,6.88,0.04,F#/Gb4,F#/Gb4,1.0
correct,7.3,7.3,0.0,E/Fb4,E/Fb4,1.0
correct,8.04,7.97,0.07,D4,E/Fb4,0.6
correct,8.2,8.16,0.04,D4,D4,1.0
correct,8.42,8.39,0.03,B/Cb3,C#/Db4,0.6
correct,9.92,9.86,0.06,B/Cb3,B/Cb3,1.0
correct,11.97,11.97,0.0,G#/Ab3,A3,0.8
correct,12.13,12.13,0.0,A3,A3,1.0
correct,12.32,12.29,0.03,D4,D4,1.0
correct,12.55,12.48,0.07,F#/Gb4,E/Fb4,0.6
correct,12.9,12.84,0.06,F#/Gb4,F#/Gb4,1.0
correct,13.28,13.22,0.06,F#/Gb4,F#/Gb4,1.0
correct,14.05,14.05,0.0,E/Fb4,E/Fb4,1.0
correct,14.24,14.24,0.0,D4,D4,1.0
correct,14.37,14.37,0.0,C#/Db4,C#/Db4,1.0
correct,15.52,15.49,0.03,D4,D4,1.0
correct,15.68,15.68,0.0,B/Cb4,B/Cb4,1.0
correct,15.91,15.88,0.03,A4,B/Cb4,0.6
correct,16.1,16.04,0.06,E/Fb4,A4,0.1
correct,16.29,16.23,0.06,E/Fb4,E/Fb4,1.0
correct,17.03,17.0,0.03,G4,F#/Gb4,0.8
correct,17.41,17.41,0.0,G4,G4,1.0
correct,17.6,17.57,0.03,F#/Gb4,F#/Gb4,1.0
correct,17.8,17.73,0.07,D4,E/Fb4,0.6
correct,18.18,18.12,0.06,D4,D4,1.0
correct,18.53,18.5,0.03,D4,D4,1.0
correct,18.92,18.92,0.0,A3,A3,1.0
correct,20.04,20.04,0.0,B/Cb3,B/Cb3,1.0
correct,20.2,20.2,0.0,B/Cb3,B/Cb3,1.0
late,20.2,20.36,-0.16,B/Cb3,D4,0.4
late,20.39,23.4,-3.01,D4,G4,0.1
early,23.43,24.8,-1.37,G4,G4,1.0
correct,24.9,26.31,-1.41,A#/Bb4,A#/Bb4,1.0
correct,26.4,26.31,0.09,A#/Bb4,A#/Bb4,1.0
correct,28.68,28.58,0.1,F4,D#/Eb4,0.6
correct,29.03,28.93,0.1,F4,F4,1.0
correct,29.41,29.41,0.0,G4,G4,1.0
correct,30.18,30.18,0.0,G4,G4,1.0
correct,30.92,30.85,0.07,F4,G4,0.6
correct,31.65,31.62,0.03,F4,F4,1.0
correct,32.42,32.36,0.06,D#/Eb4,D#/Eb4,1.0
correct,33.92,33.92,0.0,G4,G4,1.0
correct,35.43,35.3,0.13,A#/Bb4,F4,0.1
correct,36.9,36.87,0.03,D5,A#/Bb4,0.2
correct,38.4,38.4,0.0,D5,D5,1.0
early,38.79,38.63,0.16,A#/Bb4,D#/Eb5,0.1
correct,40.29,40.29,0.0,G#/Ab4,G#/Ab4,1.0
correct,40.68,40.55,0.13,A#/Bb4,G#/Ab4,0.6
correct,41.03,40.96,0.07,A#/Bb4,A#/Bb4,1.0
correct,41.41,41.41,0.0,C5,C5,1.0
correct,42.53,42.53,0.0,G4,G4,1.0
correct,42.72,42.69,0.03,F4,F4,1.0
correct,42.92,42.85,0.07,F4,D#/Eb4,0.6
correct,44.04,44.04,0.0,D#/Eb4,D#/Eb4,1.0
late,44.04,44.42,-0.38,D#/Eb4,D#/Eb4,1.0
missing,44.42,,,D#/Eb4,,
