onset_type,onset_time,pitch
no_change,1.0,76
no_change,1.25,75
no_change,1.5,76
no_change,1.75,75
no_change,2.0,76
articulation,2.25,71
no_change,2.5,74
no_change,2.75,72
no_change,3.0,69
no_change,3.75,60
no_change,4.0,64
no_change,4.25,69
no_change,4.5,71
no_change,5.25,64
no_change,5.5,68
no_change,5.75,71
no_change,6.0,72
no_change,6.75,64
no_change,7.0,76
no_change,7.25,75
no_change,7.5,76
no_change,7.75,75
no_change,8.0,76
no_change,8.25,71
no_change,8.5,74
no_change,8.75,72
no_change,9.0,69
no_change,9.75,60
no_change,10.0,64
no_change,10.25,69
no_change,10.5,71
no_change,11.25,64
no_change,11.5,72
no_change,11.75,71
no_change,12.0,69
no_change,12.75,71
no_change,13.0,72
no_change,13.25,74
no_change,13.5,76
no_change,14.25,67
no_change,14.5,77
no_change,14.75,76
no_change,15.0,74
no_change,15.75,65
no_change,16.0,76
no_change,16.25,74
no_change,16.5,72
no_change,17.25,64
no_change,17.5,74
no_change,17.75,72
no_change,18.0,71
no_change,20.5,76
no_change,20.75,75
no_change,21.0,76
no_change,21.25,75
no_change,21.5,76
no_change,21.75,71
no_change,22.0,74
no_change,22.25,72
no_change,22.5,69
no_change,23.25,60
no_change,23.5,64
no_change,23.75,69
no_change,24.0,71
no_change,24.75,64
no_change,25.0,68
no_change,25.25,71
no_change,25.5,72
no_change,26.25,64
no_change,26.5,76
no_change,26.75,75
no_change,27.0,76
no_change,27.25,75
no_change,27.5,76
no_change,27.75,71
no_change,28.0,74
no_change,28.25,72
no_change,28.5,69
no_change,29.25,60
no_change,29.5,64
no_change,29.75,69
no_change,30.0,71
no_change,30.75,64
no_change,31.0,72
no_change,31.25,71
no_change,31.5,69
