onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A#/Bb4,A#/Bb4,1.0
correct,0.45,0.38,0.07,G#/Ab4,A#/Bb4,0.6
correct,0.58,0.67,-0.09,G#/Ab4,G#/Ab4,1.0
correct,0.87,1.02,-0.15,F4,G4,0.6
correct,1.44,1.72,-0.28,F4,F4,1.0
correct,1.73,2.04,-0.31,A#/Bb3,D4,0.2
correct,2.15,2.56,-0.41,B/Cb3,C4,0.8
correct,2.31,2.68,-0.37,D4,C4,0.6
late,2.31,3.04,-0.73,D4,D#/Eb4,0.8
late,2.31,3.52,-1.21,D4,D#/Eb4,0.8
late,2.31,3.96,-1.65,D4,C4,0.6
correct,2.59,4.32,-1.73,D4,C4,0.6
early,3.17,4.57,-1.4,C4,B/Cb3,0.8
correct,3.46,4.73,-1.27,C4,C4,1.0
late,3.87,5.37,-1.5,C4,D4,0.6
late,3.87,5.63,-1.76,C4,B/Cb3,0.8
late,4.03,6.56,-2.53,B/Cb3,A#/Bb4,0.8
late,4.29,7.36,-3.07,C#/Db4,A#/Bb4,0.4
early,4.87,7.71,-2.84,B/Cb3,A#/Bb4,0.8
correct,5.15,7.93,-2.78,B/Cb3,G#/Ab4,0.4
early,6.02,8.19,-2.17,A#/Bb4,F4,0.1
late,6.02,8.64,-2.62,A#/Bb4,F4,0.1
early,6.88,8.86,-1.98,A#/Bb4,D4,0.2
correct,7.3,9.24,-1.94,G#/Ab4,A#/Bb3,0.6
correct,7.46,9.47,-2.01,G4,D4,0.1
correct,7.71,9.63,-1.92,G4,D4,0.1
early,8.29,9.98,-1.69,D4,D#/Eb4,0.8
late,8.29,10.17,-1.88,D4,D4,1.0
correct,8.58,10.36,-1.78,A#/Bb3,C4,0.6
correct,9.03,10.72,-1.69,C4,B/Cb3,0.8
correct,9.15,10.88,-1.73,C4,B/Cb3,0.8
correct,9.44,11.04,-1.6,D4,B/Cb3,0.4
late,9.86,11.74,-1.88,D#/Eb4,C4,0.4
missing,10.02,,,C4,,
missing,10.31,,,B/Cb3,,
missing,10.72,,,B/Cb3,,
missing,10.88,,,A3,,
missing,11.17,,,C4,,
missing,12.0,,,C4,,
