onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A#/Bb4,A#/Bb4,1.0
correct,0.45,0.45,0.0,G#/Ab4,G#/Ab4,1.0
correct,0.58,0.58,0.0,G#/Ab4,G#/Ab4,1.0
correct,0.87,0.87,0.0,F4,F4,1.0
correct,1.44,1.44,0.0,F4,F4,1.0
correct,1.73,1.73,0.0,A#/Bb3,A#/Bb3,1.0
correct,2.15,2.15,0.0,B/Cb3,A#/Bb3,0.8
correct,2.31,2.31,0.0,D4,D4,1.0
correct,2.59,2.59,0.0,D4,D4,1.0
correct,3.17,3.17,0.0,C4,C4,1.0
correct,3.46,3.46,0.0,C4,C4,1.0
correct,3.87,3.87,0.0,C4,C4,1.0
correct,4.03,4.03,0.0,B/Cb3,B/Cb3,1.0
correct,4.29,4.29,0.0,C#/Db4,C4,0.8
correct,4.87,4.87,0.0,B/Cb3,B/Cb3,1.0
correct,5.15,5.15,0.0,B/Cb3,B/Cb3,1.0
correct,6.02,6.02,0.0,A#/Bb4,A#/Bb4,1.0
correct,6.88,6.88,0.0,A#/Bb4,A#/Bb4,1.0
correct,7.3,7.3,0.0,G#/Ab4,G#/Ab4,1.0
correct,7.46,7.46,0.0,G4,G4,1.0
correct,7.71,7.75,-0.04,G4,F4,0.6
correct,8.29,8.32,-0.03,D4,F4,0.4
correct,8.58,8.55,0.03,A#/Bb3,D4,0.2
correct,9.03,9.03,0.0,C4,D4,0.6
late,9.15,9.41,-0.26,C4,D4,0.6
late,9.44,10.02,-0.58,D4,C4,0.6
correct,9.86,10.31,-0.45,D#/Eb4,C4,0.4
late,10.02,10.72,-0.7,C4,B/Cb3,0.8
correct,10.31,10.88,-0.57,B/Cb3,A3,0.6
correct,10.72,11.17,-0.45,B/Cb3,C4,0.8
late,10.88,12.03,-1.15,A3,C4,0.4
missing,11.17,,,C4,,
missing,12.0,,,C4,,
