onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A#/Bb4,A#/Bb4,1.0
correct,0.45,0.45,0.0,G#/Ab4,G#/Ab4,1.0
correct,0.58,0.58,0.0,G#/Ab4,G#/Ab4,1.0
correct,0.87,0.87,0.0,F4,F4,1.0
correct,1.44,1.44,0.0,F4,F4,1.0
correct,1.73,1.73,0.0,A#/Bb3,A#/Bb3,1.0
late,2.15,2.31,-0.16,B/Cb3,D4,0.4
correct,2.31,2.59,-0.28,D4,D4,1.0
late,2.59,3.17,-0.58,D4,C4,0.6
early,3.17,3.46,-0.29,C4,C4,1.0
correct,3.46,3.87,-0.41,C4,C4,1.0
early,3.87,4.03,-0.16,C4,B/Cb3,0.8
correct,4.03,4.29,-0.26,B/Cb3,C4,0.8
late,4.29,4.87,-0.58,C#/Db4,B/Cb3,0.6
early,4.87,5.15,-0.28,B/Cb3,B/Cb3,1.0
late,5.15,6.02,-0.87,B/Cb3,A#/Bb4,0.8
correct,6.02,6.88,-0.86,A#/Bb4,A#/Bb4,1.0
early,6.88,7.3,-0.42,A#/Bb4,G#/Ab4,0.6
early,7.3,7.46,-0.16,G#/Ab4,G4,0.8
correct,7.46,7.75,-0.29,G4,F4,0.6
late,7.71,8.32,-0.61,G4,F4,0.6
early,8.29,8.58,-0.29,D4,D4,1.0
late,8.58,9.03,-0.45,A#/Bb3,C4,0.6
correct,9.03,9.15,-0.12,C4,C4,1.0
late,9.15,9.44,-0.29,C4,D4,0.6
late,9.44,9.89,-0.45,D4,D4,1.0
early,9.86,10.02,-0.16,D#/Eb4,C4,0.4
correct,10.02,10.31,-0.29,C4,C4,1.0
correct,10.31,10.72,-0.41,B/Cb3,B/Cb3,1.0
early,10.72,10.88,-0.16,B/Cb3,A3,0.6
correct,10.88,11.17,-0.29,A3,C4,0.4
late,11.17,12.03,-0.86,C4,C4,1.0
missing,12.0,,,C4,,
