onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A#/Bb4,A#/Bb4,1.0
early,0.45,0.16,0.29,G#/Ab4,A#/Bb4,0.6
correct,0.58,0.48,0.1,G#/Ab4,A#/Bb4,0.6
late,0.87,1.12,-0.25,F4,F4,1.0
early,1.44,1.12,0.32,F4,F4,1.0
early,1.73,1.12,0.61,A#/Bb3,F4,0.1
early,2.15,1.12,1.03,B/Cb3,F4,0.0
early,2.31,1.12,1.19,D4,F4,0.4
early,2.59,1.12,1.47,D4,F4,0.4
early,3.17,1.12,2.05,C4,F4,0.1
correct,3.46,1.38,2.08,C4,F4,0.1
correct,3.87,1.86,2.01,C4,A#/Bb3,0.6
correct,4.03,1.99,2.04,B/Cb3,A#/Bb3,0.8
late,4.03,2.31,1.72,B/Cb3,A#/Bb3,0.8
late,4.03,2.88,1.15,B/Cb3,B/Cb3,1.0
correct,4.29,3.11,1.18,C#/Db4,D#/Eb4,0.6
late,4.29,3.62,0.67,C#/Db4,C4,0.8
early,4.87,3.78,1.09,B/Cb3,C4,0.8
correct,5.15,4.07,1.08,B/Cb3,C4,0.8
early,6.02,4.07,1.95,A#/Bb4,C4,0.6
early,6.88,4.07,2.81,A#/Bb4,C4,0.6
early,7.3,4.07,3.23,G#/Ab4,C4,0.2
late,7.46,4.71,2.75,G4,D4,0.1
correct,7.71,5.0,2.71,G4,D4,0.1
early,8.29,5.0,3.29,D4,D4,1.0
early,8.58,5.0,3.58,A#/Bb3,D4,0.2
correct,9.03,5.48,3.55,C4,G3,0.1
late,9.03,6.4,2.63,C4,A4,0.4
late,9.03,6.79,2.24,C4,A#/Bb4,0.6
correct,9.15,6.98,2.17,C4,A#/Bb4,0.6
early,9.44,6.98,2.46,D4,A#/Bb4,0.2
correct,9.86,7.27,2.59,D#/Eb4,A#/Bb4,0.1
late,10.02,7.88,2.14,C4,F4,0.1
late,10.02,8.16,1.86,C4,F4,0.1
late,10.02,8.64,1.38,C4,F3,0.1
late,10.02,8.8,1.22,C4,A#/Bb3,0.6
late,10.02,9.12,0.9,C4,A#/Bb3,0.6
late,10.31,9.57,0.74,B/Cb3,D#/Eb4,0.2
early,10.72,9.73,0.99,B/Cb3,D#/Eb4,0.2
early,10.88,9.73,1.15,A3,D#/Eb4,0.0
early,11.17,9.73,1.44,C4,D#/Eb4,0.4
early,12.0,9.73,2.27,C4,D#/Eb4,0.4
extra,,10.05,,,D#/Eb4,
extra,,10.5,,,B/Cb3,
extra,,10.66,,,B/Cb3,
extra,,10.95,,,B/Cb3,
extra,,11.97,,,C4,
extra,,12.39,,,C4,
