mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,33,33,33,0,0,0,0,25,104.00,69.00,35.00
tempo,faster_tempo,35,35,30,3,2,0,0,20,104.00,85.00,19.00
tempo,a_lot_faster_tempo,35,36,32,1,2,0,1,14,104.00,104.00,0.00
tempo,slower_tempo,33,33,33,0,0,0,0,22,104.00,110.00,6.00
tempo,a_lot_slower_tempo,35,35,28,3,4,0,0,20,104.00,104.00,0.00
progressive_tempo,accelerando,39,33,18,10,5,6,0,5,104.00,110.00,6.00
progressive_tempo,ritardando,33,42,9,8,16,0,9,7,104.00,125.00,21.00
progressive_tempo,tempo_fluctuation,42,48,11,13,18,0,6,5,104.00,72.00,32.00
timing,note_too_soon,33,37,28,0,5,0,4,23,104.00,69.00,35.00
timing,note_too_late,33,33,32,1,0,0,0,25,104.00,69.00,35.00
duration,note_held_too_long,33,33,33,0,0,0,0,25,104.00,69.00,35.00
duration,note_cut_too_soon,33,33,33,0,0,0,0,26,104.00,69.00,35.00
note,note_missing,33,32,15,9,8,1,0,17,104.00,69.00,35.00
note,note_not_expected,33,33,33,0,0,0,0,25,104.00,69.00,35.00
articulation,articulated_legato,33,31,27,4,0,2,0,18,104.00,69.00,35.00
articulation,articulated_staccato,33,33,33,0,0,0,0,26,104.00,69.00,35.00
articulation,articulated_accentuated,33,33,33,0,0,0,0,26,104.00,69.00,35.00
