onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C4,C4,1.0
early,0.26,0.1,0.16,D#/Eb4,B/Cb3,0.2
early,0.84,0.1,0.74,F4,B/Cb3,0.0
late,1.12,0.61,0.51,F4,D#/Eb4,0.6
early,1.54,0.84,0.7,G#/Ab4,G4,0.8
late,1.7,1.16,0.54,G4,G#/Ab4,0.8
early,1.99,1.28,0.71,F4,G#/Ab4,0.4
early,2.53,1.51,1.02,F4,F4,1.0
correct,2.85,1.96,0.89,D4,D4,1.0
early,3.27,1.96,1.31,C4,D4,0.6
early,3.43,1.96,1.47,D4,D4,1.0
correct,3.68,2.21,1.47,D4,A#/Bb3,0.2
early,4.26,2.56,1.7,C4,A#/Bb3,0.6
early,4.55,2.69,1.86,C4,C4,1.0
early,4.96,2.82,2.14,C4,D4,0.6
late,5.12,3.43,1.69,B/Cb3,C4,0.8
early,5.41,3.43,1.98,C4,C4,1.0
early,5.99,3.43,2.56,B/Cb3,C4,0.8
correct,6.28,3.68,2.6,G3,C#/Db4,0.0
early,6.82,4.04,2.78,C4,B/Cb3,0.8
correct,7.11,4.2,2.91,D#/Eb4,C4,0.4
early,7.68,4.45,3.23,D#/Eb4,C4,0.4
early,7.97,4.45,3.52,F4,C4,0.1
early,8.39,4.45,3.94,G4,C4,0.1
late,8.55,5.0,3.55,G4,B/Cb3,0.2
late,8.55,5.25,3.3,G4,C4,0.1
late,8.84,5.76,3.08,F4,G3,0.6
early,9.41,6.08,3.33,F4,C4,0.1
early,9.7,6.08,3.62,A#/Bb3,C4,0.6
late,10.12,6.69,3.43,C4,F4,0.1
correct,10.28,6.92,3.36,D4,F4,0.4
early,10.56,6.92,3.64,D4,F4,0.4
correct,10.98,7.4,3.58,D4,G#/Ab4,0.0
late,10.98,7.59,3.39,D4,G4,0.1
correct,11.14,7.88,3.26,C4,F4,0.1
late,11.4,8.52,2.88,C4,D4,0.6
correct,11.84,8.87,2.97,B/Cb3,A#/Bb3,0.8
late,11.97,9.35,2.62,A3,C4,0.4
early,12.26,9.35,2.91,C4,C4,1.0
early,12.84,9.35,3.49,C4,C4,1.0
correct,13.12,9.51,3.61,C4,D4,0.6
extra,,9.86,,,D#/Eb4,
extra,,10.37,,,D4,
extra,,10.53,,,D4,
extra,,10.92,,,B/Cb3,
extra,,11.46,,,A3,
extra,,11.62,,,B/Cb3,
extra,,12.0,,,C4,
extra,,12.77,,,C4,
extra,,13.16,,,C4,
