onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,C4,C4,1.0
late,0.26,0.52,-0.26,D#/Eb4,D#/Eb4,1.0
correct,0.84,0.74,0.1,F4,D#/Eb4,0.6
correct,1.12,1.19,-0.07,F4,G4,0.6
correct,1.12,1.32,-0.2,F4,G4,0.6
correct,1.54,1.6,-0.06,G#/Ab4,G4,0.8
late,1.7,2.18,-0.48,G4,F4,0.6
late,1.7,2.37,-0.67,G4,F4,0.6
late,1.7,2.88,-1.18,G4,A#/Bb3,0.4
correct,1.7,3.01,-1.31,G4,A#/Bb3,0.4
correct,1.99,3.3,-1.31,F4,A#/Bb3,0.1
correct,2.53,3.84,-1.31,F4,D4,0.4
early,2.85,3.84,-0.99,D4,D4,1.0
early,3.27,3.84,-0.57,C4,D4,0.6
early,3.43,3.84,-0.41,D4,D4,1.0
early,3.68,3.84,-0.16,D4,D4,1.0
early,4.26,4.1,0.16,C4,D#/Eb4,0.4
correct,4.55,4.58,-0.03,C4,C4,1.0
early,4.96,4.74,0.22,C4,C4,1.0
correct,5.12,5.03,0.09,B/Cb3,C4,0.8
correct,5.41,5.54,-0.13,C4,D4,0.6
early,5.99,5.7,0.29,B/Cb3,D4,0.4
correct,6.28,6.37,-0.09,G3,G3,1.0
early,6.82,6.56,0.26,C4,G3,0.1
correct,7.11,7.24,-0.13,D#/Eb4,D#/Eb4,1.0
early,7.68,7.46,0.22,D#/Eb4,D#/Eb4,1.0
early,7.97,7.46,0.51,F4,D#/Eb4,0.6
early,8.39,7.46,0.93,G4,D#/Eb4,0.2
early,8.55,7.46,1.09,G4,D#/Eb4,0.2
correct,8.84,7.88,0.96,F4,G4,0.6
early,9.41,7.88,1.53,F4,G4,0.6
early,9.7,7.88,1.82,A#/Bb3,G4,0.4
early,10.12,8.04,2.08,C4,G4,0.1
late,10.12,8.29,1.83,C4,G4,0.1
late,10.12,8.9,1.22,C4,F4,0.1
late,10.12,9.09,1.03,C4,F4,0.1
late,10.12,9.6,0.52,C4,A3,0.4
correct,10.28,9.76,0.52,D4,A#/Bb3,0.2
early,10.56,9.76,0.8,D4,A#/Bb3,0.2
early,10.98,10.02,0.96,D4,D4,1.0
late,10.98,10.47,0.51,D4,D#/Eb4,0.8
correct,10.98,10.6,0.38,D4,D#/Eb4,0.8
correct,11.14,10.88,0.26,C4,D#/Eb4,0.4
late,11.14,11.3,-0.16,C4,B/Cb3,0.8
late,11.14,11.46,-0.32,C4,B/Cb3,0.8
late,11.14,11.72,-0.58,C4,A#/Bb3,0.6
late,11.4,12.32,-0.92,C4,C4,1.0
early,11.84,12.52,-0.68,B/Cb3,C4,0.8
correct,11.97,12.52,-0.55,A3,C4,0.4
early,12.26,12.52,-0.26,C4,C4,1.0
early,12.84,12.52,0.32,C4,C4,1.0
early,13.12,12.52,0.6,C4,C4,1.0
extra,,13.09,,,C4,
