onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A4,A4,1.0
correct,0.8,0.8,0.0,G4,G4,1.0
correct,1.6,1.6,0.0,F#/Gb4,A#/Bb7,0.2
correct,2.37,2.37,0.0,C#/Db4,C#/Db4,1.0
correct,3.17,3.17,0.0,B/Cb3,B/Cb3,1.0
correct,3.97,3.97,0.0,C#/Db4,C#/Db4,1.0
correct,4.73,4.73,0.0,C#/Db4,C#/Db4,1.0
correct,5.53,5.53,0.0,D4,D4,1.0
correct,8.7,8.67,0.03,A3,A3,1.0
correct,9.47,9.47,0.0,B/Cb3,B/Cb3,1.0
early,10.27,9.47,0.8,B/Cb3,B/Cb3,1.0
correct,11.07,10.27,0.8,E/Fb4,C4,0.2
correct,11.07,11.04,0.03,E/Fb4,C4,0.2
correct,11.84,11.84,0.0,D4,D4,1.0
correct,12.64,12.64,0.0,B/Cb3,B/Cb3,1.0
correct,13.44,13.41,0.03,D4,B/Cb3,0.4
correct,14.21,14.21,0.0,C4,C4,1.0
correct,15.01,15.01,0.0,B/Cb3,B/Cb3,1.0
correct,15.81,15.77,0.04,D4,B/Cb3,0.4
correct,19.74,19.71,0.03,D4,D4,1.0
correct,20.54,20.51,0.03,D4,E/Fb4,0.6
correct,21.31,21.31,0.0,E/Fb4,F4,0.8
correct,22.11,22.11,0.0,G4,G4,1.0
correct,22.91,22.88,0.03,A4,A4,1.0
correct,23.68,23.68,0.0,C4,C4,1.0
correct,24.48,24.48,0.0,D4,D4,1.0
correct,25.28,25.25,0.03,E/Fb4,E/Fb4,1.0
correct,26.05,26.05,0.0,D4,D4,1.0
correct,26.85,26.85,0.0,B/Cb3,B/Cb3,1.0
correct,27.65,27.61,0.04,D4,B/Cb3,0.4
correct,31.58,31.55,0.03,D4,D4,1.0
correct,32.38,32.35,0.03,D4,G4,0.1
correct,34.75,34.72,0.03,F4,F4,1.0
late,34.75,37.09,-2.34,F4,B/Cb3,0.0
late,34.75,37.89,-3.14,F4,C4,0.1
early,37.12,38.65,-1.53,B/Cb3,C4,0.8
correct,37.89,39.45,-1.56,B/Cb3,F4,0.0
early,38.69,39.45,-0.76,F4,F4,1.0
correct,39.49,40.25,-0.76,E/Fb4,E/Fb4,1.0
correct,40.25,40.25,0.0,E/Fb4,E/Fb4,1.0
correct,41.05,41.02,0.03,D4,D4,1.0
correct,41.85,41.82,0.03,C4,C4,1.0
correct,42.65,42.62,0.03,E/Fb4,E/Fb4,1.0
correct,43.42,43.39,0.03,D4,C4,0.6
correct,44.22,44.19,0.03,C4,F3,0.1
correct,44.99,44.86,0.13,F3,F3,1.0
correct,45.79,45.76,0.03,B/Cb3,A#/Bb3,0.8
correct,46.59,46.56,0.03,C4,C4,1.0
correct,48.96,48.93,0.03,D4,D4,1.0
