onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A4,F#/Gb4,0.4
correct,0.8,0.83,-0.03,G4,A4,0.6
correct,1.6,1.63,-0.03,F#/Gb4,G4,0.8
correct,2.37,2.4,-0.03,C#/Db4,C#/Db4,1.0
correct,3.17,3.17,0.0,B/Cb3,B/Cb3,1.0
early,3.97,3.81,0.16,C#/Db4,B/Cb3,0.6
correct,4.73,4.64,0.09,C#/Db4,D4,0.8
early,5.53,4.64,0.89,D4,D4,1.0
early,8.7,6.82,1.88,A3,A3,1.0
correct,9.47,7.49,1.98,B/Cb3,A3,0.6
correct,10.27,8.19,2.08,B/Cb3,A3,0.6
correct,11.07,8.96,2.11,E/Fb4,B/Cb3,0.1
correct,11.84,9.73,2.11,D4,C4,0.6
correct,12.64,10.53,2.11,B/Cb3,D4,0.4
correct,13.44,11.3,2.14,D4,B/Cb3,0.4
correct,14.21,12.06,2.15,C4,B/Cb3,0.8
correct,15.01,12.86,2.15,B/Cb3,C#/Db4,0.6
early,15.81,13.5,2.31,D4,C4,0.6
correct,19.74,17.47,2.27,D4,D4,1.0
correct,20.54,18.14,2.4,D4,D4,1.0
correct,21.31,19.04,2.27,E/Fb4,D4,0.6
correct,22.11,19.74,2.37,G4,E/Fb4,0.4
correct,22.91,20.42,2.49,A4,F4,0.2
correct,23.68,21.25,2.43,C4,G4,0.1
correct,24.48,22.02,2.46,D4,C4,0.6
correct,25.28,22.78,2.5,E/Fb4,C4,0.2
correct,26.05,23.55,2.5,D4,D4,1.0
correct,26.85,24.22,2.63,B/Cb3,E/Fb4,0.1
correct,27.65,24.9,2.75,D4,D4,1.0
correct,31.58,28.83,2.75,D4,D4,1.0
correct,32.38,29.6,2.78,D4,D4,1.0
correct,34.75,32.0,2.75,F4,D4,0.4
correct,37.12,34.4,2.72,B/Cb3,F4,0.0
correct,37.89,35.04,2.85,B/Cb3,F4,0.0
correct,38.69,35.9,2.79,F4,B/Cb3,0.0
early,39.49,36.54,2.95,E/Fb4,C4,0.2
correct,40.25,37.38,2.87,E/Fb4,F4,0.8
early,41.05,38.02,3.03,D4,E/Fb4,0.6
correct,41.85,38.69,3.16,C4,D4,0.6
correct,42.65,39.55,3.1,E/Fb4,C4,0.2
correct,43.42,40.19,3.23,D4,E/Fb4,0.6
correct,44.22,41.02,3.2,C4,D4,0.6
late,44.99,43.3,1.69,F3,F3,1.0
early,45.79,43.3,2.49,B/Cb3,F3,0.0
correct,46.59,43.97,2.62,C4,F3,0.1
early,48.96,44.74,4.22,D4,F3,0.4
extra,,46.98,,,C4,
extra,,49.15,,,C4,
