onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,X0,X0,0.0
correct,1.63,1.67,-0.04,X0,B/Cb3,0.0
correct,2.4,2.4,0.0,A3,X0,0.0
correct,4.0,3.97,0.03,X0,A3,0.0
correct,4.76,4.77,-0.01,X0,X0,0.0
correct,6.36,6.4,-0.04,D4,F#/Gb4,0.2
correct,7.13,7.14,-0.01,X0,X0,0.0
early,8.73,8.58,0.15,C#/Db4,A3,0.2
correct,9.5,9.51,-0.01,B/Cb3,X0,0.0
early,10.3,9.51,0.79,F#/Gb4,X0,0.0
correct,11.1,10.31,0.79,G5,F#/Gb4,0.8
correct,11.87,11.14,0.73,A3,G5,0.6
correct,11.87,11.91,-0.04,A3,G5,0.6
correct,12.67,12.67,0.0,F#/Gb4,A3,0.4
correct,13.47,13.51,-0.04,B/Cb4,B/Cb4,1.0
late,13.47,14.27,-0.8,B/Cb4,B/Cb4,1.0
correct,14.24,15.01,-0.77,B/Cb3,F#/Gb4,0.1
correct,15.04,15.78,-0.74,F#/Gb4,F#/Gb4,1.0
correct,15.84,16.58,-0.74,A4,A4,1.0
late,16.57,18.24,-1.67,A4,A4,1.0
early,18.2,18.95,-0.75,F#/Gb4,F#/Gb4,1.0
late,18.94,20.61,-1.67,F#/Gb4,F#/Gb4,1.0
early,20.57,21.38,-0.81,F#/Gb4,X0,0.0
late,21.34,22.85,-1.51,A3,A3,1.0
early,22.94,23.68,-0.74,X0,X0,0.0
late,23.64,25.35,-1.71,X0,F#/Gb4,0.0
early,25.31,26.02,-0.71,X0,X0,0.0
late,26.01,27.62,-1.61,X0,A3,0.0
early,27.68,28.42,-0.74,X0,X0,0.0
correct,28.44,29.25,-0.81,X0,F#/Gb4,0.0
correct,29.24,30.08,-0.84,F#/Gb4,F#/Gb4,1.0
correct,30.04,30.85,-0.81,A5,G5,0.6
correct,30.81,31.65,-0.84,G5,A3,0.6
correct,31.61,32.39,-0.78,A3,A3,1.0
correct,32.41,33.22,-0.81,C#/Db5,B/Cb4,0.6
correct,33.18,33.95,-0.77,A#/Bb3,F#/Gb4,0.2
correct,33.98,34.79,-0.81,F#/Gb4,F#/Gb4,1.0
correct,34.78,35.55,-0.77,A4,A4,1.0
late,35.55,37.09,-1.54,A4,A3,1.0
correct,37.15,37.09,0.06,C#/Db5,A3,0.2
correct,37.92,37.89,0.03,C#/Db5,C#/Db5,1.0
correct,39.52,39.52,0.0,F#/Gb5,C#/Db5,0.1
correct,40.28,40.29,-0.01,F#/Gb5,F#/Gb5,1.0
correct,41.88,41.92,-0.04,B/Cb3,F#/Gb5,0.1
correct,42.65,42.66,-0.01,E/Fb4,E/Fb4,1.0
correct,44.25,44.26,-0.01,E/Fb4,E/Fb4,1.0
early,45.02,44.26,0.76,B/Cb3,E/Fb4,0.1
early,46.62,44.99,1.63,X0,E/Fb4,0.0
late,47.36,46.63,0.73,X0,D4,0.0
early,48.99,47.43,1.56,A4,E/Fb3,0.1
late,49.79,49.03,0.76,A3,A4,1.0
correct,49.79,49.79,0.0,A3,A4,1.0
correct,50.56,50.56,0.0,E/Fb4,E/Fb4,1.0
correct,51.36,51.39,-0.03,E/Fb5,E/Fb4,1.0
correct,52.16,52.16,0.0,G3,E/Fb5,0.4
correct,52.92,52.93,-0.01,G3,E/Fb4,0.4
correct,53.72,53.76,-0.04,B/Cb4,E/Fb4,0.1
correct,54.52,54.5,0.02,D5,D5,1.0
correct,55.29,55.3,-0.01,G3,E/Fb4,0.4
correct,56.09,56.1,-0.01,B/Cb4,G3,0.2
correct,56.86,56.87,-0.01,D5,D5,1.0
correct,58.46,58.47,-0.01,D5,D5,1.0
correct,59.23,59.2,0.03,F#/Gb3,D5,0.2
correct,60.03,59.97,0.06,A3,F#/Gb3,0.4
correct,60.83,60.87,-0.04,E/Fb5,E/Fb5,1.0
correct,61.63,61.63,0.0,A3,E/Fb5,0.1
correct,62.4,62.4,0.0,A3,A3,1.0
correct,63.2,63.2,0.0,A5,G5,0.6
correct,64.0,64.0,0.0,A3,A5,1.0
correct,64.76,64.77,-0.01,A3,A3,1.0
correct,65.56,65.57,-0.01,D5,E/Fb4,0.6
correct,66.36,66.37,-0.01,E/Fb5,E/Fb5,1.0
correct,67.13,67.14,-0.01,G3,E/Fb4,0.4
correct,67.93,67.94,-0.01,B/Cb4,G3,0.2
correct,68.73,68.71,0.02,D5,D5,1.0
correct,70.3,70.31,-0.01,D5,D5,1.0
correct,71.1,71.04,0.06,F#/Gb3,D5,0.2
correct,71.87,71.87,0.0,A3,A3,1.0
correct,72.67,72.67,0.0,G5,D5,0.1
correct,73.4,73.44,-0.04,G5,G5,1.0
correct,75.04,75.04,0.0,F#/Gb5,G5,0.8
correct,75.84,75.81,0.03,A3,F#/Gb5,0.4
correct,77.4,77.28,0.12,A3,A3,1.0
correct,78.2,78.18,0.02,B/Cb4,B/Cb4,1.0
early,78.97,78.18,0.79,F#/Gb4,B/Cb4,0.1
correct,79.77,78.98,0.79,B/Cb4,F#/Gb4,0.1
correct,80.57,79.78,0.79,C#/Db5,F#/Gb4,0.1
correct,81.34,80.58,0.76,E/Fb4,C#/Db5,0.4
correct,82.14,81.35,0.79,C#/Db5,E/Fb4,0.4
correct,82.94,82.15,0.79,A3,E/Fb4,0.1
correct,82.94,82.95,-0.01,A3,C#/Db5,0.2
correct,83.71,83.71,0.0,A4,A3,1.0
correct,84.51,84.55,-0.04,F#/Gb4,F#/Gb4,1.0
correct,85.31,85.22,0.09,D4,F#/Gb4,0.2
correct,86.08,86.11,-0.03,D4,F#/Gb4,0.2
correct,86.88,86.88,0.0,B/Cb3,E/Fb3,0.1
correct,89.24,89.25,-0.01,A4,C4,0.4
correct,91.61,91.62,-0.01,D5,A4,0.1
correct,92.41,92.39,0.02,A#/Bb3,X0,0.0
correct,93.98,94.02,-0.04,B/Cb3,F#/Gb4,0.1
correct,94.75,94.75,0.0,G#/Ab3,X0,0.0
correct,96.35,96.35,0.0,C#/Db4,A3,0.2
correct,97.12,97.12,0.0,A#/Bb3,X0,0.0
correct,98.72,98.72,0.0,B/Cb3,B/Cb3,1.0
correct,99.48,99.46,0.02,X0,X0,0.0
correct,101.08,101.09,-0.01,A3,C#/Db4,0.2
correct,101.88,101.83,0.05,A#/Bb3,X0,0.0
correct,102.65,102.69,-0.04,F#/Gb4,F#/Gb4,1.0
correct,103.45,103.46,-0.01,A5,A5,1.0
correct,104.25,104.26,-0.01,G5,G5,1.0
correct,105.05,105.03,0.02,A3,F#/Gb4,0.4
correct,105.82,105.86,-0.04,B/Cb4,B/Cb4,1.0
correct,106.62,106.63,-0.01,B/Cb3,B/Cb4,1.0
correct,107.42,107.36,0.06,D5,F#/Gb4,0.2
correct,108.19,108.19,0.0,A4,D4,0.1
correct,108.99,108.96,0.03,A4,A4,1.0
correct,110.56,110.56,0.0,F#/Gb4,A4,0.4
correct,111.36,111.33,0.03,F#/Gb4,F#/Gb4,1.0
correct,112.92,112.96,-0.04,F#/Gb4,F#/Gb4,1.0
correct,113.69,113.7,-0.01,X0,X0,0.0
correct,115.29,115.3,-0.01,A3,C#/Db4,0.2
correct,116.06,116.07,-0.01,A#/Bb3,X0,0.0
early,117.66,116.07,1.59,B/Cb3,X0,0.0
late,118.43,117.7,0.73,X0,B/Cb3,0.0
early,120.03,118.43,1.6,C#/Db4,X0,0.0
late,120.83,120.07,0.76,B/Cb3,F#/Gb4,0.1
correct,121.63,120.74,0.89,A5,X0,0.0
correct,121.63,121.6,0.03,A5,D4,0.1
correct,122.4,122.4,0.0,G5,A5,0.6
