onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,X0,X0,0.0
late,1.63,2.05,-0.42,X0,B/Cb3,0.0
late,2.4,3.01,-0.61,A3,X0,0.0
late,4.0,5.09,-1.09,X0,A3,0.0
late,4.76,6.02,-1.26,X0,X0,0.0
late,6.36,8.03,-1.67,D4,F#/Gb4,0.2
late,7.13,9.09,-1.96,X0,X0,0.0
late,7.13,11.1,-3.97,X0,A3,0.0
late,7.13,12.06,-4.93,X0,X0,0.0
late,7.13,13.02,-5.89,X0,F#/Gb4,0.0
early,8.73,14.08,-5.35,C#/Db4,G5,0.0
late,9.5,15.04,-5.54,B/Cb3,G5,0.2
correct,10.3,15.97,-5.67,F#/Gb4,A3,0.4
late,11.1,16.99,-5.89,G5,C#/Db5,0.0
late,11.87,17.98,-6.11,A3,B/Cb4,0.6
late,11.87,18.94,-7.07,A3,B/Cb3,0.6
late,12.67,19.94,-7.27,F#/Gb4,A4,0.4
correct,13.47,20.8,-7.33,B/Cb4,A4,0.6
late,14.24,22.78,-8.54,B/Cb3,A3,0.6
late,15.04,23.78,-8.74,F#/Gb4,F#/Gb4,1.0
late,15.84,25.63,-9.79,A4,F#/Gb4,0.4
late,16.57,26.62,-10.05,A4,X0,0.0
late,18.2,28.54,-10.34,F#/Gb4,A3,0.4
late,18.94,29.44,-10.5,F#/Gb4,X0,0.0
late,20.57,31.39,-10.82,F#/Gb4,D4,0.2
correct,21.34,32.26,-10.92,A3,X0,0.0
late,22.94,34.18,-11.24,X0,C#/Db4,0.0
late,23.64,35.07,-11.43,X0,X0,0.0
late,23.64,36.0,-12.36,X0,F#/Gb5,0.0
late,23.64,36.96,-13.32,X0,A5,0.0
late,23.64,37.89,-14.25,X0,G5,0.0
late,23.64,38.82,-15.18,X0,F#/Gb5,0.0
late,23.64,39.68,-16.04,X0,C#/Db5,0.0
early,25.31,40.61,-15.3,X0,B/Cb4,0.0
late,26.01,41.54,-15.53,X0,F#/Gb4,0.0
