onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,X0,B/Cb3,0.0
correct,1.63,1.6,0.03,X0,X0,0.0
correct,2.4,2.37,0.03,A3,A3,1.0
correct,4.0,3.97,0.03,X0,X0,0.0
correct,4.76,4.73,0.03,X0,X0,0.0
correct,6.36,6.33,0.03,D4,D4,1.0
correct,7.13,7.1,0.03,X0,X0,0.0
correct,8.73,8.7,0.03,C#/Db4,C#/Db4,1.0
correct,9.5,9.41,0.09,B/Cb3,X0,0.0
correct,10.3,10.27,0.03,F#/Gb4,F#/Gb4,1.0
correct,11.1,11.07,0.03,G5,G5,1.0
correct,11.87,11.84,0.03,A3,G#/Ab3,0.8
correct,12.67,12.64,0.03,F#/Gb4,A3,0.4
correct,13.47,13.44,0.03,B/Cb4,B/Cb4,1.0
correct,14.24,14.21,0.03,B/Cb3,B/Cb3,1.0
correct,15.04,15.01,0.03,F#/Gb4,F#/Gb4,1.0
correct,15.84,15.81,0.03,A4,A4,1.0
correct,16.57,16.51,0.06,A4,A4,1.0
correct,18.2,18.17,0.03,F#/Gb4,F#/Gb4,1.0
correct,18.94,18.91,0.03,F#/Gb4,F#/Gb4,1.0
correct,20.57,20.54,0.03,F#/Gb4,D4,0.2
correct,21.34,21.28,0.06,A3,X0,0.0
correct,22.94,22.91,0.03,X0,X0,0.0
correct,23.64,23.65,-0.01,X0,X0,0.0
correct,25.31,25.28,0.03,X0,X0,0.0
correct,26.01,26.05,-0.04,X0,G#/Ab3,0.0
correct,27.68,27.65,0.03,X0,X0,0.0
correct,28.44,28.41,0.03,X0,X0,0.0
correct,29.24,29.21,0.03,F#/Gb4,F#/Gb4,1.0
correct,30.04,30.01,0.03,A5,A5,1.0
correct,30.81,30.78,0.03,G5,G5,1.0
correct,31.61,31.58,0.03,A3,A3,1.0
correct,32.41,32.38,0.03,C#/Db5,C#/Db5,1.0
correct,33.18,33.15,0.03,A#/Bb3,A#/Bb3,1.0
correct,33.98,33.95,0.03,F#/Gb4,F#/Gb4,1.0
correct,34.78,34.75,0.03,A4,A4,1.0
correct,35.55,35.52,0.03,A4,A4,1.0
correct,37.15,37.12,0.03,C#/Db5,C#/Db5,1.0
correct,37.92,37.89,0.03,C#/Db5,C#/Db5,1.0
correct,39.52,39.49,0.03,F#/Gb5,F#/Gb5,1.0
correct,40.28,40.22,0.06,F#/Gb5,F#/Gb5,1.0
correct,41.88,41.85,0.03,B/Cb3,F#/Gb4,0.1
correct,42.65,42.65,0.0,E/Fb4,E/Fb4,1.0
correct,44.25,44.22,0.03,E/Fb4,E/Fb4,1.0
correct,45.02,45.02,0.0,B/Cb3,A#/Bb3,0.8
correct,46.62,46.59,0.03,X0,B/Cb3,0.0
correct,47.36,47.36,0.0,X0,E/Fb3,0.0
correct,48.99,48.96,0.03,A4,A4,1.0
correct,49.79,49.76,0.03,A3,A3,1.0
correct,50.56,50.53,0.03,E/Fb4,E/Fb4,1.0
correct,51.36,51.33,0.03,E/Fb5,E/Fb5,1.0
correct,52.16,52.13,0.03,G3,G3,1.0
correct,52.92,52.89,0.03,G3,G3,1.0
correct,53.72,53.69,0.03,B/Cb4,B/Cb4,1.0
correct,54.52,54.49,0.03,D5,D5,1.0
correct,55.29,55.26,0.03,G3,G3,1.0
correct,56.09,56.06,0.03,B/Cb4,B/Cb4,1.0
correct,56.86,56.83,0.03,D5,D5,1.0
correct,58.46,58.43,0.03,D5,D5,1.0
correct,59.23,59.2,0.03,F#/Gb3,F#/Gb3,1.0
correct,60.03,59.97,0.06,A3,A3,1.0
correct,60.83,60.8,0.03,E/Fb5,E/Fb5,1.0
correct,61.63,61.6,0.03,A3,A3,1.0
correct,62.4,62.37,0.03,A3,A3,1.0
correct,63.2,63.17,0.03,A5,A5,1.0
correct,64.0,63.97,0.03,A3,A3,1.0
correct,64.76,64.73,0.03,A3,A3,1.0
correct,65.56,65.53,0.03,D5,D5,1.0
correct,66.36,66.33,0.03,E/Fb5,E/Fb5,1.0
correct,67.13,67.1,0.03,G3,G3,1.0
correct,67.93,67.9,0.03,B/Cb4,B/Cb4,1.0
correct,68.73,68.7,0.03,D5,D5,1.0
correct,70.3,70.27,0.03,D5,D5,1.0
correct,71.1,71.07,0.03,F#/Gb3,F#/Gb3,1.0
correct,71.87,71.81,0.06,A3,A3,1.0
correct,72.67,72.64,0.03,G5,G5,1.0
correct,73.4,73.34,0.06,G5,G5,1.0
correct,75.04,75.01,0.03,F#/Gb5,F#/Gb5,1.0
correct,75.84,75.81,0.03,A3,F#/Gb5,0.4
correct,77.4,77.37,0.03,A3,A3,1.0
correct,78.2,78.17,0.03,B/Cb4,B/Cb4,1.0
