onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,G3,G3,1.0
correct,0.51,0.51,0.0,B/Cb3,B/Cb3,1.0
correct,0.99,0.99,0.0,X0,F#/Gb3,0.0
early,1.5,0.99,0.51,X0,F#/Gb3,0.0
correct,2.02,1.5,0.52,G3,X0,0.0
correct,2.02,2.02,0.0,G3,G3,1.0
correct,2.5,2.5,0.0,B/Cb3,B/Cb3,1.0
correct,3.01,3.01,0.0,F#/Gb3,F#/Gb3,1.0
correct,3.52,3.52,0.0,G3,G3,1.0
correct,4.51,4.48,0.03,G3,G3,1.0
correct,5.5,5.47,0.03,G3,G3,1.0
correct,6.5,6.5,0.0,E/Fb3,E/Fb3,1.0
correct,7.52,7.49,0.03,G3,E/Fb3,0.4
correct,8.0,7.97,0.03,G3,G3,1.0
correct,8.51,8.45,0.06,F#/Gb3,F#/Gb3,1.0
correct,8.99,8.99,0.0,E/Fb3,E/Fb3,1.0
correct,9.5,9.47,0.03,B/Cb3,B/Cb3,1.0
correct,10.5,10.46,0.04,X0,X0,0.0
correct,11.52,11.46,0.06,G3,X0,0.0
early,12.51,11.46,1.05,G3,X0,0.0
correct,13.5,12.48,1.02,G3,G3,1.0
correct,14.5,13.47,1.03,F#/Gb3,G3,0.8
correct,14.5,14.46,0.04,F#/Gb3,F#/Gb3,1.0
correct,15.52,15.46,0.06,B/Cb3,F#/Gb3,0.1
correct,16.0,15.87,0.13,G3,B/Cb3,0.2
correct,16.51,16.48,0.03,G3,G3,1.0
correct,16.99,16.99,0.0,F#/Gb3,F#/Gb3,1.0
correct,17.5,17.47,0.03,B/Cb3,B/Cb3,1.0
early,18.5,17.47,1.03,C4,B/Cb3,0.8
correct,19.52,18.5,1.02,X0,C4,0.0
late,20.0,19.52,0.48,G3,C4,0.1
correct,20.0,20.03,-0.03,G3,G#/Ab3,0.8
correct,20.51,20.54,-0.03,B/Cb3,B/Cb3,1.0
correct,20.99,21.02,-0.03,X0,G3,0.0
correct,21.5,21.54,-0.04,X0,X0,0.0
