onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb3,E/Fb3,1.0
correct,0.23,0.23,0.0,D4,D4,1.0
correct,0.45,0.45,0.0,D4,D4,1.0
correct,0.64,0.64,0.0,D4,D4,1.0
correct,0.87,0.87,0.0,C4,C4,1.0
correct,1.09,1.09,0.0,B/Cb3,B/Cb3,1.0
correct,1.25,1.25,0.0,B/Cb3,B/Cb3,1.0
correct,1.51,1.51,0.0,B/Cb3,B/Cb3,1.0
correct,1.73,1.73,0.0,A3,A3,1.0
correct,1.95,1.95,0.0,A3,A3,1.0
correct,2.15,2.15,0.0,G3,G3,1.0
correct,2.37,2.37,0.0,G3,G3,1.0
correct,2.79,2.79,0.0,B/Cb3,B/Cb3,1.0
correct,3.65,3.65,0.0,B/Cb3,B/Cb3,1.0
correct,4.07,4.1,-0.03,F#/Gb3,G3,0.8
correct,4.51,4.51,0.0,G3,G3,1.0
correct,4.93,4.93,0.0,B/Cb4,G4,0.2
correct,5.38,5.38,0.0,B/Cb4,B/Cb4,1.0
correct,5.57,5.57,0.0,G3,G3,1.0
correct,5.79,5.79,0.0,G3,G3,1.0
correct,6.02,6.02,0.0,G3,G3,1.0
correct,6.24,6.24,0.0,C5,C5,1.0
correct,6.66,6.66,0.0,B/Cb4,B/Cb4,1.0
correct,6.88,6.88,0.0,G3,G3,1.0
correct,7.07,7.07,0.0,G3,G3,1.0
correct,7.3,7.3,0.0,G3,G3,1.0
correct,7.52,7.52,0.0,C5,C5,1.0
correct,7.75,7.75,0.0,A#/Bb4,A#/Bb4,1.0
correct,7.94,7.94,0.0,G3,G3,1.0
correct,8.16,8.16,0.0,G3,G3,1.0
correct,8.29,8.29,0.0,C5,C5,1.0
correct,8.58,8.58,0.0,G3,G3,1.0
correct,8.8,8.8,0.0,E/Fb4,E/Fb4,1.0
correct,9.22,9.22,0.0,F#/Gb4,F#/Gb4,1.0
correct,9.67,9.67,0.0,F#/Gb4,F#/Gb4,1.0
correct,10.08,10.08,0.0,F#/Gb4,F#/Gb4,1.0
correct,10.5,10.5,0.0,A4,A4,1.0
correct,10.72,10.72,0.0,D#/Eb4,D#/Eb4,1.0
correct,10.95,10.95,0.0,D#/Eb4,D#/Eb4,1.0
correct,11.17,11.17,0.0,B/Cb4,B/Cb4,1.0
correct,11.36,11.36,0.0,B/Cb4,B/Cb4,1.0
correct,11.81,11.81,0.0,A4,A4,1.0
correct,12.0,12.0,0.0,D#/Eb4,D#/Eb4,1.0
correct,12.23,12.23,0.0,D#/Eb4,D#/Eb4,1.0
correct,12.45,12.45,0.0,D#/Eb4,D#/Eb4,1.0
correct,12.64,12.58,0.06,B/Cb4,B/Cb4,1.0
correct,12.9,12.9,0.0,F#/Gb3,F#/Gb3,1.0
correct,13.09,13.09,0.0,B/Cb3,B/Cb3,1.0
correct,13.25,13.31,-0.06,D#/Eb4,D#/Eb4,1.0
correct,13.51,13.51,0.0,D#/Eb4,D#/Eb4,1.0
correct,13.73,13.73,0.0,D#/Eb4,D#/Eb4,1.0
correct,13.95,13.95,0.0,F#/Gb4,F#/Gb4,1.0
correct,14.37,14.37,0.0,G3,G3,1.0
correct,14.79,14.79,0.0,G4,G4,1.0
correct,15.23,15.23,0.0,G4,G4,1.0
correct,15.65,15.65,0.0,B/Cb4,B/Cb4,1.0
correct,15.87,15.87,0.0,G3,G3,1.0
correct,16.1,16.1,0.0,G3,G3,1.0
correct,16.29,16.29,0.0,G3,G3,1.0
correct,16.51,16.51,0.0,C5,C5,1.0
correct,16.93,16.93,0.0,B/Cb4,B/Cb4,1.0
correct,17.15,17.15,0.0,G3,G3,1.0
correct,17.38,17.38,0.0,G3,G3,1.0
correct,17.51,17.51,0.0,B/Cb4,B/Cb4,1.0
correct,17.79,17.79,0.0,C5,C5,1.0
correct,18.02,18.02,0.0,A#/Bb4,A#/Bb4,1.0
correct,18.15,18.24,-0.09,A#/Bb4,A#/Bb4,1.0
correct,18.43,18.43,0.0,G3,G3,1.0
correct,18.66,18.66,0.0,G3,G3,1.0
correct,18.88,18.88,0.0,G3,G3,1.0
correct,19.07,19.07,0.0,E/Fb4,E/Fb4,1.0
correct,19.52,19.52,0.0,E/Fb5,E/Fb5,1.0
late,19.94,20.32,-0.38,A4,A4,1.0
correct,20.35,20.8,-0.45,A4,C5,0.4
correct,20.8,21.22,-0.42,C5,E/Fb4,0.2
correct,21.03,21.44,-0.41,E/Fb4,E/Fb4,1.0
correct,21.22,21.67,-0.45,E/Fb4,B/Cb4,0.1
late,21.44,22.08,-0.64,E/Fb4,B/Cb4,0.1
correct,21.67,22.31,-0.64,B/Cb4,G3,0.2
early,22.08,22.43,-0.35,B/Cb4,E/Fb4,0.1
correct,22.31,22.72,-0.41,G3,G3,1.0
correct,22.43,22.95,-0.52,E/Fb4,F#/Gb4,0.6
correct,22.72,23.36,-0.64,G3,F#/Gb4,0.8
correct,22.95,23.59,-0.64,F#/Gb4,A3,0.4
early,23.36,23.81,-0.45,F#/Gb4,A3,0.4
correct,23.59,24.0,-0.41,A3,A3,1.0
correct,23.81,24.23,-0.42,A3,E/Fb3,0.1
late,24.0,24.64,-0.64,A3,E/Fb4,0.1
late,24.23,25.09,-0.86,E/Fb3,E/Fb4,1.0
correct,24.64,25.51,-0.87,E/Fb4,E/Fb4,1.0
correct,25.09,25.95,-0.86,E/Fb4,F#/Gb3,0.6
correct,25.51,26.37,-0.86,E/Fb4,G4,0.4
correct,25.95,26.79,-0.84,F#/Gb3,G4,0.8
correct,26.37,27.23,-0.86,G4,B/Cb4,0.2
early,26.79,27.46,-0.67,G4,G3,1.0
early,27.23,27.65,-0.42,B/Cb4,G3,0.2
correct,27.43,27.87,-0.44,G3,G3,1.0
correct,27.65,28.1,-0.45,G3,B/Cb4,0.2
late,27.87,28.51,-0.64,G3,B/Cb4,0.2
correct,28.1,28.74,-0.64,B/Cb4,G3,0.2
early,28.51,28.93,-0.42,B/Cb4,G3,0.2
correct,28.74,29.15,-0.41,G3,G3,1.0
correct,28.93,29.38,-0.45,G3,B/Cb4,0.2
correct,29.15,29.6,-0.45,G3,B/Cb4,0.2
correct,29.38,29.79,-0.41,B/Cb4,A#/Bb4,0.8
correct,29.6,30.02,-0.42,B/Cb4,G3,0.2
correct,29.79,30.24,-0.45,A#/Bb4,G3,0.4
correct,30.02,30.43,-0.41,G3,G3,1.0
correct,30.24,30.66,-0.42,G3,F#/Gb4,0.8
late,30.43,31.07,-0.64,G3,F#/Gb4,0.8
late,30.66,31.52,-0.86,F#/Gb4,A3,0.4
correct,31.07,31.94,-0.87,F#/Gb4,F#/Gb3,1.0
correct,31.52,32.35,-0.83,A3,A4,1.0
early,31.94,32.58,-0.64,F#/Gb3,D#/Eb4,0.4
early,32.35,32.8,-0.45,A4,D#/Eb4,0.0
correct,32.58,33.03,-0.45,D#/Eb4,D#/Eb4,1.0
correct,32.8,33.22,-0.42,D#/Eb4,F#/Gb3,0.4
late,33.03,33.67,-0.64,D#/Eb4,A4,0.0
correct,33.22,33.86,-0.64,B/Cb4,D#/Eb4,0.2
early,33.67,34.08,-0.41,A4,D#/Eb4,0.0
correct,33.86,34.31,-0.45,D#/Eb4,D#/Eb4,1.0
correct,34.08,34.43,-0.35,D#/Eb4,B/Cb4,0.2
correct,34.31,34.75,-0.44,D#/Eb4,F#/Gb3,0.4
correct,34.43,34.95,-0.52,B/Cb4,B/Cb3,1.0
correct,34.75,35.17,-0.42,F#/Gb3,D#/Eb4,0.4
correct,34.95,35.36,-0.41,B/Cb3,D#/Eb4,0.2
correct,35.17,35.59,-0.42,D#/Eb4,D#/Eb4,1.0
correct,35.36,35.81,-0.45,D#/Eb4,A4,0.0
late,35.59,36.23,-0.64,D#/Eb4,G3,0.2
late,35.81,36.64,-0.83,A4,G3,0.6
correct,36.23,37.09,-0.86,G3,B/Cb4,0.2
correct,36.64,37.51,-0.87,G3,B/Cb4,0.2
early,37.09,37.73,-0.64,B/Cb4,G3,0.2
early,37.51,37.95,-0.44,B/Cb4,G3,0.2
correct,37.73,38.15,-0.42,G3,G3,1.0
correct,37.95,38.37,-0.42,G3,B/Cb4,0.2
late,38.15,38.79,-0.64,G3,B/Cb4,0.2
correct,38.37,39.01,-0.64,B/Cb4,G3,0.2
early,38.79,39.23,-0.44,B/Cb4,G3,0.2
correct,39.01,39.46,-0.45,G3,C5,0.1
correct,39.23,39.65,-0.42,G3,C5,0.1
correct,39.36,39.87,-0.51,B/Cb4,B/Cb4,1.0
correct,39.65,40.1,-0.45,C5,G3,0.1
correct,39.87,40.29,-0.42,B/Cb4,G3,0.2
correct,40.1,40.51,-0.41,G3,G3,1.0
correct,40.29,40.74,-0.45,G3,G3,1.0
correct,40.51,40.93,-0.42,G3,E/Fb4,0.4
late,40.74,41.38,-0.64,G3,C4,0.1
late,40.93,41.79,-0.86,E/Fb4,E/Fb4,1.0
correct,41.38,42.24,-0.86,C4,A4,0.4
correct,41.79,42.66,-0.87,E/Fb4,C5,0.2
early,42.21,42.88,-0.67,A4,E/Fb4,0.1
early,42.66,43.07,-0.41,C5,E/Fb4,0.2
correct,42.88,43.3,-0.42,E/Fb4,E/Fb4,1.0
correct,43.07,43.52,-0.45,E/Fb4,C5,0.2
late,43.3,43.94,-0.64,E/Fb4,B/Cb4,0.1
correct,43.52,44.16,-0.64,C5,G3,0.1
early,43.94,44.39,-0.45,B/Cb4,G3,0.2
correct,44.16,44.58,-0.42,G3,G3,1.0
correct,44.29,44.8,-0.51,E/Fb4,G4,0.4
correct,44.58,45.22,-0.64,G3,F#/Gb4,0.8
correct,44.8,45.44,-0.64,G4,A3,0.6
early,45.22,45.67,-0.45,F#/Gb4,A3,0.4
