onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb3,E/Fb3,1.0
correct,0.23,0.23,0.0,D4,D4,1.0
correct,0.45,0.45,0.0,D4,D4,1.0
correct,0.64,0.64,0.0,D4,X0,0.0
correct,0.87,0.87,0.0,C4,C4,1.0
correct,1.09,1.09,0.0,B/Cb3,B/Cb3,1.0
correct,1.25,1.25,0.0,B/Cb3,B/Cb3,1.0
correct,1.51,1.51,0.0,B/Cb3,B/Cb3,1.0
correct,1.73,1.73,0.0,A3,A3,1.0
correct,1.95,1.95,0.0,A3,A3,1.0
correct,2.15,2.15,0.0,G3,G3,1.0
correct,2.37,2.37,0.0,G3,G3,1.0
correct,2.79,2.79,0.0,B/Cb3,B/Cb3,1.0
correct,3.65,3.65,0.0,B/Cb3,B/Cb3,1.0
correct,4.07,4.1,-0.03,F#/Gb3,G3,0.8
correct,4.51,4.51,0.0,G3,G3,1.0
correct,4.93,4.93,0.0,B/Cb4,G4,0.2
correct,5.38,5.38,0.0,B/Cb4,B/Cb4,1.0
correct,5.57,5.57,0.0,G3,G3,1.0
correct,5.79,5.79,0.0,G3,G3,1.0
correct,6.02,6.02,0.0,G3,G3,1.0
correct,6.24,6.24,0.0,C5,C5,1.0
correct,6.66,6.66,0.0,B/Cb4,B/Cb4,1.0
correct,6.88,6.88,0.0,G3,G3,1.0
correct,7.07,7.07,0.0,G3,G3,1.0
correct,7.3,7.3,0.0,G3,G3,1.0
correct,7.52,7.52,0.0,C5,C5,1.0
correct,7.75,7.75,0.0,A#/Bb4,A#/Bb4,1.0
correct,7.94,7.94,0.0,G3,G3,1.0
correct,8.16,8.16,0.0,G3,G3,1.0
correct,8.29,8.29,0.0,C5,C5,1.0
correct,8.58,8.58,0.0,G3,G3,1.0
correct,8.8,8.8,0.0,E/Fb4,E/Fb4,1.0
correct,9.22,9.22,0.0,F#/Gb4,F#/Gb4,1.0
correct,9.67,9.67,0.0,F#/Gb4,F#/Gb4,1.0
correct,10.08,10.08,0.0,F#/Gb4,F#/Gb4,1.0
correct,10.5,10.5,0.0,A4,A4,1.0
correct,10.72,10.72,0.0,D#/Eb4,D#/Eb4,1.0
correct,10.95,10.95,0.0,D#/Eb4,D#/Eb4,1.0
correct,11.17,11.17,0.0,B/Cb4,B/Cb4,1.0
correct,11.36,11.36,0.0,B/Cb4,B/Cb4,1.0
correct,11.81,11.81,0.0,A4,A4,1.0
correct,12.0,12.0,0.0,D#/Eb4,D#/Eb4,1.0
correct,12.23,12.23,0.0,D#/Eb4,D#/Eb4,1.0
correct,12.45,12.45,0.0,D#/Eb4,D#/Eb4,1.0
correct,12.64,12.58,0.06,B/Cb4,B/Cb4,1.0
correct,12.9,12.9,0.0,F#/Gb3,F#/Gb3,1.0
correct,13.09,13.09,0.0,B/Cb3,B/Cb3,1.0
correct,13.25,13.31,-0.06,D#/Eb4,D#/Eb4,1.0
correct,13.51,13.51,0.0,D#/Eb4,D#/Eb4,1.0
correct,13.73,13.73,0.0,D#/Eb4,D#/Eb4,1.0
correct,13.95,13.95,0.0,F#/Gb4,F#/Gb4,1.0
correct,14.37,14.37,0.0,G3,G3,1.0
correct,14.79,14.79,0.0,G4,G4,1.0
correct,15.23,15.23,0.0,G4,G4,1.0
correct,15.65,15.65,0.0,B/Cb4,B/Cb4,1.0
correct,15.87,15.87,0.0,G3,G3,1.0
correct,16.1,16.1,0.0,G3,G3,1.0
correct,16.29,16.29,0.0,G3,G3,1.0
correct,16.51,16.51,0.0,C5,C5,1.0
correct,16.93,16.93,0.0,B/Cb4,B/Cb4,1.0
correct,17.15,17.15,0.0,G3,G3,1.0
correct,17.38,17.38,0.0,G3,G3,1.0
correct,17.51,17.51,0.0,B/Cb4,B/Cb4,1.0
correct,17.79,17.79,0.0,C5,C5,1.0
correct,18.02,18.02,0.0,A#/Bb4,A#/Bb4,1.0
correct,18.15,18.24,-0.09,A#/Bb4,A#/Bb4,1.0
correct,18.43,18.43,0.0,G3,G3,1.0
correct,18.66,18.66,0.0,G3,G3,1.0
correct,18.88,18.88,0.0,G3,G3,1.0
correct,19.07,19.07,0.0,E/Fb4,E/Fb4,1.0
correct,19.52,19.52,0.0,E/Fb5,E/Fb5,1.0
correct,19.94,19.94,0.0,A4,A4,1.0
correct,20.35,20.35,0.0,A4,A4,1.0
correct,20.8,20.8,0.0,C5,C5,1.0
correct,21.03,21.03,0.0,E/Fb4,E/Fb4,1.0
correct,21.22,21.22,0.0,E/Fb4,E/Fb4,1.0
correct,21.44,21.44,0.0,E/Fb4,E/Fb4,1.0
correct,21.67,21.67,0.0,B/Cb4,B/Cb4,1.0
correct,22.08,22.08,0.0,B/Cb4,B/Cb4,1.0
correct,22.31,22.31,0.0,G3,G3,1.0
correct,22.43,22.43,0.0,E/Fb4,E/Fb4,1.0
correct,22.72,22.72,0.0,G3,G3,1.0
correct,22.95,22.95,0.0,F#/Gb4,F#/Gb4,1.0
correct,23.36,23.36,0.0,F#/Gb4,F#/Gb4,1.0
correct,23.59,23.59,0.0,A3,A3,1.0
correct,23.81,23.81,0.0,A3,A3,1.0
correct,24.0,24.0,0.0,A3,A3,1.0
correct,24.23,24.23,0.0,E/Fb3,E/Fb3,1.0
correct,24.64,24.64,0.0,E/Fb4,E/Fb4,1.0
correct,25.09,25.09,0.0,E/Fb4,E/Fb4,1.0
correct,25.51,25.51,0.0,E/Fb4,E/Fb4,1.0
correct,25.95,25.95,0.0,F#/Gb3,F#/Gb3,1.0
correct,26.37,26.37,0.0,G4,G4,1.0
correct,26.79,26.79,0.0,G4,G4,1.0
correct,27.23,27.23,0.0,B/Cb4,B/Cb4,1.0
correct,27.43,27.46,-0.03,G3,G3,1.0
correct,27.65,27.65,0.0,G3,G3,1.0
correct,27.87,27.87,0.0,G3,G3,1.0
correct,28.1,28.1,0.0,B/Cb4,B/Cb4,1.0
correct,28.51,28.51,0.0,B/Cb4,B/Cb4,1.0
correct,28.74,28.74,0.0,G3,G3,1.0
correct,28.93,28.93,0.0,G3,G3,1.0
correct,29.15,29.15,0.0,G3,G3,1.0
correct,29.38,29.38,0.0,B/Cb4,B/Cb4,1.0
correct,29.6,29.6,0.0,B/Cb4,B/Cb4,1.0
correct,29.79,29.79,0.0,A#/Bb4,A#/Bb4,1.0
correct,30.02,30.02,0.0,G3,G3,1.0
correct,30.24,30.24,0.0,G3,G3,1.0
correct,30.43,30.43,0.0,G3,G3,1.0
correct,30.66,30.66,0.0,F#/Gb4,F#/Gb4,1.0
correct,31.07,31.07,0.0,F#/Gb4,F#/Gb4,1.0
correct,31.52,31.52,0.0,A3,A3,1.0
correct,31.94,31.94,0.0,F#/Gb3,F#/Gb3,1.0
correct,32.35,32.35,0.0,A4,A4,1.0
correct,32.58,32.58,0.0,D#/Eb4,D#/Eb4,1.0
correct,32.8,32.8,0.0,D#/Eb4,D#/Eb4,1.0
correct,33.03,33.03,0.0,D#/Eb4,D#/Eb4,1.0
correct,33.22,33.22,0.0,B/Cb4,F#/Gb3,0.1
correct,33.67,33.67,0.0,A4,A4,1.0
correct,33.86,33.86,0.0,D#/Eb4,D#/Eb4,1.0
correct,34.08,34.08,0.0,D#/Eb4,D#/Eb4,1.0
correct,34.31,34.31,0.0,D#/Eb4,D#/Eb4,1.0
correct,34.43,34.43,0.0,B/Cb4,B/Cb4,1.0
correct,34.75,34.75,0.0,F#/Gb3,F#/Gb3,1.0
correct,34.95,34.95,0.0,B/Cb3,B/Cb3,1.0
correct,35.17,35.17,0.0,D#/Eb4,D#/Eb4,1.0
correct,35.36,35.36,0.0,D#/Eb4,D#/Eb4,1.0
correct,35.59,35.59,0.0,D#/Eb4,D#/Eb4,1.0
correct,35.81,35.81,0.0,A4,A4,1.0
correct,36.23,36.23,0.0,G3,G3,1.0
correct,36.64,36.64,0.0,G3,G3,1.0
correct,37.09,37.09,0.0,B/Cb4,B/Cb4,1.0
correct,37.51,37.51,0.0,B/Cb4,B/Cb4,1.0
correct,37.73,37.73,0.0,G3,G3,1.0
correct,37.95,37.95,0.0,G3,G3,1.0
correct,38.15,38.15,0.0,G3,G3,1.0
correct,38.37,38.37,0.0,B/Cb4,B/Cb4,1.0
correct,38.79,38.79,0.0,B/Cb4,B/Cb4,1.0
correct,39.01,39.01,0.0,G3,G3,1.0
correct,39.23,39.23,0.0,G3,G3,1.0
correct,39.36,39.46,-0.1,B/Cb4,C5,0.8
correct,39.65,39.65,0.0,C5,C5,1.0
correct,39.87,39.87,0.0,B/Cb4,B/Cb4,1.0
correct,40.1,40.1,0.0,G3,G3,1.0
correct,40.29,40.29,0.0,G3,G3,1.0
correct,40.51,40.51,0.0,G3,G3,1.0
correct,40.74,40.74,0.0,G3,G3,1.0
correct,40.93,40.93,0.0,E/Fb4,E/Fb4,1.0
correct,41.38,41.38,0.0,C4,C4,1.0
correct,41.79,41.79,0.0,E/Fb4,E/Fb4,1.0
correct,42.21,42.24,-0.03,A4,A4,1.0
correct,42.66,42.66,0.0,C5,C5,1.0
correct,42.88,42.88,0.0,E/Fb4,E/Fb4,1.0
correct,43.07,43.07,0.0,E/Fb4,E/Fb4,1.0
correct,43.3,43.3,0.0,E/Fb4,E/Fb4,1.0
correct,43.52,43.52,0.0,C5,C5,1.0
correct,43.94,43.94,0.0,B/Cb4,B/Cb4,1.0
correct,44.16,44.16,0.0,G3,G3,1.0
correct,44.29,44.39,-0.1,E/Fb4,G3,0.4
correct,44.58,44.58,0.0,G3,G3,1.0
correct,44.8,44.8,0.0,G4,G4,1.0
correct,45.22,45.22,0.0,F#/Gb4,F#/Gb4,1.0
correct,45.44,45.44,0.0,A3,A3,1.0
correct,45.67,45.67,0.0,A3,A3,1.0
