onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb5,E/Fb5,1.0
correct,0.39,0.44,-0.05,F#/Gb4,D5,0.2
correct,1.12,1.21,-0.09,F#/Gb4,F#/Gb4,1.0
correct,1.89,2.04,-0.15,C#/Db5,G#/Ab4,0.1
correct,2.27,2.4,-0.13,C#/Db5,C#/Db5,1.0
late,2.27,2.78,-0.51,C#/Db5,B/Cb4,0.6
late,2.63,3.58,-0.95,B/Cb4,D4,0.4
correct,3.39,4.28,-0.89,D4,E/Fb4,0.6
early,4.13,4.64,-0.51,B/Cb4,B/Cb4,1.0
correct,4.51,4.92,-0.41,B/Cb4,A4,0.6
late,4.51,5.63,-1.12,B/Cb4,C#/Db4,0.6
late,4.9,6.2,-1.3,C#/Db4,E/Fb4,0.4
missing,5.63,,,C#/Db4,,
missing,6.4,,,E/Fb4,,
