onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A3,D4,0.1
correct,0.29,0.28,0.01,A3,A3,1.0
correct,0.61,0.6,0.01,A4,D4,0.1
correct,1.18,1.21,-0.03,A4,A4,1.0
correct,1.79,1.82,-0.03,F#/Gb4,F#/Gb4,1.0
correct,2.11,2.08,0.03,E/Fb4,F#/Gb4,0.6
late,2.11,2.4,-0.29,E/Fb4,E/Fb4,1.0
late,2.11,4.51,-2.4,E/Fb4,C#/Db4,0.4
correct,2.4,4.8,-2.4,C#/Db4,A3,0.2
early,4.51,4.8,-0.29,C#/Db4,A3,0.2
correct,4.8,4.8,0.0,A3,A3,1.0
correct,5.09,5.08,0.01,A3,A3,1.0
correct,5.41,5.37,0.04,F#/Gb4,C#/Db4,0.1
correct,5.98,5.98,0.0,F#/Gb4,F#/Gb4,1.0
correct,6.59,6.59,0.0,C#/Db4,C#/Db4,1.0
correct,6.91,6.88,0.03,D4,C#/Db4,0.8
correct,7.2,7.2,0.0,F#/Gb4,F#/Gb4,1.0
correct,9.31,9.31,0.0,D4,D4,1.0
correct,9.6,9.6,0.0,A3,A3,1.0
correct,9.89,9.88,0.01,A3,A3,1.0
correct,10.21,10.17,0.04,A4,D4,0.1
early,10.78,10.17,0.61,A4,D4,0.1
correct,11.39,10.78,0.61,F#/Gb4,A4,0.4
late,11.71,11.39,0.32,E/Fb4,F#/Gb4,0.6
correct,11.71,11.68,0.03,E/Fb4,F#/Gb4,0.6
correct,12.0,11.96,0.04,C#/Db4,E/Fb4,0.4
correct,14.11,14.11,0.0,C#/Db4,C#/Db4,1.0
correct,14.4,14.4,0.0,A3,A3,1.0
late,14.4,14.68,-0.28,A3,A3,1.0
correct,14.69,14.97,-0.28,A3,C#/Db4,0.2
late,15.01,15.58,-0.57,F#/Gb4,F#/Gb4,1.0
correct,15.58,15.58,0.0,F#/Gb4,F#/Gb4,1.0
correct,16.19,16.19,0.0,C#/Db4,C#/Db4,1.0
correct,16.51,16.48,0.03,D4,D4,1.0
correct,18.91,18.88,0.03,F#/Gb4,F#/Gb4,1.0
correct,20.09,20.03,0.06,F#/Gb4,F#/Gb4,1.0
correct,21.31,21.28,0.03,G4,G4,1.0
correct,21.6,21.56,0.04,A4,G4,0.6
correct,21.89,21.88,0.01,A4,A4,1.0
correct,22.21,22.17,0.04,F#/Gb4,G4,0.8
correct,22.49,22.46,0.03,F#/Gb4,F#/Gb4,1.0
correct,23.71,23.68,0.03,C#/Db4,C#/Db4,1.0
correct,24.0,23.96,0.04,F#/Gb3,C#/Db4,0.1
late,24.0,24.25,-0.25,F#/Gb3,F#/Gb3,1.0
late,24.29,24.86,-0.57,F#/Gb3,F3,0.8
correct,24.89,24.86,0.03,E/Fb3,F3,0.8
correct,26.11,26.08,0.03,F#/Gb4,F#/Gb4,1.0
correct,26.4,26.36,0.04,G4,F#/Gb4,0.8
correct,26.69,26.65,0.04,G4,G4,1.0
correct,27.01,26.97,0.04,E/Fb4,F#/Gb4,0.6
correct,27.29,27.26,0.03,E/Fb4,E/Fb4,1.0
correct,28.51,28.44,0.07,F#/Gb4,D4,0.2
early,29.09,28.44,0.65,B/Cb3,D4,0.4
correct,29.69,29.08,0.61,B/Cb3,B/Cb3,1.0
correct,29.69,29.66,0.03,B/Cb3,B/Cb3,1.0
correct,30.91,30.88,0.03,G4,G4,1.0
correct,31.2,31.16,0.04,F#/Gb4,G4,0.8
correct,31.49,31.45,0.04,F#/Gb4,F#/Gb4,1.0
correct,31.81,31.74,0.07,A4,G4,0.6
correct,32.09,32.06,0.03,A4,A4,1.0
correct,33.31,33.28,0.03,A4,A4,1.0
correct,33.89,33.88,0.01,G4,G4,1.0
correct,34.21,34.14,0.07,F#/Gb4,G4,0.8
correct,34.49,34.46,0.03,F#/Gb4,F#/Gb4,1.0
correct,35.71,35.68,0.03,F#/Gb4,F#/Gb4,1.0
correct,36.0,35.96,0.04,G4,F#/Gb4,0.8
correct,36.29,36.25,0.04,G4,G4,1.0
correct,36.61,36.54,0.07,E/Fb4,F#/Gb4,0.6
correct,36.89,36.86,0.03,E/Fb4,E/Fb4,1.0
correct,38.11,38.08,0.03,B/Cb4,B/Cb4,1.0
correct,38.69,38.65,0.04,B/Cb4,B/Cb4,1.0
correct,39.29,39.23,0.06,B/Cb4,B/Cb4,1.0
correct,39.58,39.45,0.13,B/Cb4,B/Cb4,1.0
correct,39.9,39.84,0.06,G#/Ab4,G#/Ab4,1.0
