onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A3,D4,0.1
correct,0.29,0.32,-0.03,A3,D4,0.1
early,0.61,0.32,0.29,A4,D4,0.1
early,1.18,0.6,0.58,A4,D4,0.1
correct,1.18,1.21,-0.03,A4,A4,1.0
correct,1.79,1.82,-0.03,F#/Gb4,F#/Gb4,1.0
correct,2.11,2.11,0.0,E/Fb4,E/Fb4,1.0
correct,2.4,2.43,-0.03,C#/Db4,C#/Db4,1.0
early,4.51,2.43,2.08,C#/Db4,C#/Db4,1.0
late,4.8,4.51,0.29,A3,C#/Db4,0.2
correct,4.8,4.8,0.0,A3,C#/Db4,0.2
correct,5.09,5.12,-0.03,A3,C#/Db4,0.2
correct,5.41,5.4,0.01,F#/Gb4,C#/Db4,0.1
correct,5.98,6.01,-0.03,F#/Gb4,F#/Gb4,1.0
early,6.59,6.01,0.58,C#/Db4,F#/Gb4,0.1
late,6.91,6.62,0.29,D4,C#/Db4,0.8
correct,6.91,6.91,0.0,D4,C#/Db4,0.8
correct,7.2,7.23,-0.03,F#/Gb4,F#/Gb4,1.0
correct,9.31,9.31,0.0,D4,D4,1.0
correct,9.6,9.63,-0.03,A3,A3,1.0
correct,9.89,9.92,-0.03,A3,D4,0.1
correct,10.21,10.2,0.01,A4,D4,0.1
correct,10.78,10.81,-0.03,A4,A4,1.0
correct,11.39,11.42,-0.03,F#/Gb4,F#/Gb4,1.0
correct,11.71,11.71,0.0,E/Fb4,E/Fb4,1.0
correct,12.0,12.0,0.0,C#/Db4,E/Fb4,0.4
correct,14.11,14.11,0.0,C#/Db4,C#/Db4,1.0
correct,14.4,14.4,0.0,A3,C#/Db4,0.2
correct,14.69,14.72,-0.03,A3,C#/Db4,0.2
early,15.01,14.72,0.29,F#/Gb4,C#/Db4,0.1
early,15.58,14.72,0.86,F#/Gb4,C#/Db4,0.1
early,16.19,15.0,1.19,C#/Db4,C#/Db4,1.0
late,16.19,15.61,0.58,C#/Db4,F#/Gb4,0.1
correct,16.19,16.22,-0.03,C#/Db4,C#/Db4,1.0
correct,16.51,16.51,0.0,D4,D4,1.0
correct,18.91,18.91,0.0,F#/Gb4,F#/Gb4,1.0
correct,20.09,20.09,0.0,F#/Gb4,F#/Gb4,1.0
correct,21.31,21.31,0.0,G4,G4,1.0
correct,21.6,21.6,0.0,A4,G4,0.6
correct,21.89,21.92,-0.03,A4,G4,0.6
early,22.21,21.92,0.29,F#/Gb4,G4,0.8
correct,22.49,22.2,0.29,F#/Gb4,G4,0.8
correct,22.49,22.52,-0.03,F#/Gb4,F#/Gb4,1.0
correct,23.71,23.71,0.0,C#/Db4,C#/Db4,1.0
correct,24.0,24.0,0.0,F#/Gb3,C#/Db4,0.1
correct,24.29,24.32,-0.03,F#/Gb3,E/Fb3,0.6
early,24.89,24.32,0.57,E/Fb3,E/Fb3,1.0
early,26.11,24.92,1.19,F#/Gb4,E/Fb3,0.6
correct,26.11,26.11,0.0,F#/Gb4,F#/Gb4,1.0
correct,26.4,26.4,0.0,G4,F#/Gb4,0.8
correct,26.69,26.72,-0.03,G4,F#/Gb4,0.8
correct,27.01,27.0,0.01,E/Fb4,F#/Gb4,0.6
correct,27.29,27.32,-0.03,E/Fb4,E/Fb4,1.0
correct,28.51,28.48,0.03,F#/Gb4,D4,0.2
correct,29.09,29.12,-0.03,B/Cb3,B/Cb3,1.0
correct,29.69,29.69,0.0,B/Cb3,B/Cb3,1.0
early,30.91,29.69,1.22,G4,B/Cb3,0.2
late,31.2,30.91,0.29,F#/Gb4,G4,0.8
correct,31.49,31.2,0.29,F#/Gb4,G4,0.8
correct,31.49,31.52,-0.03,F#/Gb4,G4,0.8
correct,31.81,31.8,0.01,A4,G4,0.6
correct,32.09,32.09,0.0,A4,A4,1.0
correct,33.31,33.31,0.0,A4,A4,1.0
correct,33.89,33.92,-0.03,G4,G4,1.0
correct,34.21,34.2,0.01,F#/Gb4,G4,0.8
correct,34.49,34.49,0.0,F#/Gb4,F#/Gb4,1.0
correct,35.71,35.71,0.0,F#/Gb4,F#/Gb4,1.0
correct,36.0,36.0,0.0,G4,F#/Gb4,0.8
correct,36.29,36.32,-0.03,G4,F#/Gb4,0.8
correct,36.61,36.6,0.01,E/Fb4,F#/Gb4,0.6
correct,36.89,36.89,0.0,E/Fb4,E/Fb4,1.0
correct,38.11,38.11,0.0,B/Cb4,B/Cb4,1.0
correct,38.69,38.68,0.01,B/Cb4,B/Cb4,1.0
correct,39.29,39.29,0.0,B/Cb4,B/Cb4,1.0
correct,39.58,39.58,0.0,B/Cb4,B/Cb4,1.0
correct,39.9,39.9,0.0,G#/Ab4,E/Fb5,0.2
