onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,A3,A3,1.0
correct,0.29,0.29,0.0,A3,A3,1.0
correct,0.61,0.61,0.0,A4,A4,1.0
correct,1.18,1.18,0.0,A4,A4,1.0
late,1.79,2.11,-0.32,F#/Gb4,E/Fb4,0.6
correct,2.11,2.4,-0.29,E/Fb4,C#/Db4,0.4
late,2.4,4.51,-2.11,C#/Db4,C#/Db4,1.0
early,4.51,4.8,-0.29,C#/Db4,A3,0.2
correct,4.8,5.09,-0.29,A3,A3,1.0
correct,5.09,5.41,-0.32,A3,F#/Gb4,0.4
late,5.41,5.98,-0.57,F#/Gb4,F#/Gb4,1.0
correct,5.98,6.59,-0.61,F#/Gb4,C#/Db4,0.1
early,6.59,6.91,-0.32,C#/Db4,D4,0.8
correct,6.91,7.2,-0.29,D4,F#/Gb4,0.2
late,7.2,9.31,-2.11,F#/Gb4,D4,0.2
early,9.31,9.6,-0.29,D4,A3,0.1
correct,9.6,9.89,-0.29,A3,A3,1.0
correct,9.89,10.21,-0.32,A3,A4,1.0
late,10.21,10.78,-0.57,A4,A4,1.0
correct,10.78,11.39,-0.61,A4,F#/Gb4,0.4
early,11.39,11.71,-0.32,F#/Gb4,E/Fb4,0.6
correct,11.71,12.0,-0.29,E/Fb4,C#/Db4,0.4
late,12.0,14.11,-2.11,C#/Db4,C#/Db4,1.0
early,14.11,14.4,-0.29,C#/Db4,A3,0.2
correct,14.4,14.69,-0.29,A3,A3,1.0
correct,14.69,14.69,0.0,A3,A3,1.0
early,15.01,14.69,0.32,F#/Gb4,A3,0.4
early,15.58,14.69,0.89,F#/Gb4,A3,0.4
early,16.19,14.69,1.5,C#/Db4,A3,0.2
correct,16.51,15.01,1.5,D4,F#/Gb4,0.2
early,18.91,15.01,3.9,F#/Gb4,F#/Gb4,1.0
early,20.09,15.01,5.08,F#/Gb4,F#/Gb4,1.0
early,21.31,15.01,6.3,G4,F#/Gb4,0.8
early,21.6,15.01,6.59,A4,F#/Gb4,0.4
late,21.89,15.58,6.31,A4,F#/Gb4,0.4
late,22.21,16.19,6.02,F#/Gb4,C#/Db4,0.1
late,22.21,16.51,5.7,F#/Gb4,D4,0.2
late,22.49,18.91,3.58,F#/Gb4,F#/Gb4,1.0
correct,23.71,20.09,3.62,C#/Db4,F#/Gb4,0.1
late,23.71,21.31,2.4,C#/Db4,G4,0.0
late,23.71,21.6,2.11,C#/Db4,A4,0.2
late,23.71,21.89,1.82,C#/Db4,A4,0.2
late,23.71,22.21,1.5,C#/Db4,F#/Gb4,0.1
late,23.71,22.49,1.22,C#/Db4,F#/Gb4,0.1
correct,23.71,23.71,0.0,C#/Db4,C#/Db4,1.0
late,23.71,24.0,-0.29,C#/Db4,F#/Gb3,0.1
correct,24.0,24.29,-0.29,F#/Gb3,F#/Gb3,1.0
late,24.29,24.89,-0.6,F#/Gb3,E/Fb3,0.6
late,24.89,26.11,-1.22,E/Fb3,F#/Gb4,0.6
early,26.11,26.4,-0.29,F#/Gb4,G4,0.8
correct,26.4,26.69,-0.29,G4,G4,1.0
correct,26.69,27.01,-0.32,G4,E/Fb4,0.4
correct,27.01,27.29,-0.28,E/Fb4,E/Fb4,1.0
late,27.29,28.51,-1.22,E/Fb4,F#/Gb4,0.6
early,28.51,29.09,-0.58,F#/Gb4,B/Cb3,0.1
correct,29.09,29.69,-0.6,B/Cb3,B/Cb3,1.0
late,29.69,30.91,-1.22,B/Cb3,G4,0.2
early,30.91,31.2,-0.29,G4,F#/Gb4,0.8
correct,31.2,31.49,-0.29,F#/Gb4,F#/Gb4,1.0
correct,31.49,31.81,-0.32,F#/Gb4,A4,0.4
correct,31.81,32.09,-0.28,A4,A4,1.0
late,32.09,33.31,-1.22,A4,A4,1.0
early,33.31,33.89,-0.58,A4,G4,0.6
early,33.89,34.21,-0.32,G4,F#/Gb4,0.8
correct,34.21,34.49,-0.28,F#/Gb4,F#/Gb4,1.0
late,34.49,35.71,-1.22,F#/Gb4,F#/Gb4,1.0
early,35.71,36.0,-0.29,F#/Gb4,G4,0.8
correct,36.0,36.29,-0.29,G4,G4,1.0
correct,36.29,36.61,-0.32,G4,E/Fb4,0.4
correct,36.61,36.89,-0.28,E/Fb4,E/Fb4,1.0
late,36.89,38.11,-1.22,E/Fb4,B/Cb4,0.1
early,38.11,38.69,-0.58,B/Cb4,B/Cb4,1.0
correct,38.69,39.29,-0.6,B/Cb4,B/Cb4,1.0
early,39.29,39.61,-0.32,B/Cb4,B/Cb4,1.0
correct,39.58,39.9,-0.32,B/Cb4,G#/Ab4,0.4
missing,39.9,,,G#/Ab4,,
