mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,68,68,68,0,0,0,0,67,100.00,99.00,1.00
tempo,faster_tempo,76,76,61,4,11,0,0,36,100.00,117.00,17.00
tempo,a_lot_faster_tempo,74,74,64,7,3,0,0,45,100.00,75.00,25.00
tempo,slower_tempo,73,73,63,3,7,0,0,32,100.00,82.00,18.00
tempo,a_lot_slower_tempo,68,68,68,0,0,0,0,43,100.00,99.00,1.00
progressive_tempo,accelerando,83,72,17,34,21,11,0,11,100.00,104.00,4.00
progressive_tempo,ritardando,71,91,14,18,39,0,20,10,100.00,110.00,10.00
progressive_tempo,tempo_fluctuation,87,97,16,36,35,0,10,21,100.00,99.00,1.00
timing,note_too_soon,76,75,32,23,20,1,0,31,100.00,99.00,1.00
timing,note_too_late,71,71,62,4,5,0,0,63,100.00,99.00,1.00
duration,note_held_too_long,68,68,68,0,0,0,0,67,100.00,99.00,1.00
duration,note_cut_too_soon,69,69,67,0,2,0,0,67,100.00,99.00,1.00
note,note_missing,69,68,31,18,19,1,0,26,100.00,99.00,1.00
note,note_not_expected,68,69,49,10,9,0,1,47,100.00,99.00,1.00
articulation,articulated_legato,68,66,55,5,6,2,0,55,100.00,99.00,1.00
articulation,articulated_staccato,68,68,68,0,0,0,0,68,100.00,99.00,1.00
articulation,articulated_accentuated,68,68,68,0,0,0,0,68,100.00,99.00,1.00
