onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,D5,D5,1.0
correct,0.2,0.16,0.04,D5,D5,1.0
late,0.2,0.39,-0.19,D5,D5,1.0
late,0.39,1.06,-0.67,D5,D5,1.0
correct,0.61,1.28,-0.67,D5,D5,1.0
late,0.61,1.7,-1.09,D5,A#/Bb4,0.2
late,0.61,1.92,-1.31,D5,A#/Bb4,0.2
late,1.25,2.76,-1.51,D5,A#/Bb4,0.2
correct,1.44,2.92,-1.48,D5,A#/Bb4,0.2
correct,1.89,3.27,-1.38,C5,D5,0.6
late,2.08,3.75,-1.67,A#/Bb4,D5,0.2
early,2.95,3.97,-1.02,A#/Bb4,C5,0.6
early,3.14,3.97,-0.83,D5,C5,0.6
early,3.56,3.97,-0.41,D5,C5,0.6
correct,4.0,3.97,0.03,D5,C5,0.6
correct,4.2,4.2,0.0,A#/Bb4,A#/Bb4,1.0
late,4.42,6.56,-2.14,C5,F5,0.1
correct,6.72,6.72,0.0,A4,A#/Bb4,0.8
correct,6.95,6.95,0.0,D#/Eb5,D#/Eb5,1.0
correct,7.17,7.17,0.0,D#/Eb5,D#/Eb5,1.0
late,7.36,7.62,-0.26,D#/Eb5,D#/Eb5,1.0
correct,7.78,7.81,-0.03,F5,F5,1.0
correct,8.0,8.07,-0.07,F5,D5,0.4
late,8.42,8.68,-0.26,C5,C5,1.0
late,8.84,9.54,-0.7,A#/Bb4,A#/Bb4,1.0
correct,9.7,9.7,0.0,A#/Bb4,A#/Bb4,1.0
late,9.89,10.15,-0.26,A#/Bb4,D5,0.2
correct,10.34,10.34,0.0,D5,D5,1.0
late,10.53,10.76,-0.23,D5,C5,0.6
correct,10.95,10.98,-0.03,A#/Bb4,A#/Bb4,1.0
missing,11.17,,,A#/Bb4,,
