onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb4,E/Fb4,1.0
correct,0.1,0.13,-0.03,E/Fb4,E/Fb4,1.0
correct,0.2,0.13,0.07,E/Fb4,E/Fb4,1.0
correct,0.39,0.26,0.13,E/Fb4,E/Fb4,1.0
correct,0.39,0.36,0.03,E/Fb4,E/Fb3,1.0
correct,0.39,0.48,-0.09,E/Fb4,E/Fb3,1.0
correct,0.48,0.61,-0.13,E/Fb4,E/Fb4,1.0
correct,0.48,0.74,-0.26,E/Fb4,E/Fb4,1.0
correct,0.48,0.87,-0.39,E/Fb4,C4,0.2
correct,0.48,0.96,-0.48,E/Fb4,C4,0.2
correct,0.58,1.09,-0.51,E/Fb4,F4,0.8
correct,0.68,1.22,-0.54,C4,E/Fb4,0.2
correct,0.77,1.32,-0.55,E/Fb4,E/Fb3,1.0
correct,0.87,1.44,-0.57,E/Fb4,E/Fb3,1.0
correct,0.96,1.57,-0.61,E/Fb4,E/Fb4,1.0
correct,1.03,1.57,-0.54,E/Fb3,E/Fb4,1.0
correct,1.12,1.7,-0.58,E/Fb3,E/Fb4,1.0
correct,1.25,1.8,-0.55,E/Fb4,B/Cb3,0.1
correct,1.32,1.92,-0.6,E/Fb4,B/Cb3,0.1
correct,1.32,2.05,-0.73,E/Fb4,D4,0.6
correct,1.51,2.18,-0.67,D4,D4,1.0
correct,1.6,2.28,-0.68,D4,E/Fb3,0.6
correct,1.7,2.4,-0.7,D4,F3,0.4
correct,1.89,2.53,-0.64,D4,D#/Eb4,0.8
correct,1.89,2.63,-0.74,D4,D4,1.0
correct,1.99,2.76,-0.77,D4,D4,1.0
correct,2.08,2.88,-0.8,D#/Eb4,C4,0.4
correct,2.15,2.98,-0.83,D4,C4,0.6
correct,2.24,3.11,-0.87,X0,C4,0.0
correct,2.24,3.24,-1.0,X0,E/Fb3,0.0
correct,2.37,3.33,-0.96,B/Cb3,E/Fb3,0.1
correct,2.47,3.46,-0.99,C4,C4,1.0
correct,2.47,3.59,-1.12,C4,C4,1.0
correct,2.53,3.68,-1.15,C4,C4,1.0
correct,2.63,3.81,-1.18,C4,A3,0.4
correct,2.72,3.94,-1.22,C4,C4,1.0
correct,2.72,4.04,-1.32,C4,C4,1.0
early,3.01,4.16,-1.15,A3,C4,0.4
correct,3.11,4.26,-1.15,C4,C4,1.0
correct,3.2,4.39,-1.19,B/Cb3,C4,0.8
correct,3.3,4.52,-1.22,E/Fb3,C4,0.2
correct,3.4,4.61,-1.21,C4,C4,1.0
correct,3.49,4.74,-1.25,B/Cb3,D4,0.4
correct,3.49,4.87,-1.38,B/Cb3,D4,0.4
correct,3.59,4.96,-1.37,C4,D4,0.6
correct,3.68,5.09,-1.41,B/Cb3,D4,0.4
correct,3.75,5.19,-1.44,D4,D4,1.0
correct,3.75,5.32,-1.57,D4,D4,1.0
correct,3.88,5.44,-1.56,D4,D4,1.0
correct,3.97,5.54,-1.57,D4,D#/Eb4,0.8
correct,4.13,5.67,-1.54,E/Fb3,E/Fb4,1.0
correct,4.32,5.8,-1.48,D4,E/Fb4,0.6
correct,4.32,5.89,-1.57,D4,D#/Eb4,0.8
correct,4.52,6.02,-1.5,E/Fb4,E/Fb3,1.0
correct,4.61,6.12,-1.51,E/Fb4,E/Fb4,1.0
correct,4.71,6.24,-1.53,E/Fb4,E/Fb4,1.0
correct,4.77,6.34,-1.57,E/Fb4,E/Fb4,1.0
correct,4.87,6.34,-1.47,E/Fb4,E/Fb4,1.0
correct,5.0,6.47,-1.47,E/Fb4,C4,0.2
correct,5.0,6.56,-1.56,E/Fb4,C4,0.2
correct,5.0,6.69,-1.69,E/Fb4,E/Fb4,1.0
correct,5.09,6.82,-1.73,E/Fb4,E/Fb4,1.0
correct,5.16,6.92,-1.76,C4,E/Fb3,0.2
correct,5.25,7.01,-1.76,C4,E/Fb3,0.2
correct,5.35,7.14,-1.79,E/Fb4,E/Fb4,1.0
correct,5.35,7.27,-1.92,E/Fb4,E/Fb4,1.0
correct,5.44,7.36,-1.92,E/Fb4,E/Fb4,1.0
correct,5.64,7.49,-1.85,E/Fb4,C4,0.2
