onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb4,E/Fb4,1.0
correct,0.1,0.2,-0.1,E/Fb4,E/Fb4,1.0
correct,0.2,0.36,-0.16,E/Fb4,E/Fb4,1.0
correct,0.39,0.45,-0.06,E/Fb4,E/Fb4,1.0
correct,0.48,0.55,-0.07,E/Fb4,E/Fb4,1.0
correct,0.58,0.55,0.03,E/Fb4,E/Fb4,1.0
correct,0.68,0.55,0.13,C4,E/Fb4,0.2
correct,0.77,0.55,0.22,E/Fb4,E/Fb4,1.0
correct,0.87,0.61,0.26,E/Fb4,E/Fb4,1.0
correct,0.87,0.71,0.16,E/Fb4,E/Fb4,1.0
correct,0.96,0.8,0.16,E/Fb4,E/Fb4,1.0
correct,1.03,0.9,0.13,E/Fb3,E/Fb4,1.0
correct,1.03,0.96,0.07,E/Fb3,E/Fb4,1.0
correct,1.12,1.06,0.06,E/Fb3,E/Fb4,1.0
correct,1.25,1.16,0.09,E/Fb4,E/Fb4,1.0
correct,1.32,1.25,0.07,E/Fb4,E/Fb4,1.0
correct,1.51,1.44,0.07,D4,B/Cb3,0.4
correct,1.6,1.54,0.06,D4,D4,1.0
correct,1.7,1.64,0.06,D4,D4,1.0
early,1.89,1.64,0.25,D4,D4,1.0
correct,1.99,1.73,0.26,D4,E/Fb3,0.6
correct,1.99,1.8,0.19,D4,D4,1.0
correct,2.08,1.99,0.09,D#/Eb4,D4,0.8
correct,2.15,2.05,0.1,D4,D4,1.0
correct,2.24,2.15,0.09,X0,C4,0.0
correct,2.37,2.34,0.03,B/Cb3,C4,0.8
correct,2.47,2.53,-0.06,C4,C4,1.0
correct,2.53,2.63,-0.1,C4,C4,1.0
correct,2.63,2.72,-0.09,C4,C4,1.0
correct,2.72,2.88,-0.16,C4,A3,0.4
correct,3.01,2.98,0.03,A3,C4,0.4
correct,3.11,3.08,0.03,C4,C4,1.0
correct,3.2,3.24,-0.04,B/Cb3,C4,0.8
correct,3.3,3.33,-0.03,E/Fb3,C4,0.2
correct,3.4,3.43,-0.03,C4,C4,1.0
correct,3.49,3.59,-0.1,B/Cb3,D4,0.4
correct,3.59,3.68,-0.09,C4,D4,0.6
correct,3.68,3.68,0.0,B/Cb3,D4,0.4
correct,3.75,3.78,-0.03,D4,D4,1.0
correct,3.88,3.94,-0.06,D4,D4,1.0
correct,3.97,4.04,-0.07,D4,D4,1.0
correct,4.13,4.26,-0.13,E/Fb3,E/Fb4,1.0
correct,4.32,4.39,-0.07,D4,E/Fb4,0.6
correct,4.52,4.61,-0.09,E/Fb4,F3,0.8
correct,4.61,4.71,-0.1,E/Fb4,E/Fb4,1.0
correct,4.71,4.8,-0.09,E/Fb4,E/Fb4,1.0
correct,4.77,4.9,-0.13,E/Fb4,C4,0.2
correct,4.87,5.0,-0.13,E/Fb4,E/Fb4,1.0
correct,5.0,5.09,-0.09,E/Fb4,E/Fb4,1.0
correct,5.09,5.16,-0.07,E/Fb4,E/Fb4,1.0
correct,5.16,5.32,-0.16,C4,E/Fb4,0.2
correct,5.25,5.41,-0.16,C4,E/Fb4,0.2
correct,5.35,5.51,-0.16,E/Fb4,E/Fb4,1.0
