onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb4,E/Fb4,1.0
correct,0.1,0.07,0.03,E/Fb4,E/Fb4,1.0
correct,0.2,0.2,0.0,E/Fb4,E/Fb4,1.0
correct,0.39,0.26,0.13,E/Fb4,E/Fb3,1.0
correct,0.48,0.36,0.12,E/Fb4,E/Fb4,1.0
correct,0.58,0.45,0.13,E/Fb4,E/Fb4,1.0
correct,0.68,0.55,0.13,C4,E/Fb4,0.2
correct,0.77,0.74,0.03,E/Fb4,E/Fb4,1.0
correct,0.87,0.93,-0.06,E/Fb4,E/Fb4,1.0
correct,0.96,1.12,-0.16,E/Fb4,E/Fb3,1.0
correct,1.03,1.22,-0.19,E/Fb3,E/Fb4,1.0
correct,1.12,1.32,-0.2,E/Fb3,E/Fb4,1.0
correct,1.25,1.41,-0.16,E/Fb4,B/Cb3,0.1
correct,1.32,1.51,-0.19,E/Fb4,D4,0.6
correct,1.32,1.6,-0.28,E/Fb4,D4,0.6
correct,1.51,1.7,-0.19,D4,D4,1.0
correct,1.6,1.7,-0.1,D4,D4,1.0
correct,1.7,1.76,-0.06,D4,D4,1.0
correct,1.89,1.86,0.03,D4,D4,1.0
correct,1.99,2.05,-0.06,D4,D4,1.0
correct,2.08,2.24,-0.16,D#/Eb4,C4,0.4
correct,2.15,2.44,-0.29,D4,C4,0.6
correct,2.24,2.53,-0.29,X0,E/Fb3,0.0
correct,2.37,2.63,-0.26,B/Cb3,C4,0.8
correct,2.47,2.72,-0.25,C4,C4,1.0
correct,2.53,2.82,-0.29,C4,C4,1.0
correct,2.63,2.88,-0.25,C4,C4,1.0
correct,2.63,3.01,-0.38,C4,C4,1.0
correct,2.72,3.08,-0.36,C4,C4,1.0
correct,3.01,3.08,-0.07,A3,C4,0.4
correct,3.11,3.17,-0.06,C4,C4,1.0
correct,3.2,3.27,-0.07,B/Cb3,E/Fb3,0.1
late,3.3,3.56,-0.26,E/Fb3,C4,0.2
correct,3.4,3.75,-0.35,C4,D4,0.6
correct,3.49,3.84,-0.35,B/Cb3,D4,0.4
correct,3.59,3.94,-0.35,C4,D4,0.6
correct,3.68,4.1,-0.42,B/Cb3,D4,0.4
correct,3.75,4.23,-0.48,D4,D4,1.0
correct,3.88,4.32,-0.44,D4,D4,1.0
correct,3.97,4.48,-0.51,D4,E/Fb4,0.6
correct,4.13,4.58,-0.45,E/Fb3,E/Fb4,1.0
correct,4.32,4.87,-0.55,D4,E/Fb4,0.6
early,4.52,4.87,-0.35,E/Fb4,E/Fb4,1.0
correct,4.61,5.06,-0.45,E/Fb4,E/Fb4,1.0
correct,4.61,5.16,-0.55,E/Fb4,C4,0.2
correct,4.71,5.25,-0.54,E/Fb4,E/Fb4,1.0
correct,4.77,5.35,-0.58,E/Fb4,E/Fb4,1.0
correct,4.87,5.44,-0.57,E/Fb4,E/Fb4,1.0
correct,5.0,5.51,-0.51,E/Fb4,E/Fb3,1.0
correct,5.09,5.6,-0.51,E/Fb4,E/Fb3,1.0
correct,5.16,5.73,-0.57,C4,E/Fb4,0.2
correct,5.25,5.8,-0.55,C4,E/Fb4,0.2
correct,5.35,5.8,-0.45,E/Fb4,E/Fb4,1.0
correct,5.44,5.89,-0.45,E/Fb4,E/Fb4,1.0
late,5.44,6.08,-0.64,E/Fb4,E/Fb4,1.0
correct,5.64,6.37,-0.73,E/Fb4,E/Fb3,1.0
correct,5.73,6.47,-0.74,E/Fb4,E/Fb4,1.0
correct,5.83,6.56,-0.73,E/Fb4,F4,0.8
correct,5.92,6.72,-0.8,C4,X0,0.0
correct,6.02,6.85,-0.83,E/Fb4,E/Fb4,1.0
correct,6.12,6.95,-0.83,E/Fb4,E/Fb4,1.0
correct,6.21,7.11,-0.9,E/Fb4,E/Fb4,1.0
correct,6.28,7.2,-0.92,E/Fb3,E/Fb4,1.0
late,6.37,7.49,-1.12,E/Fb3,C4,0.2
correct,6.5,7.59,-1.09,E/Fb4,E/Fb4,1.0
late,6.5,7.88,-1.38,E/Fb4,E/Fb4,1.0
correct,6.6,8.07,-1.47,E/Fb4,E/Fb4,1.0
early,6.76,8.07,-1.31,E/Fb4,E/Fb4,1.0
correct,6.95,8.16,-1.21,E/Fb4,D4,0.6
correct,7.14,8.23,-1.09,E/Fb4,F4,0.8
correct,7.24,8.36,-1.12,E/Fb4,F4,0.8
correct,7.33,8.42,-1.09,E/Fb4,F4,0.8
correct,7.43,8.52,-1.09,C4,G3,0.1
correct,7.52,8.61,-1.09,E/Fb4,G3,0.4
correct,7.62,8.71,-1.09,E/Fb4,F4,0.8
correct,7.72,8.8,-1.08,E/Fb4,F4,0.8
correct,7.78,9.0,-1.22,E/Fb3,G4,0.4
correct,7.88,9.09,-1.21,E/Fb4,G4,0.4
correct,7.97,9.19,-1.22,E/Fb4,G4,0.4
correct,8.07,9.28,-1.21,E/Fb4,G3,0.4
correct,8.26,9.38,-1.12,F4,G4,0.6
correct,8.36,9.48,-1.12,F4,G4,0.6
correct,8.45,9.57,-1.12,F4,G4,0.6
correct,8.55,9.67,-1.12,G3,E/Fb4,0.4
correct,8.64,9.73,-1.09,F4,E/Fb4,0.8
correct,8.74,9.83,-1.09,F4,G4,0.6
correct,8.84,9.92,-1.08,F4,G4,0.6
correct,8.9,10.12,-1.22,F4,G4,0.6
correct,9.0,10.21,-1.21,G4,G4,1.0
correct,9.12,10.4,-1.28,G4,G4,1.0
correct,9.22,10.5,-1.28,G4,F4,0.6
correct,9.38,10.6,-1.22,G4,F4,0.6
correct,9.57,10.69,-1.12,G4,F4,0.6
correct,9.67,10.79,-1.12,E/Fb4,G3,0.4
correct,9.76,10.85,-1.09,E/Fb4,G3,0.4
correct,9.76,10.98,-1.22,E/Fb4,F4,0.8
correct,9.86,11.04,-1.18,G4,F4,0.6
correct,9.96,11.24,-1.28,G4,E/Fb4,0.4
correct,10.05,11.24,-1.19,G3,E/Fb4,0.4
correct,10.12,11.43,-1.31,G4,E/Fb4,0.4
correct,10.24,11.62,-1.38,G4,E/Fb4,0.4
correct,10.34,11.81,-1.47,G4,E/Fb4,0.4
correct,10.34,11.91,-1.57,G4,C4,0.1
correct,10.4,12.0,-1.6,G4,C4,0.1
correct,10.5,12.1,-1.6,F4,E/Fb4,0.8
correct,10.63,12.1,-1.47,F4,E/Fb4,0.8
correct,10.69,12.2,-1.51,F4,E/Fb4,0.8
correct,10.88,12.26,-1.38,G3,G3,1.0
correct,10.98,12.36,-1.38,F4,E/Fb4,0.8
correct,11.08,12.45,-1.37,F4,E/Fb4,0.8
correct,11.27,12.55,-1.28,E/Fb4,E/Fb4,1.0
correct,11.36,12.64,-1.28,E/Fb4,E/Fb4,1.0
correct,11.46,12.74,-1.28,E/Fb4,F4,0.8
correct,11.52,12.84,-1.32,E/Fb4,F4,0.8
correct,11.62,12.93,-1.31,E/Fb4,F4,0.8
correct,11.75,13.12,-1.37,E/Fb4,G3,0.4
correct,11.84,13.22,-1.38,E/Fb4,F4,0.8
correct,11.91,13.32,-1.41,C4,F4,0.1
correct,12.0,13.48,-1.48,C4,G4,0.1
correct,12.1,13.6,-1.5,E/Fb4,G4,0.4
correct,12.2,13.7,-1.5,E/Fb4,G4,0.4
correct,12.39,13.76,-1.37,E/Fb4,G4,0.4
correct,12.48,13.86,-1.38,E/Fb4,G4,0.4
correct,12.58,14.05,-1.47,E/Fb4,G4,0.4
correct,12.68,14.15,-1.47,D4,E/Fb4,0.6
correct,12.77,14.24,-1.47,F4,E/Fb4,0.8
correct,12.87,14.44,-1.57,F4,G4,0.6
correct,12.96,14.63,-1.67,F4,G4,0.6
correct,13.03,14.72,-1.69,G3,G4,1.0
correct,13.12,14.82,-1.7,G3,G4,1.0
correct,13.25,14.92,-1.67,F4,E/Fb4,0.8
correct,13.32,14.98,-1.66,F4,G4,0.6
correct,13.51,15.08,-1.57,G4,G4,1.0
correct,13.7,15.17,-1.47,G4,G4,1.0
correct,13.89,15.27,-1.38,G4,G3,1.0
correct,13.99,15.36,-1.37,G4,G3,1.0
correct,14.08,15.46,-1.38,G4,G4,1.0
correct,14.18,15.56,-1.38,E/Fb4,G4,0.4
correct,14.28,15.75,-1.47,G4,G4,1.0
correct,14.37,15.84,-1.47,G4,G4,1.0
correct,14.47,15.94,-1.47,G4,G4,1.0
correct,14.53,16.13,-1.6,G4,G4,1.0
correct,14.63,16.23,-1.6,G4,G4,1.0
correct,14.72,16.32,-1.6,G4,G4,1.0
early,15.01,16.32,-1.31,E/Fb4,G4,0.4
correct,15.11,16.39,-1.28,G4,E/Fb4,0.4
correct,15.2,16.48,-1.28,G4,E/Fb4,0.4
correct,15.3,16.58,-1.28,G3,G4,1.0
correct,15.36,16.68,-1.32,G3,G4,1.0
late,15.36,16.87,-1.51,G3,G4,1.0
correct,15.49,17.06,-1.57,G4,G4,1.0
correct,15.59,17.06,-1.47,G4,G4,1.0
correct,15.65,17.25,-1.6,G4,E/Fb4,0.4
correct,15.75,17.44,-1.69,G4,G4,1.0
correct,15.75,17.54,-1.79,G4,G3,1.0
correct,15.88,17.6,-1.72,G4,G3,1.0
correct,15.97,17.73,-1.76,G4,G4,1.0
correct,16.13,17.8,-1.67,G3,G4,1.0
correct,16.13,17.89,-1.76,G3,G4,1.0
correct,16.32,17.99,-1.67,G4,C5,0.1
correct,16.42,17.99,-1.57,E/Fb4,C5,0.2
correct,16.52,18.08,-1.56,G4,C5,0.1
correct,16.61,18.18,-1.57,G4,C5,0.1
correct,16.71,18.37,-1.66,G4,C4,0.1
correct,16.77,18.47,-1.7,G4,C5,0.1
correct,16.87,18.56,-1.69,G4,C#/Db5,0.0
correct,17.0,18.76,-1.76,G4,C5,0.1
correct,17.09,18.85,-1.76,G4,C5,0.1
correct,17.16,18.95,-1.79,E/Fb4,C5,0.2
correct,17.25,18.95,-1.7,E/Fb4,C5,0.2
correct,17.35,19.01,-1.66,G4,C5,0.1
correct,17.44,19.11,-1.67,G4,C5,0.1
correct,17.44,19.2,-1.76,G4,C5,0.1
correct,17.64,19.3,-1.66,G4,C5,0.1
correct,17.73,19.4,-1.67,G4,G4,1.0
correct,17.83,19.49,-1.66,G4,G4,1.0
correct,17.99,19.59,-1.6,C5,B/Cb4,0.8
late,18.12,19.88,-1.76,C5,B/Cb4,0.8
correct,18.21,20.07,-1.86,C5,B/Cb4,0.8
correct,18.28,20.23,-1.95,C4,A4,0.4
correct,18.37,20.36,-1.99,C4,A4,0.4
correct,18.5,20.45,-1.95,C5,A4,0.4
correct,18.6,20.52,-1.92,C5,C4,1.0
correct,18.66,20.52,-1.86,A4,C4,0.4
correct,18.76,20.61,-1.85,C5,C4,1.0
correct,18.95,20.71,-1.76,C5,A4,0.4
correct,19.14,20.8,-1.66,C5,A4,0.4
correct,19.24,20.9,-1.66,C5,F4,0.1
late,19.24,21.19,-1.95,C5,A4,0.4
correct,19.33,21.28,-1.95,C5,A4,0.4
correct,19.43,21.38,-1.95,G4,A4,0.6
correct,19.52,21.48,-1.96,B/Cb4,A4,0.6
correct,19.62,21.57,-1.95,B/Cb4,A4,0.6
correct,19.72,21.73,-2.01,B/Cb4,X0,0.0
correct,19.78,21.86,-2.08,C4,B/Cb4,0.8
correct,19.88,21.96,-2.08,B/Cb4,B/Cb4,1.0
correct,19.97,22.02,-2.05,B/Cb4,F4,0.0
