onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb4,E/Fb4,1.0
correct,0.1,0.1,0.0,E/Fb4,E/Fb4,1.0
correct,0.2,0.2,0.0,E/Fb4,E/Fb4,1.0
correct,0.39,0.39,0.0,E/Fb4,E/Fb4,1.0
correct,0.48,0.48,0.0,E/Fb4,E/Fb4,1.0
correct,0.58,0.58,0.0,E/Fb4,E/Fb4,1.0
correct,0.68,0.68,0.0,C4,C4,1.0
correct,0.77,0.77,0.0,E/Fb4,E/Fb4,1.0
correct,0.87,0.87,0.0,E/Fb4,E/Fb4,1.0
correct,0.96,0.96,0.0,E/Fb4,E/Fb4,1.0
correct,1.03,1.03,0.0,E/Fb3,E/Fb3,1.0
correct,1.12,1.12,0.0,E/Fb3,E/Fb3,1.0
correct,1.25,1.25,0.0,E/Fb4,E/Fb4,1.0
correct,1.32,1.32,0.0,E/Fb4,E/Fb4,1.0
correct,1.51,1.51,0.0,D4,D4,1.0
correct,1.6,1.6,0.0,D4,D4,1.0
correct,1.7,1.7,0.0,D4,D4,1.0
correct,1.89,1.89,0.0,D4,D4,1.0
correct,1.99,1.99,0.0,D4,D4,1.0
correct,2.08,2.08,0.0,D#/Eb4,D4,0.8
correct,2.15,2.15,0.0,D4,D4,1.0
correct,2.24,2.24,0.0,X0,X0,0.0
correct,2.37,2.37,0.0,B/Cb3,C4,0.8
correct,2.47,2.47,0.0,C4,C4,1.0
correct,2.53,2.53,0.0,C4,C4,1.0
correct,2.63,2.63,0.0,C4,C4,1.0
correct,2.72,2.72,0.0,C4,C4,1.0
correct,3.01,3.01,0.0,A3,A3,1.0
correct,3.11,3.11,0.0,C4,C4,1.0
correct,3.2,3.2,0.0,B/Cb3,C4,0.8
correct,3.3,3.3,0.0,E/Fb3,E/Fb3,1.0
correct,3.4,3.4,0.0,C4,C4,1.0
correct,3.49,3.49,0.0,B/Cb3,C4,0.8
correct,3.59,3.59,0.0,C4,C4,1.0
correct,3.68,3.68,0.0,B/Cb3,B/Cb3,1.0
correct,3.75,3.75,0.0,D4,D4,1.0
correct,3.88,3.88,0.0,D4,D4,1.0
correct,3.97,3.97,0.0,D4,D4,1.0
correct,4.13,4.13,0.0,E/Fb3,E/Fb3,1.0
correct,4.32,4.32,0.0,D4,D4,1.0
correct,4.52,4.52,0.0,E/Fb4,E/Fb4,1.0
correct,4.61,4.61,0.0,E/Fb4,E/Fb4,1.0
correct,4.71,4.71,0.0,E/Fb4,E/Fb4,1.0
correct,4.77,4.77,0.0,E/Fb4,E/Fb4,1.0
correct,4.87,4.87,0.0,E/Fb4,E/Fb4,1.0
correct,5.0,5.0,0.0,E/Fb4,E/Fb4,1.0
correct,5.09,5.09,0.0,E/Fb4,E/Fb4,1.0
correct,5.16,5.16,0.0,C4,C4,1.0
correct,5.25,5.25,0.0,C4,C4,1.0
correct,5.35,5.35,0.0,E/Fb4,E/Fb4,1.0
correct,5.44,5.44,0.0,E/Fb4,E/Fb4,1.0
correct,5.64,5.64,0.0,E/Fb4,E/Fb4,1.0
correct,5.73,5.73,0.0,E/Fb4,E/Fb4,1.0
correct,5.83,5.83,0.0,E/Fb4,E/Fb4,1.0
correct,5.92,5.92,0.0,C4,C4,1.0
correct,6.02,6.02,0.0,E/Fb4,E/Fb4,1.0
correct,6.12,6.12,0.0,E/Fb4,E/Fb4,1.0
correct,6.21,6.21,0.0,E/Fb4,E/Fb4,1.0
correct,6.28,6.28,0.0,E/Fb3,E/Fb3,1.0
correct,6.37,6.37,0.0,E/Fb3,E/Fb3,1.0
correct,6.5,6.5,0.0,E/Fb4,E/Fb4,1.0
correct,6.6,6.6,0.0,E/Fb4,E/Fb4,1.0
correct,6.76,6.76,0.0,E/Fb4,E/Fb4,1.0
correct,6.95,6.95,0.0,E/Fb4,E/Fb4,1.0
correct,7.14,7.14,0.0,E/Fb4,E/Fb4,1.0
correct,7.24,7.24,0.0,E/Fb4,E/Fb4,1.0
correct,7.33,7.33,0.0,E/Fb4,E/Fb4,1.0
correct,7.43,7.43,0.0,C4,C4,1.0
correct,7.52,7.52,0.0,E/Fb4,E/Fb4,1.0
correct,7.62,7.62,0.0,E/Fb4,E/Fb4,1.0
correct,7.72,7.72,0.0,E/Fb4,E/Fb4,1.0
correct,7.78,7.78,0.0,E/Fb3,E/Fb3,1.0
correct,7.88,7.88,0.0,E/Fb4,E/Fb4,1.0
correct,7.97,7.97,0.0,E/Fb4,E/Fb4,1.0
correct,8.07,8.07,0.0,E/Fb4,E/Fb4,1.0
correct,8.26,8.26,0.0,F4,F4,1.0
correct,8.36,8.36,0.0,F4,F4,1.0
correct,8.45,8.45,0.0,F4,F4,1.0
correct,8.55,8.55,0.0,G3,G3,1.0
correct,8.64,8.64,0.0,F4,F4,1.0
correct,8.74,8.74,0.0,F4,F4,1.0
correct,8.84,8.84,0.0,F4,F4,1.0
correct,8.9,8.9,0.0,F4,F4,1.0
correct,9.0,9.0,0.0,G4,G4,1.0
correct,9.12,9.12,0.0,G4,G4,1.0
correct,9.22,9.22,0.0,G4,G4,1.0
correct,9.38,9.38,0.0,G4,G4,1.0
correct,9.57,9.57,0.0,G4,G4,1.0
correct,9.67,9.67,0.0,E/Fb4,E/Fb4,1.0
correct,9.76,9.76,0.0,E/Fb4,E/Fb4,1.0
correct,9.86,9.86,0.0,G4,G4,1.0
