onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,D4,D4,1.0
correct,0.26,0.29,-0.03,D4,D4,1.0
correct,0.52,0.57,-0.05,F4,E/Fb4,0.8
early,1.03,0.57,0.46,D4,E/Fb4,0.6
correct,1.38,1.05,0.33,D4,F4,0.4
correct,1.38,1.44,-0.06,D4,D4,1.0
correct,1.54,1.63,-0.09,G4,G4,1.0
correct,2.53,2.56,-0.03,G4,G4,1.0
correct,3.01,3.04,-0.03,E/Fb4,E/Fb4,1.0
correct,3.78,3.81,-0.03,E/Fb4,C4,0.2
correct,4.0,4.03,-0.03,E/Fb4,E/Fb4,1.0
correct,4.26,4.32,-0.06,E/Fb4,F4,0.8
correct,4.52,4.54,-0.02,D4,E/Fb4,0.6
correct,5.76,5.85,-0.09,D4,D4,1.0
correct,6.02,6.01,0.01,E/Fb4,D4,0.6
late,6.02,6.56,-0.54,E/Fb4,E/Fb4,1.0
correct,6.53,7.07,-0.54,E/Fb4,F4,0.8
correct,7.01,7.07,-0.06,F4,F4,1.0
early,7.78,7.07,0.71,A#/Bb3,F4,0.1
correct,8.52,7.87,0.65,A#/Bb3,A#/Bb3,1.0
late,8.77,8.57,0.2,A#/Bb3,A#/Bb3,1.0
correct,8.77,8.77,0.0,A#/Bb3,A#/Bb3,1.0
correct,9.03,9.12,-0.09,A#/Bb3,B/Cb3,0.8
correct,9.28,9.37,-0.09,A#/Bb3,A#/Bb3,1.0
correct,9.51,9.53,-0.02,A#/Bb3,A#/Bb3,1.0
correct,10.02,10.05,-0.03,B/Cb3,B/Cb3,1.0
correct,10.53,10.56,-0.03,A#/Bb3,A#/Bb3,1.0
correct,10.76,10.78,-0.02,A#/Bb3,A#/Bb3,1.0
correct,11.27,11.26,0.01,B/Cb3,A#/Bb3,0.8
correct,11.78,11.81,-0.03,A3,A#/Bb3,0.8
correct,12.52,12.57,-0.05,A3,A3,1.0
correct,13.03,13.05,-0.02,G3,A3,0.6
correct,13.51,13.6,-0.09,A3,A3,1.0
correct,15.78,15.87,-0.09,A3,A3,1.0
correct,16.0,16.03,-0.03,A3,A3,1.0
correct,16.26,16.38,-0.12,A3,G#/Ab3,0.8
correct,16.52,16.54,-0.02,A3,A3,1.0
correct,17.25,17.37,-0.12,X0,A3,0.0
correct,17.51,17.53,-0.02,A3,A3,1.0
correct,17.76,17.79,-0.03,A3,A3,1.0
correct,18.02,18.05,-0.03,A3,A3,1.0
correct,18.76,18.88,-0.12,A3,A3,1.0
correct,19.27,19.33,-0.06,C4,A3,0.4
correct,19.78,19.77,0.01,D4,C4,0.6
correct,20.52,20.57,-0.05,D4,D4,1.0
correct,22.02,22.11,-0.09,D4,D4,1.0
correct,22.53,22.59,-0.06,D4,D4,1.0
correct,23.01,23.07,-0.06,A3,A3,1.0
correct,23.27,23.39,-0.12,C4,C4,1.0
correct,24.0,24.13,-0.13,C4,D4,0.6
correct,24.52,24.57,-0.05,D4,D4,1.0
correct,25.03,25.05,-0.02,D4,D4,1.0
correct,25.25,25.31,-0.06,D4,D4,1.0
correct,26.76,26.88,-0.12,A3,A3,1.0
correct,27.27,27.33,-0.06,C4,A3,0.4
correct,27.78,27.77,0.01,D4,C4,0.6
correct,28.52,28.61,-0.09,D4,D4,1.0
correct,29.76,29.82,-0.06,D4,D4,1.0
correct,30.02,30.05,-0.03,G4,D4,0.1
correct,30.28,30.33,-0.05,A4,G4,0.6
correct,30.53,30.56,-0.03,A4,A4,1.0
correct,31.01,31.07,-0.06,E/Fb4,E/Fb4,1.0
correct,31.27,31.29,-0.02,C4,A3,0.4
correct,31.78,31.81,-0.03,D4,C4,0.6
correct,32.52,32.61,-0.09,D4,D4,1.0
correct,35.78,35.87,-0.09,D4,D4,1.0
correct,35.91,36.03,-0.12,D4,D4,1.0
correct,36.04,36.16,-0.12,D4,D4,1.0
correct,36.16,36.25,-0.09,D4,D4,1.0
correct,36.77,36.83,-0.06,D4,E/Fb4,0.6
correct,36.9,37.02,-0.12,E/Fb4,E/Fb4,1.0
correct,37.03,37.15,-0.12,E/Fb4,E/Fb4,1.0
correct,37.16,37.28,-0.12,E/Fb4,E/Fb4,1.0
correct,37.76,37.82,-0.06,E/Fb4,E/Fb4,1.0
correct,37.89,38.01,-0.12,E/Fb4,E/Fb4,1.0
correct,38.02,38.14,-0.12,E/Fb4,E/Fb4,1.0
correct,38.15,38.27,-0.12,E/Fb4,E/Fb4,1.0
correct,38.76,38.85,-0.09,D4,E/Fb4,0.6
