onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,D4,D4,1.0
correct,0.26,0.26,0.0,D4,D4,1.0
correct,0.52,0.52,0.0,F4,F4,1.0
correct,1.03,1.03,0.0,D4,D4,1.0
correct,1.38,1.48,-0.1,D4,F4,0.4
late,1.54,2.53,-0.99,G4,G4,1.0
early,2.53,3.01,-0.48,G4,E/Fb4,0.4
late,3.01,3.78,-0.77,E/Fb4,E/Fb4,1.0
early,3.78,4.0,-0.22,E/Fb4,E/Fb4,1.0
correct,4.0,4.26,-0.26,E/Fb4,E/Fb4,1.0
correct,4.26,4.52,-0.26,E/Fb4,D4,0.6
late,4.52,5.76,-1.24,D4,D4,1.0
early,5.76,6.02,-0.26,D4,E/Fb4,0.6
late,6.02,6.53,-0.51,E/Fb4,E/Fb4,1.0
correct,6.53,7.01,-0.48,E/Fb4,F4,0.8
late,7.01,7.78,-0.77,F4,A#/Bb3,0.1
correct,7.78,8.52,-0.74,A#/Bb3,A#/Bb3,1.0
early,8.52,8.77,-0.25,A#/Bb3,A#/Bb3,1.0
correct,8.77,9.03,-0.26,A#/Bb3,A#/Bb3,1.0
correct,9.03,9.28,-0.25,A#/Bb3,A#/Bb3,1.0
correct,9.28,9.51,-0.23,A#/Bb3,A#/Bb3,1.0
late,9.51,10.02,-0.51,A#/Bb3,B/Cb3,0.8
correct,10.02,10.53,-0.51,B/Cb3,A#/Bb3,0.8
early,10.53,10.76,-0.23,A#/Bb3,A#/Bb3,1.0
late,10.76,11.27,-0.51,A#/Bb3,B/Cb3,0.8
late,10.76,11.78,-1.02,A#/Bb3,A3,0.8
late,11.27,12.52,-1.25,B/Cb3,A3,0.6
correct,11.78,13.03,-1.25,A3,G3,0.6
early,12.52,13.03,-0.51,A3,G3,0.6
correct,13.03,13.51,-0.48,G3,A3,0.6
late,13.51,15.78,-2.27,A3,A3,1.0
early,15.78,16.04,-0.26,A3,A3,1.0
correct,16.0,16.26,-0.26,A3,A3,1.0
correct,16.26,16.52,-0.26,A3,A3,1.0
late,16.52,17.28,-0.76,A3,A3,1.0
early,17.25,17.51,-0.26,X0,A3,0.0
correct,17.51,17.76,-0.25,A3,A3,1.0
correct,17.76,18.02,-0.26,A3,A3,1.0
late,18.02,18.76,-0.74,A3,A3,1.0
early,18.76,19.27,-0.51,A3,C4,0.4
correct,19.27,19.78,-0.51,C4,D4,0.6
late,19.78,20.52,-0.74,D4,D4,1.0
late,20.52,22.02,-1.5,D4,D4,1.0
early,22.02,22.53,-0.51,D4,D4,1.0
correct,22.53,23.01,-0.48,D4,A3,0.1
early,23.01,23.27,-0.26,A3,C4,0.4
late,23.27,24.04,-0.77,C4,D4,0.6
early,24.0,24.52,-0.52,C4,D4,0.6
correct,24.52,25.03,-0.51,D4,D4,1.0
early,25.03,25.28,-0.25,D4,D4,1.0
late,25.25,26.76,-1.51,D4,A3,0.1
early,26.76,27.27,-0.51,A3,C4,0.4
correct,27.27,27.78,-0.51,C4,D4,0.6
late,27.78,28.52,-0.74,D4,D4,1.0
late,28.52,29.76,-1.24,D4,D4,1.0
early,29.76,30.02,-0.26,D4,G4,0.1
correct,30.02,30.28,-0.26,G4,A4,0.6
correct,30.28,30.53,-0.25,A4,A4,1.0
late,30.53,31.01,-0.48,A4,E/Fb4,0.1
early,31.01,31.27,-0.26,E/Fb4,C4,0.2
late,31.27,31.78,-0.51,C4,D4,0.6
late,31.78,32.52,-0.74,D4,D4,1.0
late,32.52,35.78,-3.26,D4,D4,1.0
correct,35.78,35.91,-0.13,D4,D4,1.0
correct,35.91,36.04,-0.13,D4,D4,1.0
correct,36.04,36.16,-0.12,D4,D4,1.0
late,36.16,36.77,-0.61,D4,D4,1.0
correct,36.77,36.9,-0.13,D4,E/Fb4,0.6
correct,36.9,37.03,-0.13,E/Fb4,E/Fb4,1.0
correct,37.03,37.16,-0.13,E/Fb4,E/Fb4,1.0
late,37.16,37.76,-0.6,E/Fb4,E/Fb4,1.0
early,37.76,37.92,-0.16,E/Fb4,E/Fb4,1.0
correct,37.89,38.05,-0.16,E/Fb4,E/Fb4,1.0
correct,38.02,38.15,-0.13,E/Fb4,E/Fb4,1.0
late,38.15,38.79,-0.64,E/Fb4,D4,0.6
missing,38.76,,,D4,,
