onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,D4,D4,1.0
correct,0.26,0.16,0.1,D4,D4,1.0
early,0.52,0.16,0.36,F4,D4,0.4
early,1.03,0.38,0.65,D4,E/Fb4,0.6
correct,1.38,0.73,0.65,D4,F4,0.4
correct,1.54,1.02,0.52,G4,D4,0.1
early,2.53,1.02,1.51,G4,D4,0.1
early,3.01,1.15,1.86,E/Fb4,G4,0.4
correct,3.78,1.85,1.93,E/Fb4,G4,0.4
correct,4.0,2.11,1.89,E/Fb4,E/Fb4,1.0
early,4.26,2.11,2.15,E/Fb4,E/Fb4,1.0
late,4.52,2.65,1.87,D4,C4,0.6
early,5.76,2.94,2.82,D4,E/Fb4,0.6
correct,6.02,3.17,2.85,E/Fb4,E/Fb4,1.0
early,6.53,3.29,3.24,E/Fb4,E/Fb4,1.0
early,7.01,3.29,3.72,F4,E/Fb4,0.8
early,7.78,3.29,4.49,A#/Bb3,E/Fb4,0.0
late,8.52,4.29,4.23,A#/Bb3,D4,0.2
correct,8.77,4.45,4.32,A#/Bb3,D4,0.2
correct,9.03,4.8,4.23,A#/Bb3,E/Fb4,0.0
late,9.28,5.25,4.03,A#/Bb3,F4,0.1
early,9.51,5.25,4.26,A#/Bb3,F4,0.1
early,10.02,5.25,4.77,B/Cb3,F4,0.0
early,10.53,5.25,5.28,A#/Bb3,F4,0.1
late,10.76,5.89,4.87,A#/Bb3,A#/Bb3,1.0
late,10.76,6.49,4.27,A#/Bb3,B/Cb3,0.8
early,11.27,6.65,4.62,B/Cb3,A#/Bb3,0.8
early,11.78,6.91,4.87,A3,A#/Bb3,0.8
early,12.52,7.04,5.48,A3,A#/Bb3,0.8
early,13.03,7.23,5.8,G3,A#/Bb3,0.4
correct,13.51,7.71,5.8,A3,A#/Bb3,0.8
early,15.78,8.03,7.75,A3,A#/Bb3,0.8
correct,16.0,8.29,7.71,A3,A#/Bb3,0.8
late,16.26,8.77,7.49,A3,A#/Bb3,0.8
early,16.52,8.77,7.75,A3,A#/Bb3,0.8
early,17.25,8.77,8.48,X0,A#/Bb3,0.0
early,17.51,8.77,8.74,A3,A#/Bb3,0.8
early,17.76,8.77,8.99,A3,A#/Bb3,0.8
early,18.02,8.77,9.25,A3,A#/Bb3,0.8
early,18.76,9.18,9.58,A3,A#/Bb3,0.8
late,19.27,9.85,9.42,C4,A3,0.4
correct,19.78,10.27,9.51,D4,G3,0.1
early,20.52,10.72,9.8,D4,A3,0.1
late,22.02,12.73,9.29,D4,A3,0.1
early,22.53,12.86,9.67,D4,A3,0.1
early,23.01,13.18,9.83,A3,A3,1.0
correct,23.27,13.41,9.86,C4,A3,0.4
correct,24.0,14.11,9.89,C4,A3,0.4
early,24.52,14.11,10.41,D4,A3,0.1
early,25.03,14.11,10.92,D4,A3,0.1
correct,25.25,14.37,10.88,D4,A3,0.1
early,26.76,14.59,12.17,A3,A3,1.0
early,27.27,14.81,12.46,C4,A3,0.4
late,27.78,15.55,12.23,D4,A3,0.1
early,28.52,16.0,12.52,D4,C4,0.6
early,29.76,16.51,13.25,D4,D4,1.0
late,30.02,17.25,12.77,G4,D4,0.1
early,30.28,17.25,13.03,A4,D4,0.1
early,30.53,17.25,13.28,A4,D4,0.1
early,31.01,17.25,13.76,E/Fb4,D4,0.6
late,31.27,18.75,12.52,C4,D4,0.6
correct,31.78,19.23,12.55,D4,D4,1.0
early,32.52,19.81,12.71,D4,A3,0.1
early,35.78,20.06,15.72,D4,C4,0.6
late,35.91,20.83,15.08,D4,D4,1.0
late,36.04,21.37,14.67,D4,D4,1.0
correct,36.16,21.37,14.79,D4,D4,1.0
correct,36.77,21.85,14.92,D4,D4,1.0
late,36.9,22.14,14.76,E/Fb4,D4,0.6
correct,37.03,22.14,14.89,E/Fb4,D4,0.6
late,37.16,23.81,13.35,E/Fb4,A3,0.1
correct,37.76,24.38,13.38,E/Fb4,C4,0.2
late,37.89,24.93,12.96,E/Fb4,D4,0.6
correct,38.02,24.93,13.09,E/Fb4,D4,0.6
late,38.15,25.79,12.36,E/Fb4,D4,0.6
late,38.76,27.26,11.5,D4,D4,1.0
extra,,27.55,,,G4,
extra,,27.81,,,G4,
extra,,28.06,,,A4,
extra,,28.73,,,A#/Bb3,
extra,,29.02,,,A3,
extra,,29.66,,,D4,
extra,,30.59,,,D4,
extra,,34.75,,,D4,
extra,,34.91,,,D#/Eb4,
extra,,35.07,,,D4,
extra,,35.23,,,D#/Eb4,
extra,,36.06,,,D4,
extra,,36.25,,,E/Fb4,
extra,,36.41,,,E/Fb4,
extra,,36.61,,,E/Fb4,
extra,,37.44,,,D4,
extra,,37.66,,,E/Fb4,
extra,,37.79,,,E/Fb4,
extra,,37.98,,,E/Fb4,
extra,,38.88,,,D4,
