onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,D4,D4,1.0
correct,0.26,0.19,0.07,D4,D4,1.0
correct,0.52,0.38,0.14,F4,E/Fb4,0.8
correct,1.03,0.89,0.14,D4,F4,0.4
correct,1.38,1.28,0.1,D4,D4,1.0
correct,1.54,1.5,0.04,G4,G4,1.0
correct,2.53,2.43,0.1,G4,G4,1.0
correct,3.01,2.91,0.1,E/Fb4,E/Fb4,1.0
correct,3.78,3.74,0.04,E/Fb4,E/Fb4,1.0
correct,4.0,3.9,0.1,E/Fb4,E/Fb4,1.0
correct,4.26,4.12,0.14,E/Fb4,F4,0.8
correct,4.52,4.38,0.14,D4,E/Fb4,0.6
correct,5.76,5.72,0.04,D4,D4,1.0
correct,6.02,5.95,0.07,E/Fb4,D4,0.6
correct,6.53,6.49,0.04,E/Fb4,E/Fb4,1.0
correct,7.01,6.91,0.1,F4,F4,1.0
correct,7.78,7.71,0.07,A#/Bb3,A#/Bb3,1.0
correct,8.52,8.35,0.17,A#/Bb3,A#/Bb3,1.0
correct,8.77,8.73,0.04,A#/Bb3,A#/Bb3,1.0
correct,9.03,8.99,0.04,A#/Bb3,A#/Bb3,1.0
correct,9.28,9.24,0.04,A#/Bb3,B/Cb3,0.8
correct,9.51,9.5,0.01,A#/Bb3,A#/Bb3,1.0
early,10.02,9.85,0.17,B/Cb3,A#/Bb3,0.8
correct,10.53,10.4,0.13,A#/Bb3,A#/Bb3,1.0
correct,10.76,10.75,0.01,A#/Bb3,A#/Bb3,1.0
correct,11.27,11.23,0.04,B/Cb3,B/Cb3,1.0
correct,11.78,11.74,0.04,A3,A3,1.0
correct,12.52,12.41,0.11,A3,A3,1.0
correct,13.03,12.99,0.04,G3,G3,1.0
correct,13.51,13.47,0.04,A3,A3,1.0
correct,15.78,15.71,0.07,A3,A3,1.0
correct,16.0,16.0,0.0,A3,A3,1.0
correct,16.26,16.12,0.14,A3,A3,1.0
correct,16.52,16.48,0.04,A3,A3,1.0
correct,17.25,17.21,0.04,X0,F#/Gb3,0.0
correct,17.51,17.37,0.14,A3,A3,1.0
correct,17.76,17.72,0.04,A3,A3,1.0
correct,18.02,17.88,0.14,A3,A3,1.0
correct,18.76,18.72,0.04,A3,A3,1.0
correct,19.27,19.23,0.04,C4,C4,1.0
correct,19.78,19.68,0.1,D4,C4,0.6
correct,20.52,20.41,0.11,D4,D4,1.0
correct,22.02,21.98,0.04,D4,D4,1.0
correct,22.53,22.49,0.04,D4,D4,1.0
correct,23.01,22.97,0.04,A3,A3,1.0
correct,23.27,23.13,0.14,C4,A3,0.4
correct,24.0,23.96,0.04,C4,C#/Db4,0.8
correct,24.52,24.41,0.11,D4,D4,1.0
correct,25.03,24.89,0.14,D4,D4,1.0
correct,25.25,25.24,0.01,D4,D4,1.0
correct,26.76,26.72,0.04,A3,A3,1.0
correct,27.27,27.23,0.04,C4,C4,1.0
correct,27.78,27.68,0.1,D4,C4,0.6
correct,28.52,28.41,0.11,D4,D4,1.0
correct,29.76,29.66,0.1,D4,D4,1.0
correct,30.02,29.95,0.07,G4,D4,0.1
correct,30.28,30.14,0.14,A4,G4,0.6
correct,30.53,30.49,0.04,A4,A4,1.0
correct,31.01,30.97,0.04,E/Fb4,E/Fb4,1.0
correct,31.27,31.13,0.14,C4,A3,0.4
early,31.78,31.13,0.65,D4,A3,0.1
early,32.52,31.64,0.88,D4,C4,0.6
correct,32.52,32.38,0.14,D4,D4,1.0
correct,35.78,35.71,0.07,D4,D4,1.0
correct,35.91,35.87,0.04,D4,D4,1.0
correct,36.04,36.0,0.04,D4,E/Fb4,0.6
correct,36.16,36.09,0.07,D4,E/Fb4,0.6
correct,36.77,36.73,0.04,D4,D4,1.0
correct,36.9,36.86,0.04,E/Fb4,E/Fb4,1.0
correct,37.03,36.99,0.04,E/Fb4,E/Fb4,1.0
correct,37.16,37.12,0.04,E/Fb4,E/Fb4,1.0
correct,37.76,37.66,0.1,E/Fb4,E/Fb4,1.0
correct,37.89,37.85,0.04,E/Fb4,E/Fb4,1.0
correct,38.02,37.98,0.04,E/Fb4,E/Fb4,1.0
correct,38.15,38.11,0.04,E/Fb4,E/Fb4,1.0
correct,38.76,38.65,0.11,D4,E/Fb4,0.6
