onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,D4,D4,1.0
correct,0.26,0.25,0.01,D4,D4,1.0
early,0.52,0.25,0.27,F4,D4,0.4
early,1.03,0.25,0.78,D4,D4,1.0
late,1.38,0.8,0.58,D4,F4,0.4
late,1.38,1.12,0.26,D4,F4,0.4
correct,1.38,1.31,0.07,D4,D4,1.0
late,1.54,2.33,-0.79,G4,G4,1.0
early,2.53,2.33,0.2,G4,G4,1.0
correct,3.01,2.75,0.26,E/Fb4,G4,0.4
late,3.01,3.55,-0.54,E/Fb4,C4,0.2
correct,3.78,3.74,0.04,E/Fb4,C4,0.2
correct,4.0,4.03,-0.03,E/Fb4,C4,0.2
late,4.0,4.32,-0.32,E/Fb4,E/Fb4,1.0
late,4.26,5.08,-0.82,E/Fb4,B/Cb3,0.1
late,4.26,5.31,-1.05,E/Fb4,D4,0.6
late,4.52,5.85,-1.33,D4,D4,1.0
early,5.76,6.24,-0.48,D4,E/Fb4,0.6
late,5.76,6.49,-0.73,D4,F4,0.4
late,5.76,7.29,-1.53,D4,F#/Gb3,0.2
late,5.76,7.48,-1.72,D4,A#/Bb3,0.2
correct,6.02,7.8,-1.78,E/Fb4,A#/Bb3,0.0
early,6.53,8.06,-1.53,E/Fb4,A#/Bb3,0.0
early,7.01,8.06,-1.05,F4,A#/Bb3,0.1
early,7.78,8.06,-0.28,A#/Bb3,A#/Bb3,1.0
early,8.52,8.32,0.2,A#/Bb3,A#/Bb3,1.0
late,8.52,8.83,-0.31,A#/Bb3,A#/Bb3,1.0
late,8.77,9.34,-0.57,A#/Bb3,A#/Bb3,1.0
correct,9.03,9.5,-0.47,A#/Bb3,A#/Bb3,1.0
late,9.03,10.14,-1.11,A#/Bb3,A#/Bb3,1.0
late,9.03,10.65,-1.62,A#/Bb3,A#/Bb3,1.0
late,9.28,11.36,-2.08,A#/Bb3,A3,0.8
late,9.51,11.87,-2.36,A#/Bb3,A3,0.8
early,10.02,11.87,-1.85,B/Cb3,A3,0.6
early,10.53,11.87,-1.34,A#/Bb3,A3,0.8
correct,10.76,12.0,-1.24,A#/Bb3,A3,0.8
late,10.76,13.6,-2.84,A#/Bb3,A3,0.8
early,11.27,13.82,-2.55,B/Cb3,A3,0.6
late,11.27,14.14,-2.87,B/Cb3,A3,0.6
late,11.27,14.4,-3.13,B/Cb3,G#/Ab3,0.4
late,11.27,14.65,-3.38,B/Cb3,A3,0.6
late,11.27,14.88,-3.61,B/Cb3,G#/Ab3,0.4
late,11.27,15.13,-3.86,B/Cb3,A3,0.6
late,11.27,15.29,-4.02,B/Cb3,A3,0.6
late,11.27,15.61,-4.34,B/Cb3,A3,0.6
late,11.27,16.12,-4.85,B/Cb3,A3,0.6
correct,11.78,16.64,-4.86,A3,C4,0.4
correct,12.52,17.4,-4.88,A3,D4,0.1
late,13.03,18.62,-5.59,G3,D4,0.1
correct,13.51,19.04,-5.53,A3,D4,0.1
early,15.78,19.61,-3.83,A3,D4,0.1
correct,16.0,19.8,-3.8,A3,A3,1.0
early,16.26,19.8,-3.54,A3,A3,1.0
early,16.52,19.8,-3.28,A3,A3,1.0
early,17.25,19.8,-2.55,X0,A3,0.0
early,17.51,19.8,-2.29,A3,A3,1.0
early,17.76,19.8,-2.04,A3,A3,1.0
early,18.02,19.8,-1.78,A3,A3,1.0
early,18.76,19.8,-1.04,A3,A3,1.0
correct,19.27,20.41,-1.14,C4,C4,1.0
correct,19.78,20.83,-1.05,D4,C4,0.6
early,20.52,20.83,-0.31,D4,C4,0.6
early,22.02,21.37,0.65,D4,D4,1.0
early,22.53,21.6,0.93,D4,D4,1.0
late,23.01,22.68,0.33,A3,C#/Db4,0.2
late,23.01,23.16,-0.15,A3,D4,0.1
late,23.27,23.74,-0.47,C4,C4,1.0
correct,24.0,24.44,-0.44,C4,D4,0.6
late,24.52,25.72,-1.2,D4,C#/Db4,0.8
early,25.03,25.95,-0.92,D4,D4,1.0
correct,25.25,26.24,-0.99,D4,D4,1.0
early,26.76,26.49,0.27,A3,D4,0.1
late,26.76,26.97,-0.21,A3,D4,0.1
late,26.76,27.23,-0.47,A3,E/Fb4,0.1
correct,27.27,27.74,-0.47,C4,C4,1.0
late,27.27,28.48,-1.21,C4,D4,0.6
late,27.78,31.36,-3.58,D4,D4,1.0
early,28.52,31.36,-2.84,D4,D4,1.0
early,29.76,31.36,-1.6,D4,D4,1.0
early,30.02,31.36,-1.34,G4,D4,0.1
early,30.28,31.36,-1.08,A4,D4,0.1
early,30.53,31.36,-0.83,A4,D4,0.1
early,31.01,31.36,-0.35,E/Fb4,D4,0.6
correct,31.27,31.36,-0.09,C4,D4,0.6
early,31.78,31.36,0.42,D4,D4,1.0
early,32.52,31.48,1.04,D4,D4,1.0
correct,35.78,34.75,1.03,D4,D4,1.0
correct,35.91,34.88,1.03,D4,D4,1.0
correct,36.04,35.0,1.04,D4,D4,1.0
late,36.16,35.64,0.52,D4,D4,1.0
early,36.77,35.8,0.97,D4,E/Fb4,0.6
correct,36.9,35.9,1.0,E/Fb4,E/Fb4,1.0
correct,37.03,36.03,1.0,E/Fb4,E/Fb4,1.0
late,37.16,36.54,0.62,E/Fb4,D4,0.6
early,37.76,36.73,1.03,E/Fb4,E/Fb4,1.0
correct,37.89,36.86,1.03,E/Fb4,E/Fb4,1.0
correct,38.02,36.99,1.03,E/Fb4,E/Fb4,1.0
late,38.02,37.56,0.46,E/Fb4,D4,0.6
late,38.15,38.68,-0.53,E/Fb4,C4,0.2
missing,38.76,,,D4,,
