onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,B/Cb4,B/Cb4,1.0
correct,0.19,0.19,0.0,B/Cb4,B/Cb4,1.0
correct,0.35,0.35,0.0,B/Cb3,B/Cb3,1.0
correct,0.54,0.54,0.0,B/Cb4,B/Cb4,1.0
correct,0.77,0.73,0.04,B/Cb4,G3,0.2
correct,0.89,0.89,0.0,B/Cb3,B/Cb3,1.0
correct,1.12,1.09,0.03,B/Cb4,B/Cb4,1.0
correct,1.25,1.25,0.0,B/Cb4,B/Cb4,1.0
correct,1.44,1.44,0.0,B/Cb3,B/Cb3,1.0
correct,1.63,1.63,0.0,B/Cb4,B/Cb4,1.0
correct,1.79,1.79,0.0,B/Cb4,B/Cb4,1.0
correct,2.01,1.98,0.03,B/Cb3,B/Cb3,1.0
correct,2.14,2.14,0.0,A4,A4,1.0
correct,2.33,2.33,0.0,A4,G3,0.6
correct,2.49,2.53,-0.04,B/Cb3,B/Cb3,1.0
correct,2.72,2.69,0.03,G4,G4,1.0
correct,2.85,2.88,-0.03,G4,G4,1.0
correct,3.07,3.04,0.03,G4,B/Cb3,0.2
correct,3.26,3.23,0.03,G4,G4,1.0
correct,3.39,3.39,0.0,G4,G4,1.0
correct,3.58,3.58,0.0,B/Cb3,B/Cb3,1.0
correct,3.74,3.77,-0.03,F#/Gb4,F#/Gb4,1.0
correct,3.93,3.93,0.0,F#/Gb4,G3,0.8
correct,4.13,4.13,0.0,B/Cb3,B/Cb3,1.0
correct,4.32,4.32,0.0,E/Fb4,E/Fb4,1.0
correct,4.48,4.45,0.03,E/Fb4,G3,0.4
correct,4.64,4.67,-0.03,B/Cb3,E/Fb4,0.1
correct,4.83,4.83,0.0,E/Fb4,E/Fb4,1.0
correct,4.99,5.02,-0.03,E/Fb4,G3,0.4
correct,5.18,5.18,0.0,B/Cb3,B/Cb3,1.0
correct,5.37,5.37,0.0,G4,G4,1.0
correct,5.53,5.53,0.0,G4,G3,1.0
correct,5.73,5.73,0.0,B/Cb3,B/Cb3,1.0
correct,5.89,5.92,-0.03,B/Cb4,B/Cb4,1.0
correct,6.08,6.08,0.0,B/Cb4,B/Cb4,1.0
correct,6.24,6.27,-0.03,B/Cb3,B/Cb3,1.0
correct,6.43,6.43,0.0,E/Fb5,E/Fb5,1.0
correct,6.62,6.62,0.0,E/Fb5,G3,0.4
correct,6.78,6.78,0.0,B/Cb3,B/Cb3,1.0
correct,7.01,6.97,0.04,E/Fb5,E/Fb5,1.0
correct,7.13,7.17,-0.04,G3,E/Fb5,0.4
correct,7.36,7.33,0.03,E/Fb5,B/Cb3,0.1
correct,7.55,7.52,0.03,E/Fb5,E/Fb5,1.0
correct,7.68,7.68,0.0,E/Fb5,G3,0.4
correct,7.87,7.87,0.0,B/Cb3,B/Cb3,1.0
correct,8.03,8.06,-0.03,E/Fb5,E/Fb5,1.0
correct,8.22,8.22,0.0,E/Fb5,G3,0.4
correct,8.38,8.38,0.0,B/Cb3,B/Cb3,1.0
correct,8.57,8.57,0.0,D5,D5,1.0
correct,8.8,8.77,0.03,D5,D5,1.0
correct,8.96,8.93,0.03,C5,A#/Bb3,0.6
correct,9.12,9.12,0.0,C5,C5,1.0
correct,9.28,9.31,-0.03,C5,C5,1.0
correct,9.5,9.47,0.03,B/Cb3,B/Cb3,1.0
correct,9.66,9.66,0.0,C5,C5,1.0
correct,9.85,9.82,0.03,C5,C5,1.0
correct,10.05,9.98,0.07,B/Cb4,E/Fb4,0.1
correct,10.21,10.21,0.0,B/Cb4,B/Cb4,1.0
correct,10.4,10.37,0.03,B/Cb4,B/Cb4,1.0
correct,10.53,10.56,-0.03,E/Fb4,E/Fb4,1.0
correct,10.72,10.72,0.0,A4,A4,1.0
correct,10.94,10.91,0.03,A4,A4,1.0
correct,11.1,11.07,0.03,E/Fb4,E/Fb4,1.0
correct,11.26,11.26,0.0,A4,A4,1.0
correct,11.42,11.45,-0.03,A4,A4,1.0
correct,11.65,11.61,0.04,B/Cb4,E/Fb4,0.1
late,11.65,11.81,-0.16,B/Cb4,B/Cb4,1.0
correct,11.81,12.0,-0.19,B/Cb4,B/Cb4,1.0
correct,11.97,12.16,-0.19,B/Cb4,E/Fb4,0.1
correct,12.19,12.16,0.03,C5,E/Fb4,0.2
correct,12.32,12.35,-0.03,C5,C5,1.0
correct,12.54,12.51,0.03,C5,C5,1.0
correct,12.67,12.7,-0.03,E/Fb4,E/Fb4,1.0
correct,12.89,12.86,0.03,B/Cb4,B/Cb4,1.0
correct,13.09,13.05,0.04,B/Cb4,D#/Eb4,0.2
correct,13.25,13.25,0.0,B/Cb4,F#/Gb4,0.1
correct,13.44,13.41,0.03,B/Cb4,B/Cb4,1.0
correct,13.57,13.6,-0.03,B/Cb4,B/Cb4,1.0
correct,13.79,13.76,0.03,B/Cb4,F#/Gb4,0.1
correct,13.95,13.95,0.0,B/Cb4,B/Cb4,1.0
correct,14.11,14.11,0.0,B/Cb4,B/Cb4,1.0
correct,14.33,14.3,0.03,F#/Gb4,B/Cb4,0.1
correct,14.46,14.49,-0.03,D5,D5,1.0
correct,14.69,14.65,0.04,D5,D#/Eb4,0.8
correct,14.81,14.81,0.0,F#/Gb4,F#/Gb4,1.0
correct,15.04,15.01,0.03,C5,C5,1.0
correct,15.23,15.2,0.03,C5,C5,1.0
correct,15.36,15.36,0.0,F#/Gb4,F#/Gb4,1.0
correct,15.58,15.55,0.03,B/Cb4,B/Cb4,1.0
correct,15.71,15.74,-0.03,B/Cb4,D#/Eb4,0.2
correct,15.93,15.9,0.03,F#/Gb4,F#/Gb4,1.0
correct,16.09,16.09,0.0,B/Cb4,B/Cb4,1.0
correct,16.25,16.25,0.0,B/Cb4,G3,0.2
correct,16.48,16.45,0.03,C5,B/Cb3,0.8
correct,16.61,16.64,-0.03,C5,C5,1.0
correct,16.8,16.8,0.0,C5,C5,1.0
correct,16.96,16.96,0.0,B/Cb3,B/Cb3,1.0
correct,17.15,17.18,-0.03,B/Cb4,B/Cb4,1.0
correct,17.31,17.34,-0.03,B/Cb4,G3,0.2
correct,17.53,17.5,0.03,B/Cb3,B/Cb3,1.0
correct,17.69,17.69,0.0,E/Fb5,E/Fb5,1.0
correct,17.85,17.89,-0.04,E/Fb5,E/Fb5,1.0
correct,18.08,18.05,0.03,B/Cb4,B/Cb3,1.0
correct,18.21,18.24,-0.03,B/Cb4,B/Cb4,1.0
correct,18.4,18.4,0.0,B/Cb4,B/Cb4,1.0
correct,18.62,18.59,0.03,B/Cb3,B/Cb3,1.0
correct,18.75,18.78,-0.03,E/Fb4,E/Fb4,1.0
correct,18.94,18.94,0.0,E/Fb4,G3,0.4
correct,19.1,19.13,-0.03,B/Cb3,B/Cb3,1.0
correct,19.29,19.29,0.0,F#/Gb4,F#/Gb4,1.0
correct,19.45,19.49,-0.04,A3,F#/Gb4,0.4
correct,19.68,19.68,0.0,F#/Gb4,F#/Gb4,1.0
correct,19.84,19.84,0.0,F#/Gb4,F#/Gb4,1.0
correct,20.0,20.03,-0.03,F#/Gb4,F#/Gb4,1.0
correct,20.22,20.19,0.03,C4,C4,1.0
correct,20.38,20.38,0.0,F#/Gb4,F#/Gb4,1.0
correct,20.54,20.54,0.0,F#/Gb4,A3,0.4
late,20.54,20.73,-0.19,F#/Gb4,C4,0.0
correct,20.73,20.93,-0.2,C4,F#/Gb4,0.0
correct,20.89,21.09,-0.2,F#/Gb4,F#/Gb4,1.0
correct,21.09,21.09,0.0,F#/Gb4,F#/Gb4,1.0
correct,21.25,21.28,-0.03,B/Cb3,B/Cb3,1.0
correct,21.47,21.44,0.03,G4,G4,1.0
correct,21.6,21.63,-0.03,G4,G4,1.0
correct,21.82,21.82,0.0,B/Cb3,B/Cb3,1.0
correct,22.01,21.98,0.03,F#/Gb4,F#/Gb4,1.0
correct,22.14,22.17,-0.03,F#/Gb4,A3,0.4
correct,22.37,22.33,0.04,E/Fb3,B/Cb3,0.1
correct,22.53,22.53,0.0,E/Fb3,E/Fb4,1.0
correct,22.75,22.72,0.03,E/Fb3,G3,0.4
correct,22.88,22.91,-0.03,B/Cb3,B/Cb3,1.0
correct,23.07,23.1,-0.03,B/Cb4,B/Cb4,1.0
correct,23.26,23.26,0.0,B/Cb4,G3,0.2
correct,23.49,23.45,0.04,B/Cb4,B/Cb3,1.0
correct,23.65,23.65,0.0,B/Cb4,B/Cb4,1.0
correct,23.81,23.84,-0.03,B/Cb4,B/Cb4,1.0
correct,24.06,24.03,0.03,B/Cb3,B/Cb3,1.0
correct,24.16,24.25,-0.09,X0,E/Fb3,0.0
correct,24.38,24.32,0.06,E/Fb3,E/Fb3,1.0
correct,24.45,24.45,0.0,B/Cb3,B/Cb3,1.0
