onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,B/Cb4,B/Cb4,1.0
correct,0.19,0.09,0.1,B/Cb4,B/Cb4,1.0
early,0.35,0.09,0.26,B/Cb3,B/Cb4,1.0
correct,0.54,0.22,0.32,B/Cb4,B/Cb3,1.0
early,0.77,0.22,0.55,B/Cb4,B/Cb3,1.0
correct,0.89,0.35,0.54,B/Cb3,B/Cb4,1.0
correct,1.12,0.48,0.64,B/Cb4,B/Cb4,1.0
correct,1.25,0.61,0.64,B/Cb4,B/Cb3,1.0
correct,1.44,0.73,0.71,B/Cb3,B/Cb4,1.0
correct,1.63,0.86,0.77,B/Cb4,B/Cb4,1.0
early,1.79,0.86,0.93,B/Cb4,B/Cb4,1.0
correct,2.01,0.99,1.02,B/Cb3,B/Cb4,1.0
correct,2.14,1.12,1.02,A4,B/Cb4,0.6
early,2.33,1.12,1.21,A4,B/Cb4,0.6
correct,2.49,1.25,1.24,B/Cb3,B/Cb4,1.0
correct,2.72,1.37,1.35,G4,B/Cb3,0.2
correct,2.85,1.37,1.48,G4,B/Cb3,0.2
early,3.07,1.37,1.7,G4,B/Cb3,0.2
correct,3.26,1.5,1.76,G4,A4,0.6
correct,3.39,1.63,1.76,G4,A4,0.6
correct,3.58,1.76,1.82,B/Cb3,B/Cb3,1.0
correct,3.74,1.89,1.85,F#/Gb4,G4,0.8
correct,3.93,2.01,1.92,F#/Gb4,G4,0.8
early,4.13,2.01,2.12,B/Cb3,G4,0.2
correct,4.32,2.14,2.18,E/Fb4,B/Cb3,0.1
correct,4.48,2.3,2.18,E/Fb4,G4,0.4
early,4.64,2.3,2.34,B/Cb3,G4,0.2
correct,4.83,2.4,2.43,E/Fb4,G4,0.4
correct,4.99,2.53,2.46,E/Fb4,B/Cb3,0.1
correct,5.18,2.65,2.53,B/Cb3,F#/Gb4,0.1
early,5.37,2.65,2.72,G4,F#/Gb4,0.8
correct,5.53,2.81,2.72,G4,F#/Gb4,0.8
correct,5.73,2.94,2.79,B/Cb3,B/Cb3,1.0
early,5.89,2.94,2.95,B/Cb4,B/Cb3,1.0
correct,6.08,3.07,3.01,B/Cb4,E/Fb4,0.1
correct,6.24,3.2,3.04,B/Cb3,E/Fb4,0.1
correct,6.43,3.33,3.1,E/Fb5,E/Fb4,1.0
correct,6.62,3.45,3.17,E/Fb5,E/Fb4,1.0
early,6.78,3.45,3.33,B/Cb3,E/Fb4,0.1
correct,7.01,3.58,3.43,E/Fb5,E/Fb4,1.0
correct,7.13,3.71,3.42,G3,G4,1.0
early,7.36,3.71,3.65,E/Fb5,G4,0.4
correct,7.55,3.84,3.71,E/Fb5,G4,0.4
correct,7.68,3.97,3.71,E/Fb5,G4,0.4
correct,7.87,4.09,3.78,B/Cb3,B/Cb3,1.0
early,8.03,4.09,3.94,E/Fb5,B/Cb3,0.1
correct,8.22,4.22,4.0,E/Fb5,B/Cb4,0.1
early,8.38,4.22,4.16,B/Cb3,B/Cb4,1.0
correct,8.57,4.38,4.19,D5,B/Cb4,0.4
correct,8.8,4.51,4.29,D5,E/Fb5,0.6
correct,8.96,4.64,4.32,C5,E/Fb5,0.2
correct,9.12,4.77,4.35,C5,E/Fb5,0.2
correct,9.28,4.89,4.39,C5,B/Cb3,0.8
correct,9.5,5.02,4.48,B/Cb3,E/Fb5,0.1
early,9.66,5.02,4.64,C5,E/Fb5,0.2
early,9.85,5.02,4.83,C5,E/Fb5,0.2
correct,10.05,5.15,4.9,B/Cb4,E/Fb5,0.1
correct,10.21,5.31,4.9,B/Cb4,E/Fb5,0.1
early,10.4,5.31,5.09,B/Cb4,E/Fb5,0.1
correct,10.53,5.44,5.09,E/Fb4,E/Fb5,1.0
correct,10.72,5.57,5.15,A4,E/Fb5,0.1
correct,10.94,5.69,5.25,A4,B/Cb3,0.6
correct,11.1,5.85,5.25,E/Fb4,E/Fb5,1.0
early,11.26,5.85,5.41,A4,E/Fb5,0.1
correct,11.42,5.95,5.47,A4,E/Fb5,0.1
correct,11.65,6.11,5.54,B/Cb4,D5,0.4
early,11.81,6.11,5.7,B/Cb4,D5,0.4
correct,11.97,6.24,5.73,B/Cb4,D5,0.4
correct,12.19,6.37,5.82,C5,D5,0.6
correct,12.32,6.37,5.95,C5,D5,0.6
correct,12.54,6.49,6.05,C5,B/Cb3,0.8
correct,12.67,6.65,6.02,E/Fb4,C5,0.2
correct,12.89,6.78,6.11,B/Cb4,C5,0.8
correct,13.09,6.91,6.18,B/Cb4,B/Cb3,1.0
early,13.25,6.91,6.34,B/Cb4,B/Cb3,1.0
correct,13.44,7.04,6.4,B/Cb4,C5,0.8
correct,13.57,7.17,6.4,B/Cb4,C5,0.8
early,13.79,7.17,6.62,B/Cb4,C5,0.8
correct,13.95,7.33,6.62,B/Cb4,B/Cb4,1.0
correct,14.11,7.45,6.66,B/Cb4,B/Cb4,1.0
early,14.33,7.45,6.88,F#/Gb4,B/Cb4,0.1
correct,14.46,7.58,6.88,D5,B/Cb4,0.4
correct,14.69,7.74,6.95,D5,E/Fb4,0.6
correct,14.81,7.74,7.07,F#/Gb4,E/Fb4,0.6
correct,15.04,7.87,7.17,C5,A4,0.4
correct,15.23,8.0,7.23,C5,A4,0.4
correct,15.36,8.16,7.2,F#/Gb4,A4,0.4
correct,15.58,8.29,7.29,B/Cb4,A4,0.6
correct,15.71,8.29,7.42,B/Cb4,A4,0.6
correct,15.93,8.41,7.52,F#/Gb4,A4,0.4
correct,16.09,8.54,7.55,B/Cb4,E/Fb4,0.1
early,16.25,8.54,7.71,B/Cb4,E/Fb4,0.1
correct,16.48,8.7,7.78,C5,B/Cb4,0.8
correct,16.61,8.83,7.78,C5,B/Cb4,0.8
correct,16.8,8.96,7.84,C5,E/Fb4,0.2
correct,16.96,9.12,7.84,B/Cb3,C5,0.8
early,17.15,9.12,8.03,B/Cb4,C5,0.8
correct,17.31,9.25,8.06,B/Cb4,C5,0.8
correct,17.53,9.41,8.12,B/Cb3,B/Cb4,1.0
early,17.69,9.41,8.28,E/Fb5,B/Cb4,0.1
correct,17.85,9.53,8.32,E/Fb5,B/Cb4,0.1
correct,18.08,9.66,8.42,B/Cb4,B/Cb4,1.0
correct,18.21,9.66,8.55,B/Cb4,B/Cb4,1.0
correct,18.4,9.82,8.58,B/Cb4,F#/Gb4,0.1
correct,18.62,9.95,8.67,B/Cb3,B/Cb4,1.0
correct,18.75,10.08,8.67,E/Fb4,B/Cb4,0.1
correct,18.94,10.24,8.7,E/Fb4,B/Cb4,0.1
early,19.1,10.24,8.86,B/Cb3,B/Cb4,1.0
correct,19.29,10.37,8.92,F#/Gb4,B/Cb4,0.1
correct,19.45,10.49,8.96,A3,B/Cb4,0.6
correct,19.68,10.65,9.03,F#/Gb4,F#/Gb4,1.0
early,19.84,10.65,9.19,F#/Gb4,F#/Gb4,1.0
correct,20.0,10.78,9.22,F#/Gb4,D5,0.2
correct,20.22,10.91,9.31,C4,D5,0.6
correct,20.38,11.07,9.31,F#/Gb4,F#/Gb4,1.0
correct,20.54,11.2,9.34,F#/Gb4,C5,0.0
early,20.73,11.2,9.53,C4,C5,1.0
correct,20.89,11.36,9.53,F#/Gb4,C5,0.0
correct,21.09,11.49,9.6,F#/Gb4,F#/Gb4,1.0
early,21.25,11.49,9.76,B/Cb3,F#/Gb4,0.1
correct,21.47,11.65,9.82,G4,B/Cb4,0.2
correct,21.6,11.77,9.83,G4,B/Cb4,0.2
early,21.82,11.77,10.05,B/Cb3,B/Cb4,1.0
correct,22.01,11.93,10.08,F#/Gb4,F#/Gb4,1.0
correct,22.14,12.06,10.08,F#/Gb4,B/Cb4,0.1
correct,22.37,12.22,10.15,E/Fb3,B/Cb4,0.1
correct,22.53,12.35,10.18,E/Fb3,B/Cb3,0.1
early,22.75,12.35,10.4,E/Fb3,B/Cb3,0.1
correct,22.88,12.51,10.37,B/Cb3,C5,0.8
correct,23.07,12.64,10.43,B/Cb4,C5,0.8
correct,23.26,12.77,10.49,B/Cb4,B/Cb3,1.0
correct,23.49,12.93,10.56,B/Cb4,B/Cb4,1.0
early,23.65,12.93,10.72,B/Cb4,B/Cb4,1.0
early,23.81,12.93,10.88,B/Cb4,B/Cb4,1.0
correct,24.06,13.05,11.01,B/Cb3,B/Cb4,1.0
correct,24.16,13.21,10.95,X0,B/Cb3,0.0
correct,24.38,13.37,11.01,E/Fb3,E/Fb5,1.0
correct,24.45,13.5,10.95,B/Cb3,E/Fb5,0.1
early,25.76,13.66,12.1,G#/Ab4,B/Cb3,0.4
early,25.92,13.66,12.26,G#/Ab4,B/Cb3,0.4
correct,26.08,13.79,12.29,G#/Ab4,B/Cb4,0.4
correct,26.3,13.95,12.35,B/Cb3,B/Cb4,1.0
correct,26.46,14.11,12.35,G#/Ab4,E/Fb4,0.2
correct,26.65,14.24,12.41,G#/Ab4,E/Fb4,0.2
correct,26.78,14.24,12.54,B/Cb3,E/Fb4,0.1
correct,27.01,14.4,12.61,G#/Ab4,E/Fb4,0.2
correct,27.17,14.53,12.64,G#/Ab4,B/Cb3,0.4
early,27.36,14.53,12.83,G#/Ab4,B/Cb3,0.4
correct,27.52,14.69,12.83,G#/Ab4,F#/Gb4,0.6
