onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb4,E/Fb4,1.0
correct,0.23,0.23,0.0,E/Fb4,E/Fb4,1.0
correct,0.45,0.45,0.0,D4,D4,1.0
late,0.64,3.14,-2.5,D4,B/Cb3,0.4
correct,3.43,3.3,0.13,A3,B/Cb3,0.6
correct,3.65,3.68,-0.03,B/Cb3,B/Cb3,1.0
late,4.1,6.43,-2.33,D4,D4,1.0
early,6.88,6.63,0.25,D4,D4,1.0
correct,7.07,7.07,0.0,D4,D4,1.0
late,7.52,8.96,-1.44,F#/Gb4,D4,0.2
correct,9.22,9.15,0.07,D4,A4,0.1
late,9.22,9.79,-0.57,D4,A4,0.1
late,9.22,10.02,-0.8,D4,F#/Gb4,0.2
late,9.22,10.63,-1.41,D4,A4,0.1
late,9.22,13.54,-4.32,D4,E/Fb4,0.6
late,9.22,13.73,-4.51,D4,E/Fb4,0.6
late,9.22,13.99,-4.77,D4,E/Fb4,0.6
late,9.22,14.18,-4.96,D4,E/Fb4,0.6
late,9.22,14.34,-5.12,D4,E/Fb4,0.6
late,9.22,17.6,-8.38,D4,G3,0.1
late,9.22,18.98,-9.76,D4,B/Cb3,0.4
late,9.22,20.32,-11.1,D4,B/Cb3,0.4
late,9.22,21.67,-12.45,D4,D4,1.0
late,9.22,21.83,-12.61,D4,D4,1.0
late,9.22,22.02,-12.8,D4,B/Cb3,0.4
late,9.22,22.69,-13.47,D4,D4,1.0
late,9.22,23.39,-14.17,D4,C#/Db4,0.8
late,9.22,23.97,-14.75,D4,E/Fb4,0.6
late,9.22,24.67,-15.45,D4,D4,1.0
late,9.22,24.87,-15.65,D4,F#/Gb4,0.2
late,9.22,25.25,-16.03,D4,F#/Gb4,0.2
late,9.22,26.98,-17.76,D4,F#/Gb4,0.2
late,9.22,28.1,-18.88,D4,F#/Gb4,0.2
late,9.22,28.32,-19.1,D4,E/Fb4,0.6
late,9.22,28.8,-19.58,D4,E/Fb4,0.6
late,9.22,32.1,-22.88,D4,D4,1.0
late,9.22,32.42,-23.2,D4,D4,1.0
late,9.22,32.71,-23.49,D4,F#/Gb4,0.2
late,9.22,32.93,-23.71,D4,D4,1.0
late,9.22,35.52,-26.3,D4,D4,1.0
late,9.22,36.39,-27.17,D4,B/Cb3,0.4
late,9.22,38.85,-29.63,D4,A4,0.1
late,9.22,39.04,-29.82,D4,A4,0.1
late,9.22,39.3,-30.08,D4,A4,0.1
late,9.22,39.49,-30.27,D4,A4,0.1
late,9.22,39.71,-30.49,D4,D4,1.0
late,9.22,42.37,-33.15,D4,E/Fb4,0.6
late,9.22,42.56,-33.34,D4,E/Fb4,0.6
correct,9.44,42.82,-33.38,D4,E/Fb4,0.6
late,10.08,43.65,-33.57,F#/Gb4,E/Fb4,0.6
late,10.31,44.07,-33.76,A4,D4,0.1
late,10.31,44.42,-34.11,A4,D4,0.1
late,10.95,45.83,-34.88,E/Fb4,B/Cb3,0.1
early,13.51,46.02,-32.51,E/Fb4,B/Cb3,0.1
early,13.73,46.02,-32.29,F#/Gb4,B/Cb3,0.1
early,13.95,46.02,-32.07,F#/Gb4,B/Cb3,0.1
early,14.15,46.02,-31.87,E/Fb4,B/Cb3,0.1
early,14.37,46.02,-31.65,B/Cb3,B/Cb3,1.0
early,17.79,46.02,-28.23,B/Cb3,B/Cb3,1.0
early,19.07,46.02,-26.95,G3,B/Cb3,0.2
early,19.3,46.02,-26.72,C#/Db4,B/Cb3,0.6
early,19.94,46.02,-26.08,C#/Db4,B/Cb3,0.6
early,20.58,46.02,-25.44,D4,B/Cb3,0.4
early,20.8,46.02,-25.22,D4,B/Cb3,0.4
early,21.22,46.02,-24.8,F#/Gb4,B/Cb3,0.1
early,22.95,46.02,-23.07,E/Fb4,B/Cb3,0.1
early,24.0,46.02,-22.02,E/Fb4,B/Cb3,0.1
early,24.23,46.02,-21.79,E/Fb4,B/Cb3,0.1
early,24.64,46.02,-21.38,E/Fb4,B/Cb3,0.1
early,30.66,46.02,-15.36,F#/Gb4,B/Cb3,0.1
early,31.07,46.02,-14.95,F#/Gb4,B/Cb3,0.1
early,31.3,46.02,-14.72,D4,B/Cb3,0.4
early,31.52,46.02,-14.5,D4,B/Cb3,0.4
early,34.08,46.02,-11.94,B/Cb3,B/Cb3,1.0
early,34.95,46.02,-11.07,A4,B/Cb3,0.6
early,37.51,46.02,-8.51,A3,B/Cb3,0.6
early,37.73,46.02,-8.29,B/Cb3,B/Cb3,1.0
early,37.95,46.02,-8.07,B/Cb3,B/Cb3,1.0
early,38.15,46.02,-7.87,F#/Gb4,B/Cb3,0.1
early,38.37,46.02,-7.65,E/Fb4,B/Cb3,0.1
early,39.65,46.02,-6.37,E/Fb4,B/Cb3,0.1
early,39.87,46.02,-6.15,A3,B/Cb3,0.6
early,40.1,46.02,-5.92,D4,B/Cb3,0.4
early,40.93,46.02,-5.09,D4,B/Cb3,0.4
early,41.38,46.02,-4.64,C#/Db4,B/Cb3,0.6
early,41.79,46.02,-4.23,C#/Db4,B/Cb3,0.6
early,43.07,46.02,-2.95,B/Cb3,B/Cb3,1.0
early,43.3,46.02,-2.72,D4,B/Cb3,0.4
early,43.52,46.02,-2.5,D4,B/Cb3,0.4
early,44.35,46.02,-1.67,B/Cb4,B/Cb3,1.0
early,44.67,46.02,-1.35,F#/Gb4,B/Cb3,0.1
correct,44.93,46.27,-1.34,A4,B/Cb3,0.6
late,45.06,47.17,-2.11,A4,B/Cb3,0.6
early,45.25,47.17,-1.92,G4,B/Cb3,0.2
early,46.95,47.17,-0.22,A4,B/Cb3,0.6
correct,47.17,47.49,-0.32,B/Cb4,B/Cb4,1.0
correct,47.36,47.49,-0.13,B/Cb4,B/Cb4,1.0
correct,47.59,47.49,0.1,E/Fb5,B/Cb4,0.1
correct,47.71,47.71,0.0,E/Fb5,F#/Gb4,0.6
late,47.71,47.87,-0.16,E/Fb5,F#/Gb4,0.6
correct,47.81,48.1,-0.29,B/Cb4,A4,0.6
late,47.81,49.92,-2.11,B/Cb4,G4,0.2
late,47.81,50.08,-2.27,B/Cb4,G4,0.2
late,47.81,50.34,-2.53,B/Cb4,G4,0.2
correct,47.91,50.56,-2.65,A4,G4,0.6
correct,47.91,50.69,-2.78,A4,D5,0.1
correct,48.03,50.82,-2.79,A4,D5,0.1
correct,48.03,50.91,-2.88,A4,G4,0.6
correct,48.03,51.01,-2.98,A4,G4,0.6
correct,48.03,51.14,-3.11,A4,B/Cb4,0.6
correct,48.03,51.23,-3.2,A4,G4,0.6
correct,48.13,51.33,-3.2,A4,F4,0.2
correct,48.13,51.46,-3.33,A4,F4,0.2
late,48.13,51.65,-3.52,A4,F#/Gb4,0.4
late,48.13,54.53,-6.4,A4,D4,0.1
late,48.13,54.72,-6.59,A4,D4,0.1
late,48.13,54.98,-6.85,A4,D4,0.1
late,48.13,55.2,-7.07,A4,D4,0.1
late,48.13,56.99,-8.86,A4,D4,0.1
late,48.13,58.66,-10.53,A4,F#/Gb4,0.4
late,48.13,60.1,-11.97,A4,E/Fb4,0.1
late,48.13,61.41,-13.28,A4,D4,0.1
late,48.13,61.83,-13.7,A4,D4,0.1
late,48.13,62.08,-13.95,A4,A3,1.0
late,48.13,62.24,-14.11,A4,A3,1.0
late,48.13,62.98,-14.85,A4,D4,0.1
late,48.13,63.36,-15.23,A4,D4,0.1
late,48.13,65.83,-17.7,A4,X0,0.0
late,48.13,65.99,-17.86,A4,X0,0.0
