onset_type,onset_time,pitch
no_change,0.0,64
no_change,0.214,66
no_change,0.429,64
no_change,0.643,62
no_change,0.857,59
no_change,3.643,57
no_change,3.857,59
no_change,4.286,62
no_change,7.071,62
no_change,7.286,66
no_change,7.714,69
no_change,9.429,62
no_change,9.643,66
no_change,10.286,66
no_change,10.5,69
no_change,11.143,64
no_change,13.714,64
no_change,13.929,66
no_change,14.143,64
no_change,14.357,62
no_change,14.571,59
no_change,18.0,50
no_change,19.286,59
no_change,19.5,61
no_change,20.143,62
no_change,20.786,62
no_change,21.0,66
no_change,21.429,66
no_change,23.143,64
no_change,24.214,66
no_change,24.429,64
no_change,24.857,62
no_change,30.857,66
no_change,31.286,64
no_change,31.5,62
no_change,31.714,59
no_change,34.286,71
pitch,35.143,39
no_change,37.714,57
no_change,37.929,59
no_change,38.143,62
no_change,38.357,66
no_change,38.571,64
no_change,39.857,57
no_change,40.071,59
no_change,40.286,62
no_change,41.143,62
no_change,41.571,61
no_change,42.0,59
no_change,43.286,61
no_change,43.5,62
no_change,43.714,71
no_change,44.571,66
no_change,44.877,66
no_change,45.123,69
no_change,45.305,68
no_change,45.429,67
no_change,47.143,69
no_change,47.357,71
no_change,47.571,74
no_change,47.786,76
no_change,47.893,74
no_change,48.0,71
no_change,48.107,69
no_change,48.214,71
no_change,48.321,69
no_change,48.429,65
no_change,48.536,65
no_change,48.643,66
no_change,48.857,62
no_change,51.643,57
no_change,51.857,59
no_change,52.071,57
no_change,52.286,66
no_change,54.0,64
no_change,55.714,62
no_change,57.214,62
no_change,57.643,57
no_change,58.071,57
no_change,58.286,64
no_change,58.5,62
no_change,62.143,45
no_change,62.571,50
no_change,68.571,52
no_change,68.786,54
no_change,69.0,52
no_change,69.214,50
no_change,69.429,47
no_change,72.0,52
no_change,72.214,54
no_change,72.429,52
no_change,72.643,50
no_change,72.857,47
no_change,76.714,57
no_change,76.929,62
no_change,77.357,57
no_change,77.786,66
no_change,78.214,64
no_change,80.143,57
no_change,80.357,62
no_change,80.786,57
no_change,81.214,66
no_change,81.643,62
no_change,83.571,57
no_change,83.786,62
no_change,84.214,57
no_change,84.643,66
no_change,85.071,64
no_change,87.0,57
no_change,87.214,62
no_change,87.643,57
no_change,88.071,66
no_change,88.5,62
no_change,90.0,45
