onset_type,onset_ref_time,onset_live_time,adjustment_ms,note_ref,note_live,notes_similarity
correct,0.0,0.0,0.0,E/Fb5,E/Fb5,1.0
early,0.29,0.0,0.29,E/Fb5,E/Fb5,1.0
correct,0.57,0.16,0.41,C5,E/Fb5,0.2
correct,0.7,0.35,0.35,C5,C5,1.0
early,0.99,0.48,0.51,G5,E/Fb5,0.4
early,1.57,0.67,0.9,G4,G5,1.0
early,2.14,0.67,1.47,G4,G5,1.0
correct,2.56,1.09,1.47,G4,G4,1.0
correct,3.01,1.5,1.51,E/Fb4,G4,0.4
correct,3.42,1.82,1.6,A4,G4,0.6
early,3.71,1.82,1.89,B/Cb4,G4,0.2
correct,4.0,2.14,1.86,A#/Bb4,E/Fb4,0.0
early,4.16,2.14,2.02,A4,E/Fb4,0.1
correct,4.41,2.46,1.95,F#/Gb4,A#/Bb4,0.2
correct,4.57,2.69,1.88,G4,B/Cb4,0.2
correct,4.77,2.88,1.89,E/Fb5,A#/Bb4,0.0
correct,4.96,3.04,1.92,G5,A4,0.6
early,5.28,3.04,2.24,F5,A4,0.2
correct,5.44,3.23,2.21,G5,G4,1.0
correct,5.73,3.39,2.34,E/Fb5,E/Fb5,1.0
early,6.01,3.52,2.49,C5,G5,0.1
correct,6.14,3.52,2.62,C5,G5,0.1
correct,6.3,3.68,2.62,B/Cb4,A5,0.6
early,6.72,3.9,2.82,C5,E/Fb5,0.2
early,7.13,3.9,3.23,G4,E/Fb5,0.4
early,7.58,3.9,3.68,E/Fb4,E/Fb5,1.0
early,8.0,4.03,3.97,A4,G5,0.6
correct,8.29,4.22,4.07,B/Cb4,D#/Eb5,0.2
correct,8.57,4.48,4.09,A#/Bb4,C5,0.6
correct,8.73,4.61,4.12,A4,D5,0.1
correct,8.99,4.73,4.26,G4,B/Cb4,0.2
late,9.15,5.05,4.1,E/Fb5,C5,0.2
early,9.34,5.05,4.29,E/Fb5,C5,0.2
early,9.53,5.05,4.48,G5,C5,0.1
correct,9.85,5.41,4.44,F5,G4,0.6
late,10.01,5.76,4.25,G5,E/Fb4,0.4
correct,10.27,6.11,4.16,E/Fb5,A4,0.1
correct,10.56,6.33,4.23,C5,A#/Bb4,0.6
early,10.72,6.33,4.39,D5,A#/Bb4,0.2
correct,10.85,6.59,4.26,B/Cb4,A#/Bb4,0.8
early,11.58,6.75,4.83,G5,A4,0.6
correct,11.71,6.97,4.74,F#/Gb5,G4,0.8
correct,11.87,7.13,4.74,F5,E/Fb5,0.8
correct,12.0,7.13,4.87,D#/Eb5,E/Fb5,0.8
correct,12.29,7.29,5.0,E/Fb5,G5,0.4
correct,12.57,7.45,5.12,G#/Ab4,A5,0.8
correct,12.73,7.68,5.05,A4,E/Fb5,0.1
correct,12.86,7.68,5.18,C5,E/Fb5,0.2
correct,13.15,7.84,5.31,A4,G5,0.6
correct,13.28,8.06,5.22,C5,E/Fb5,0.2
correct,13.44,8.32,5.12,D5,C5,0.6
early,13.85,8.32,5.53,G5,C5,0.1
correct,14.01,8.48,5.53,F#/Gb5,D5,0.2
correct,14.14,8.61,5.53,F#/Gb5,B/Cb4,0.1
early,14.3,8.61,5.69,D#/Eb5,B/Cb4,0.2
late,14.56,9.21,5.35,E/Fb5,F#/Gb5,0.6
correct,14.85,9.37,5.48,C6,G5,0.1
correct,15.13,9.5,5.63,C6,F5,0.1
early,15.29,9.5,5.79,C6,F5,0.1
early,16.16,9.63,6.53,G5,D#/Eb5,0.2
correct,16.29,9.89,6.4,F#/Gb5,E/Fb5,0.6
correct,16.45,10.14,6.31,F5,F5,1.0
correct,16.57,10.3,6.27,D#/Eb5,G#/Ab4,0.1
early,16.86,10.43,6.43,E/Fb5,C5,0.2
early,17.15,10.43,6.72,G#/Ab4,C5,0.2
correct,17.28,10.69,6.59,A4,A4,1.0
early,17.44,10.69,6.75,C5,A4,0.4
correct,17.73,10.85,6.88,A4,C5,0.4
correct,17.85,10.97,6.88,A4,C5,0.4
late,18.01,11.36,6.65,D5,G5,0.1
early,18.43,11.52,6.91,D#/Eb5,F#/Gb5,0.4
early,18.85,11.68,7.17,D5,F5,0.4
early,19.29,11.81,7.48,C5,D#/Eb5,0.4
early,20.7,11.81,8.89,G5,D#/Eb5,0.2
correct,20.86,12.06,8.8,F#/Gb5,D#/Eb5,0.4
late,20.99,12.35,8.64,F5,C6,0.1
early,21.15,12.35,8.8,D#/Eb5,C6,0.4
correct,21.44,12.64,8.8,E/Fb5,C6,0.2
correct,21.73,12.8,8.93,G#/Ab4,C6,0.2
late,21.85,13.63,8.22,G#/Ab4,G5,0.8
early,22.01,13.63,8.38,C5,G5,0.1
correct,22.27,13.79,8.48,A4,F#/Gb5,0.4
correct,22.43,13.95,8.48,C5,F5,0.1
correct,22.59,14.11,8.48,D5,D#/Eb5,0.8
early,23.01,14.37,8.64,G5,E/Fb5,0.4
late,23.13,14.69,8.44,G5,G#/Ab4,0.8
early,23.29,14.69,8.6,F5,G#/Ab4,0.4
correct,23.42,14.85,8.57,F5,A4,0.2
early,23.71,14.97,8.74,E/Fb5,A4,0.1
correct,24.0,15.26,8.74,C6,E/Fb5,0.2
early,24.29,15.26,9.03,C6,E/Fb5,0.2
correct,24.45,15.42,9.03,C6,A4,0.4
early,25.28,15.58,9.7,G5,C5,0.1
late,25.44,16.03,9.41,F#/Gb5,D#/Eb5,0.4
late,25.57,16.51,9.06,F5,D5,0.4
early,25.73,16.51,9.22,D#/Eb5,D5,0.8
late,26.01,16.96,9.05,E/Fb5,C5,0.2
late,26.27,18.59,7.68,G#/Ab4,G5,0.8
correct,26.43,18.75,7.68,A4,F#/Gb5,0.4
correct,26.59,18.91,7.68,C5,F5,0.1
correct,26.85,19.07,7.78,A4,D#/Eb5,0.0
late,27.01,19.39,7.62,C5,E/Fb5,0.2
correct,27.13,19.39,7.74,C5,E/Fb5,0.2
correct,27.58,19.74,7.84,D#/Eb5,D#/Eb5,1.0
early,28.0,19.93,8.07,D5,A4,0.1
early,28.41,20.09,8.32,B/Cb4,C5,0.8
extra,,20.45,,,A4,
extra,,20.61,,,C5,
extra,,20.77,,,D5,
extra,,21.28,,,G5,
extra,,21.47,,,F#/Gb5,
extra,,21.63,,,F5,
extra,,21.82,,,D#/Eb5,
extra,,22.17,,,E/Fb5,
extra,,22.53,,,C6,
extra,,22.88,,,C6,
extra,,23.07,,,C6,
extra,,24.16,,,G5,
extra,,24.35,,,F#/Gb5,
extra,,24.54,,,E/Fb5,
extra,,24.73,,,E/Fb5,
extra,,25.09,,,E/Fb5,
extra,,25.5,,,G#/Ab4,
extra,,25.66,,,G#/Ab4,
extra,,25.85,,,A#/Bb4,
extra,,26.27,,,A4,
extra,,26.46,,,C5,
extra,,26.65,,,D5,
extra,,27.23,,,D#/Eb5,
extra,,27.84,,,D5,
extra,,28.45,,,C5,
